,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,6,Chris Wood,Burnley,0.19,,Off Target,7.0,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live)
1,9,Demarai Gray,Everton,0.02,,Off Target,33.0,Right Foot,,,,,
2,18,Chris Wood,Burnley,0.06,0.02,Saved,12.0,Head,Deflected,Charlie Taylor,Pass (Live),,
3,19,Chris Wood,Burnley,0.1,,Blocked,13.0,Right Foot,,Matthew Lowton,Pass (Live),James Tarkowski,Pass (Live)
4,20,Ben Mee,Burnley,0.18,,Off Target,3.0,Other,,Ashley Westwood,Pass (Dead),Chris Wood,Shot
5,26,Dwight McNeil,Burnley,0.01,0.21,Saved,29.0,Left Foot,Deflected,Dwight McNeil,Take-On,Charlie Taylor,Pass (Live)
6,27,Josh Brownhill,Burnley,0.1,0.06,Saved,17.0,Right Foot,,Ashley Barnes,Pass (Live),,
7,28,Abdoulaye Doucouré,Everton,0.07,0.03,Saved,11.0,Right Foot,,Andros Townsend,Pass (Live),Séamus Coleman,Pass (Live)
8,32,Yerry Mina,Everton,0.04,0.29,Saved,10.0,Head,,Michael Keane,Pass (Live),Séamus Coleman,Pass (Live)
9,40,Ben Godfrey,Everton,0.01,,Off Target,12.0,Head,,Lucas Digne,Pass (Dead),Andros Townsend,Pass (Live)
10,,,,,,,,,,,,,
11,48,Lucas Digne,Everton,0.06,,Blocked,28.0,Left Foot,Free kick,Andros Townsend,Fouled,Séamus Coleman,Pass (Live)
12,51,Richarlison,Everton,0.02,,Blocked,15.0,Head,,Lucas Digne,Pass (Dead),Demarai Gray,Fouled
13,53,Ben Mee,Burnley,0.29,0.15,Goal,8.0,Head,,Jóhann Berg Guðmundsson,Pass (Live),Charlie Taylor,Fouled
14,60,Demarai Gray,Everton,0.02,,Blocked,20.0,Right Foot,,Lucas Digne,Pass (Dead),,
15,60,Michael Keane,Everton,0.25,0.31,Goal,8.0,Head,,Andros Townsend,Pass (Live),Séamus Coleman,Pass (Live)
16,65,Andros Townsend,Everton,0.02,0.54,Goal,32.0,Left Foot,,Abdoulaye Doucouré,Pass (Live),Allan,Pass (Live)
17,66,Demarai Gray,Everton,0.55,0.64,Goal,17.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Andros Townsend,Pass (Live)
18,73,Andros Townsend,Everton,0.04,0.21,Saved,24.0,Left Foot,,Michael Keane,Pass (Live),André Gomes,Pass (Live)
19,73,André Gomes,Everton,0.25,,Off Target,10.0,Right Foot,,,,,
20,79,André Gomes,Everton,0.02,,Off Target,33.0,Right Foot,,André Gomes,Take-On,Lucas Digne,Pass (Live)
21,80,Demarai Gray,Everton,0.09,,Blocked,21.0,Right Foot,,André Gomes,Pass (Live),Abdoulaye Doucouré,Pass (Live)
22,83,Dwight McNeil,Burnley,0.02,0.02,Saved,23.0,Left Foot,,Ashley Westwood,Pass (Live),Ben Mee,Pass (Live)
23,89,Jay Rodriguez,Burnley,0.04,,Off Target,12.0,Head,,Dwight McNeil,Pass (Live),Charlie Taylor,Pass (Live)
24,90,Jay Rodriguez,Burnley,0.02,,Blocked,31.0,Right Foot,,Ashley Westwood,Pass (Live),Aaron Lennon,Pass (Live)
25,90+3,Dwight McNeil,Burnley,0.01,0.02,Saved,30.0,Left Foot,,Charlie Taylor,Pass (Live),,
