,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Anthony Gordon,Everton,0.27,0.15,Saved,13.0,Right Foot,Deflected,Dominic Calvert-Lewin,Pass (Live),Allan,Pass (Live)
1,4,Dominic Calvert-Lewin,Everton,0.03,,Blocked,21.0,Right Foot,,Alex Iwobi,Pass (Live),Dominic Calvert-Lewin,Pass (Live)
2,5,Anthony Gordon,Everton,0.03,0.07,Saved,28.0,Right Foot,,Donny van de Beek,Pass (Live),Allan,Pass (Live)
3,10,Séamus Coleman,Everton,0.88,0.97,Goal,2.0,Head,,,,,
4,13,Richarlison,Everton,0.03,,Blocked,21.0,Right Foot,,Dominic Calvert-Lewin,Pass (Live),Anthony Gordon,Pass (Live)
5,18,Rodrigo,Leeds United,0.01,,Woodwork,34.0,Left Foot,Volley,Jack Harrison,Pass (Live),Leo Fuhr Hjelde,Pass (Live)
6,23,Michael Keane,Everton,0.13,0.52,Goal,7.0,Head,,Anthony Gordon,Pass (Dead),,
7,27,Anthony Gordon,Everton,0.04,0.11,Saved,18.0,Right Foot,,Jonjoe Kenny,Pass (Live),Jonjoe Kenny,Take-On
8,29,Jack Harrison,Leeds United,0.02,,Blocked,30.0,Left Foot,,Jack Harrison,Take-On,Jack Harrison,Take-On
9,37,Alex Iwobi,Everton,0.08,,Off Target,22.0,Right Foot,,Richarlison,Pass (Live),Donny van de Beek,Pass (Live)
10,40,Richarlison,Everton,0.13,,Blocked,16.0,Right Foot,,Anthony Gordon,Interception,,
11,40,Alex Iwobi,Everton,0.06,,Blocked,24.0,Left Foot,,Richarlison,Shot,,
12,42,Allan,Everton,0.07,0.05,Saved,22.0,Right Foot,,Richarlison,Pass (Live),Jonjoe Kenny,Pass (Dead)
13,43,Dominic Calvert-Lewin,Everton,0.06,0.08,Saved,15.0,Right Foot,,Alex Iwobi,Pass (Live),Donny van de Beek,Pass (Live)
14,44,Rodrigo,Leeds United,0.05,,Blocked,22.0,Left Foot,,Jack Harrison,Pass (Live),Pascal Struijk,Pass (Live)
15,45+1,Rodrigo,Leeds United,0.03,,Woodwork,28.0,Left Foot,,Raphinha,Pass (Live),Mateusz Klich,Pass (Live)
16,,,,,,,,,,,,,
17,47,Anthony Gordon,Everton,0.01,0.19,Saved,30.0,Right Foot,,Alex Iwobi,Pass (Live),Anthony Gordon,Pass (Live)
18,50,Daniel James,Leeds United,0.08,,Off Target,11.0,Left Foot,,Jack Harrison,Pass (Live),Leo Fuhr Hjelde,Pass (Live)
19,54,Robin Koch,Leeds United,0.04,,Blocked,16.0,Right Foot,,Daniel James,Pass (Live),Adam Forshaw,Pass (Live)
20,69,Dominic Calvert-Lewin,Everton,0.03,,Blocked,26.0,Right Foot,,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live)
21,70,Rodrigo,Leeds United,0.03,,Off Target,28.0,Left Foot,,Pascal Struijk,Pass (Live),Robin Koch,Pass (Live)
22,73,Alex Iwobi,Everton,0.04,,Blocked,23.0,Right Foot,,Anthony Gordon,Pass (Live),Anthony Gordon,Take-On
23,74,Jonjoe Kenny,Everton,0.02,,Blocked,20.0,Right Foot,,Jonjoe Kenny,Take-On,Dele Alli,Pass (Live)
24,74,Alex Iwobi,Everton,0.28,,Blocked,10.0,Right Foot,,Jonjoe Kenny,Shot,,
25,78,Richarlison,Everton,0.08,,Blocked,21.0,Left Foot,,Allan,Pass (Live),Dele Alli,Pass (Live)
26,78,Anthony Gordon,Everton,0.2,0.51,Goal,16.0,Right Foot,,Richarlison,Shot,,
27,83,Dele Alli,Everton,0.05,,Off Target,12.0,Right Foot,,Alex Iwobi,Pass (Live),Allan,Pass (Live)
28,90+1,Salomón Rondón,Everton,0.23,0.42,Saved,15.0,Left Foot,Volley,Dele Alli,Pass (Live),Alex Iwobi,Pass (Live)
