player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,6,2,3,0,471,22,7,10,0.5,0.5,0.4,11,0,263,357,73.7,22,273,11,13,9,263,357,73.7,4500,2002,129,147,87.8,98,115,85.2,25,65,38.5,0,0.4,0.4,5,12,5,0,22,357,313,40,14,3,2,14,12,3,0,2,0,263,4,6,22,10,10,11,1,4,21,19.0,17,10,2,8,7,29,30,1,471,90,230,156,94,12,471,13,9,69.2,4,30.8,273,1575,663,11,10,4,16,13,262,21,3,0,0,7,14,4,14,7,10,0,0,0,44,7,17,29.2
Abdoulaye Doucouré,0,0,0,0,0,0,0,0,50,2,0,4,0.0,0.0,0.1,2,0,29,37,78.4,5,34,1,2,1,29,37,78.4,403,145,15,20,75.0,11,11,100.0,1,2,50.0,0,0.1,0.0,1,3,1,0,5,37,37,0,0,0,0,2,0,0,0,0,0,29,0,1,2,2,1,1,0,1,2,50.0,1,4,1,3,0,2,2,0,50,3,18,22,12,2,50,2,1,50.0,1,50.0,34,150,76,1,2,0,5,2,34,4,0,0,0,1,0,0,2,0,2,0,0,0,4,1,1,50.0
Alex Iwobi,0,0,0,0,0,0,0,0,33,3,1,0,0.0,0.0,0.2,3,0,14,21,66.7,3,22,1,3,2,14,21,66.7,233,95,6,6,100.0,4,5,80.0,2,4,50.0,0,0.2,0.2,2,1,1,0,3,21,20,1,0,1,0,3,1,0,0,0,0,14,0,3,3,0,1,2,0,0,3,0.0,3,0,0,0,1,4,1,0,33,1,6,11,16,1,33,3,2,66.7,1,33.3,22,203,56,1,3,0,3,3,23,3,0,0,0,0,1,2,3,1,0,0,0,0,1,0,1,0.0
Allan,0,0,0,0,0,0,1,0,42,4,1,1,0.0,0.0,0.1,2,0,32,36,88.9,6,25,1,2,2,32,36,88.9,546,200,17,18,94.4,10,10,100.0,3,4,75.0,0,0.1,0.0,1,3,1,0,6,36,34,1,0,1,0,0,0,0,0,0,0,32,1,0,4,4,1,2,1,0,3,0.0,3,1,0,1,1,5,0,0,42,3,11,26,6,1,42,2,2,100.0,0,0.0,25,137,97,1,0,1,1,3,25,0,1,0,0,3,0,0,0,1,4,0,0,0,8,0,1,0.0
Anthony Gordon,0,0,0,0,3,0,0,0,27,2,1,1,0.1,0.1,0.0,0,0,10,16,62.5,2,15,4,0,0,10,16,62.5,127,56,5,6,83.3,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,2,16,13,3,1,0,0,3,0,2,0,1,0,10,0,0,2,1,0,2,0,1,3,33.3,2,1,0,1,1,3,0,0,27,0,5,5,18,2,27,0,0,,0,,15,151,105,4,3,2,1,1,14,5,0,0,0,1,2,0,3,1,1,0,0,0,1,0,1,0.0
Anwar El Ghazi,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,2,3,66.7,16,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,3,73,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Dele Alli,0,0,0,0,0,0,1,0,13,2,0,0,0.0,0.0,0.0,1,0,8,9,88.9,1,7,0,0,0,8,9,88.9,125,37,5,5,100.0,2,3,66.7,1,1,100.0,0,0.0,0.1,1,1,1,0,1,9,7,2,1,1,0,0,0,0,0,0,0,8,0,0,2,1,2,0,0,0,0,,0,0,0,0,0,2,2,0,13,2,8,3,2,0,13,0,0,,0,,7,23,12,0,0,0,0,0,5,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0.0
Demarai Gray,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,0,6,1,0,0,4,7,57.1,65,0,1,1,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,5,1,0,0,0,2,0,1,0,1,0,4,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,2,6,0,8,0,0,,0,,6,46,15,1,0,0,1,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Donny van de Beek,0,0,0,0,0,0,1,0,41,3,1,1,0.0,0.0,0.0,1,0,18,28,64.3,1,22,0,2,0,18,28,64.3,228,47,10,13,76.9,6,9,66.7,0,4,0.0,0,0.0,0.0,0,1,0,0,1,28,28,0,0,0,0,2,0,0,0,0,0,18,0,0,3,1,2,1,0,1,2,50.0,1,1,0,1,1,4,3,0,41,6,16,15,11,0,41,2,0,0.0,2,100.0,22,112,32,0,1,0,0,0,19,0,1,0,0,1,0,0,2,1,1,0,0,0,5,0,1,0.0
Jonjoe Kenny,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.0,0,0,25,33,75.8,1,21,0,0,0,25,33,75.8,328,133,18,20,90.0,7,10,70.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,33,27,6,1,0,0,0,5,0,0,0,0,25,0,0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,6,0,41,7,17,21,3,1,41,0,0,,0,,21,62,18,0,0,0,0,1,22,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0.0
