player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,9,3,2,1,435,18,3,12,0.7,0.7,0.4,17,2,206,314,65.6,27,154,7,16,7,206,314,65.6,3917,1769,93,115,80.9,68,90,75.6,32,81,39.5,1,0.4,0.3,5,17,6,2,27,314,264,49,11,0,3,15,21,5,3,2,0,206,1,6,18,9,9,8,1,12,18,66.7,6,12,5,7,3,21,27,0,435,76,146,205,88,10,435,16,7,43.8,9,56.3,154,1101,503,7,9,1,22,6,204,27,2,1,0,13,11,1,15,3,9,0,0,0,51,30,35,46.2
Abdoulaye Doucouré,0,0,0,0,1,0,0,0,43,3,0,2,0.0,0.0,0.0,1,0,21,30,70.0,3,13,0,0,0,21,30,70.0,269,79,16,18,88.9,5,9,55.6,0,2,0.0,0,0.0,0.0,0,1,0,0,3,30,30,0,0,0,0,1,0,0,0,0,0,21,0,0,3,2,1,2,0,1,3,33.3,2,2,1,1,0,3,1,0,43,2,13,25,6,0,43,0,0,,0,,13,95,65,0,0,0,2,1,19,0,0,0,0,4,2,0,1,0,2,0,0,0,8,4,6,40.0
Alex Iwobi,1,0,0,0,1,1,0,0,33,2,1,2,0.2,0.2,0.0,1,1,15,18,83.3,2,14,2,1,0,15,18,83.3,238,39,8,8,100.0,5,5,100.0,1,3,33.3,0,0.0,0.0,0,0,1,0,2,18,17,1,0,0,1,1,1,0,0,0,0,15,0,1,2,1,2,0,0,2,3,66.7,1,2,0,2,1,3,1,0,33,3,7,9,17,1,33,1,0,0.0,1,100.0,14,107,68,2,3,0,2,0,21,8,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0.0
Allan,0,0,0,0,0,0,0,1,42,5,0,2,0.0,0.0,0.1,1,0,26,33,78.8,3,16,0,2,2,26,33,78.8,415,169,11,13,84.6,10,13,76.9,3,4,75.0,0,0.1,0.0,1,3,1,0,3,33,30,3,2,0,0,0,0,0,0,0,0,26,0,0,5,3,1,4,0,5,5,100.0,0,2,1,1,0,5,2,0,42,3,7,31,5,0,42,2,2,100.0,0,0.0,16,82,47,0,2,0,0,0,19,1,0,1,0,2,2,0,0,0,3,0,0,0,9,1,1,50.0
Andros Townsend,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
André Gomes,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0,1,2,50.0,4,2,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,7,1,4,2,1,0,7,1,0,0.0,1,100.0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Anthony Gordon,0,0,0,0,2,1,1,0,38,3,0,0,0.1,0.1,0.0,3,0,14,22,63.6,3,18,1,5,2,14,22,63.6,216,79,7,10,70.0,5,6,83.3,1,4,25.0,0,0.0,0.0,1,1,2,1,3,22,19,3,1,0,0,4,0,2,2,0,0,14,0,1,3,1,2,1,0,1,1,100.0,0,0,0,0,0,3,0,0,38,1,5,16,17,1,38,5,2,40.0,3,60.0,18,141,41,1,3,1,8,0,24,4,1,0,0,2,3,0,4,0,1,0,0,0,1,1,2,33.3
Asmir Begović,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,9,32,28.1,0,14,0,0,0,9,32,28.1,502,498,0,0,,1,1,100.0,8,31,25.8,0,0.0,0.0,0,0,0,0,0,32,19,13,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,36,35,36,0,0,0,36,0,0,,0,,14,122,68,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,100.0
Ben Godfrey,0,0,0,0,1,1,0,0,53,1,0,1,0.0,0.0,0.0,1,0,32,41,78.0,6,15,1,0,0,32,41,78.0,526,234,16,18,88.9,12,15,80.0,2,4,50.0,0,0.0,0.0,0,4,0,0,6,41,27,14,0,0,0,1,14,0,0,0,0,32,0,1,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,3,0,53,4,12,31,10,2,53,0,0,,0,,15,132,53,1,1,0,3,1,20,2,0,0,0,0,0,0,1,0,0,0,0,0,5,1,4,20.0
Demarai Gray,0,0,0,0,3,0,0,0,28,0,0,0,0.2,0.2,0.0,2,0,16,22,72.7,2,15,2,3,1,16,22,72.7,303,103,8,9,88.9,4,6,66.7,3,4,75.0,0,0.0,0.1,1,2,0,0,2,22,18,4,1,0,0,5,0,3,1,2,0,16,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,0,3,11,14,2,28,3,1,33.3,2,66.7,15,110,47,2,0,0,1,1,21,2,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0.0
