player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,10,2,3,0,649,12,17,14,0.5,0.5,0.4,20,0,441,534,82.6,45,382,15,24,12,441,534,82.6,7976,2652,190,214,88.8,194,212,91.5,47,82,57.3,0,0.4,0.5,8,27,5,0,45,534,485,49,12,0,7,14,25,4,4,0,0,441,0,12,12,5,5,7,0,7,11,63.6,4,14,4,10,17,29,21,0,649,60,250,267,134,13,649,24,12,50.0,12,50.0,382,1910,1013,15,16,4,15,6,437,44,3,0,0,9,11,0,14,17,5,0,1,0,44,14,8,63.6
Ben Gibson,0,0,0,0,1,0,0,0,75,1,3,1,0.2,0.2,0.0,1,0,62,69,89.9,10,55,3,0,0,62,69,89.9,1248,594,18,20,90.0,37,39,94.9,6,9,66.7,0,0.0,0.0,0,8,0,0,10,69,67,2,2,0,0,0,0,0,0,0,0,62,0,0,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,1,0,75,2,31,42,2,1,75,0,0,,0,,55,342,295,3,1,0,0,0,57,0,0,0,0,0,1,0,0,3,1,0,0,0,3,3,2,60.0
Brandon Williams,0,0,0,0,0,0,1,0,56,0,2,1,0.0,0.0,0.0,2,0,37,46,80.4,2,32,1,3,1,37,46,80.4,511,114,19,22,86.4,16,18,88.9,0,1,0.0,0,0.0,0.0,0,1,0,0,2,46,36,10,0,0,0,1,10,0,0,0,0,37,0,2,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,56,1,7,21,28,2,56,3,1,33.3,2,66.7,32,169,74,1,6,1,3,0,34,12,1,0,0,1,1,0,1,2,0,0,0,0,3,0,0,
Christos Tzolis,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,6,8,75.0,1,11,2,1,0,6,8,75.0,163,38,3,4,75.0,1,1,100.0,2,2,100.0,0,0.0,0.0,1,0,0,0,1,8,8,0,0,0,1,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,2,1,9,3,12,1,0,0.0,1,100.0,11,49,16,2,1,1,1,0,11,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,
Dimitris Giannoulis,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,3,0,1,1,5,7,71.4,114,61,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8,0,4,3,1,0,8,1,1,100.0,0,0.0,3,7,2,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Grant Hanley,0,0,0,0,0,0,0,0,72,2,5,3,0.0,0.0,0.0,0,0,51,58,87.9,1,44,0,2,1,51,58,87.9,1120,316,11,14,78.6,33,34,97.1,7,9,77.8,0,0.0,0.0,0,1,0,0,1,58,57,1,1,0,0,0,0,0,0,0,0,51,0,1,2,0,1,1,0,2,2,100.0,0,3,2,1,5,7,4,0,72,10,49,23,0,0,72,2,1,50.0,1,50.0,44,131,69,0,0,0,0,0,46,0,0,0,0,0,2,0,0,5,0,0,0,0,4,4,0,100.0
Josh Sargent,0,0,0,0,0,0,0,0,26,0,0,4,0.0,0.0,0.0,0,0,11,13,84.6,1,13,0,0,0,11,13,84.6,152,16,7,7,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,4,0,4,0,0,2,0,26,4,6,9,11,1,26,0,0,,0,,13,46,9,0,0,0,5,2,18,7,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,33.3
Kenny McLean,0,0,0,0,3,0,0,0,73,3,2,2,0.1,0.1,0.2,2,0,45,58,77.6,7,43,2,0,0,45,58,77.6,789,276,16,19,84.2,21,25,84.0,5,9,55.6,0,0.2,0.2,1,4,1,0,7,58,55,3,3,0,0,4,0,0,0,0,0,45,0,3,3,1,2,1,0,1,3,33.3,2,2,0,2,2,5,1,0,73,2,23,35,15,2,73,0,0,,0,,43,220,91,2,2,0,2,1,50,3,0,0,0,0,1,0,4,2,1,0,0,0,7,2,1,66.7
Mathias Normann,0,0,0,0,3,2,0,0,54,1,2,0,0.1,0.1,0.0,4,0,32,44,72.7,4,29,1,4,2,32,44,72.7,658,229,14,18,77.8,11,13,84.6,6,11,54.5,0,0.0,0.1,1,3,0,0,4,44,41,3,0,0,2,4,0,3,3,0,0,32,0,1,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,0,0,54,1,17,26,12,0,54,4,2,50.0,2,50.0,29,129,47,1,2,0,0,1,39,1,0,0,0,1,1,0,4,2,0,0,0,0,3,2,0,100.0
Max Aarons,0,0,0,0,1,0,0,0,67,1,0,1,0.0,0.0,0.0,1,0,47,55,85.5,4,33,2,4,1,47,55,85.5,598,198,35,38,92.1,10,13,76.9,2,4,50.0,0,0.0,0.0,0,2,1,0,4,55,39,16,2,0,0,0,14,0,0,0,0,47,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,4,0,67,2,25,31,11,0,67,4,1,25.0,3,75.0,33,224,75,2,0,0,0,0,40,3,0,0,0,0,2,0,0,0,1,0,0,0,4,1,2,33.3
