player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,3,2,0,0,22,7,2,0,543,18,10,9,1.9,1.9,1.7,36,5,290,415,69.9,48,239,17,18,11,290,415,69.9,5305,2299,138,167,82.6,109,139,78.4,35,77,45.5,2,1.7,1.0,18,23,16,6,48,415,361,49,8,4,4,23,21,9,5,0,0,290,5,6,18,11,10,5,3,5,10,50.0,5,9,2,7,10,28,21,0,543,58,231,179,141,22,543,18,11,61.1,7,38.9,239,1691,980,17,12,2,15,7,283,47,2,0,0,11,7,5,23,10,11,0,0,0,65,23,33,41.1
Adam Forshaw,0,0,0,0,0,0,0,0,52,2,2,0,0.0,0.0,0.0,1,0,30,43,69.8,7,24,1,0,0,30,43,69.8,537,116,16,21,76.2,9,10,90.0,4,9,44.4,0,0.0,0.0,0,2,0,0,7,43,42,0,0,2,1,1,0,0,0,0,0,30,1,1,2,1,1,1,0,0,0,,0,0,0,0,2,4,1,0,52,1,18,25,9,0,52,0,0,,0,,24,102,52,1,1,0,1,2,32,2,0,0,0,1,1,0,1,2,1,0,0,0,4,2,1,66.7
Daniel James,1,0,0,0,1,1,0,0,10,0,0,0,0.3,0.3,0.5,2,0,4,8,50.0,1,6,1,0,0,4,8,50.0,126,33,0,1,0.0,2,3,66.7,2,4,50.0,0,0.5,0.0,2,1,0,0,1,8,8,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,0,2,3,5,3,10,0,0,,0,,6,30,24,1,0,1,0,1,7,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,100.0
Diego Llorente,0,0,0,0,0,0,1,0,44,2,2,1,0.0,0.0,0.0,0,0,27,35,77.1,1,19,0,0,0,27,35,77.1,443,122,15,17,88.2,10,13,76.9,2,5,40.0,0,0.0,0.0,0,1,0,0,1,35,34,1,1,0,0,0,0,0,0,0,0,27,0,0,2,1,2,0,0,0,0,,0,1,0,1,2,4,3,0,44,4,26,17,1,0,44,0,0,,0,,19,161,140,0,0,0,0,0,19,0,1,0,0,1,1,0,0,2,1,0,0,0,7,1,3,25.0
Illan Meslier,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,19,0,0,0,27,34,79.4,708,394,5,5,100.0,15,15,100.0,7,14,50.0,0,0.0,0.0,0,0,0,0,0,34,22,12,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,32,37,0,0,0,37,0,0,,0,,19,125,50,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,100.0
Jack Harrison,1,0,0,0,3,2,0,0,34,0,2,0,0.1,0.1,0.0,4,1,13,22,59.1,1,19,2,3,3,13,22,59.1,241,60,5,8,62.5,7,8,87.5,1,4,25.0,0,0.0,0.0,1,0,2,1,1,22,21,1,0,0,0,3,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,34,0,9,14,12,4,34,3,3,100.0,0,0.0,19,126,70,2,1,1,4,0,23,6,0,0,0,0,0,0,3,2,0,0,0,0,4,0,3,0.0
Joe Gelhardt,0,1,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.3,1,1,2,4,50.0,0,5,0,1,0,2,4,50.0,34,22,0,2,0.0,1,1,100.0,0,0,,1,0.3,0.2,1,0,1,1,0,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,3,7,1,9,1,0,0.0,1,100.0,5,34,14,0,1,0,2,0,6,3,0,0,0,3,0,2,1,0,0,0,0,0,1,1,2,33.3
Junior Firpo,0,0,0,0,2,1,0,0,46,5,0,0,0.1,0.1,0.0,4,0,27,34,79.4,9,19,2,3,2,27,34,79.4,499,293,13,15,86.7,12,15,80.0,2,2,100.0,0,0.0,0.0,0,3,2,0,9,34,30,4,0,0,0,0,4,0,0,0,0,27,0,1,5,4,0,4,1,3,3,100.0,0,0,0,0,0,5,3,0,46,4,11,26,9,2,46,3,2,66.7,1,33.3,19,124,86,2,1,0,0,0,19,4,0,0,0,1,0,0,0,0,4,0,0,0,6,0,1,0.0
Luke Ayling,0,0,0,0,0,0,0,0,71,0,0,2,0.0,0.0,0.3,2,0,46,60,76.7,4,30,2,3,2,46,60,76.7,942,560,22,25,88.0,13,16,81.3,10,17,58.8,0,0.3,0.4,1,5,2,2,4,60,47,13,2,0,2,3,11,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,3,0,71,5,44,21,7,0,71,3,2,66.7,1,33.3,30,272,190,2,0,0,2,0,33,0,0,0,0,0,2,0,3,0,0,0,0,0,9,6,8,42.9
Mateusz Klich,0,1,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.3,10,2,32,44,72.7,9,31,4,1,1,32,44,72.7,541,229,15,15,100.0,11,15,73.3,3,5,60.0,1,0.3,0.1,7,7,4,1,9,44,41,1,0,0,0,5,0,1,0,0,0,32,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,51,0,12,18,22,0,51,1,1,100.0,0,0.0,31,289,141,4,4,0,2,1,35,11,0,0,0,2,2,0,5,0,0,0,0,0,9,1,0,100.0
Raphinha,0,0,0,0,5,0,0,0,58,3,0,1,0.6,0.6,0.1,4,1,25,39,64.1,3,28,4,5,2,25,39,64.1,396,135,13,16,81.3,10,14,71.4,2,6,33.3,0,0.1,0.1,2,3,3,1,3,39,32,7,0,1,1,5,0,7,4,0,0,25,0,0,3,1,1,0,2,2,2,100.0,0,1,0,1,0,3,2,0,58,2,13,13,33,5,58,5,2,40.0,3,60.0,28,219,143,4,3,0,2,1,38,11,0,0,0,1,1,2,5,0,1,0,0,0,7,1,3,25.0
Robin Koch,0,0,0,0,0,0,0,0,43,1,1,0,0.0,0.0,0.0,1,0,21,31,67.7,1,6,0,0,0,21,31,67.7,346,156,8,11,72.7,12,16,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,31,30,1,1,0,0,0,0,0,0,0,0,21,0,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,6,0,43,9,33,10,0,0,43,0,0,,0,,6,39,18,0,0,0,1,0,9,0,0,0,0,1,0,0,0,1,1,0,0,0,5,6,10,37.5
Stuart Dallas,1,0,0,0,4,2,0,0,64,5,3,4,0.1,0.1,0.0,3,0,25,46,54.3,7,20,1,2,1,25,46,54.3,365,111,18,22,81.8,5,11,45.5,2,9,22.2,0,0.0,0.0,1,0,0,0,7,46,38,7,1,1,0,2,5,1,1,0,0,25,1,2,5,3,5,0,0,0,2,0.0,2,4,0,4,3,8,3,0,64,1,24,19,22,2,64,2,1,50.0,1,50.0,20,110,40,1,0,0,0,2,33,4,0,0,0,0,0,0,2,3,3,0,0,0,6,1,1,50.0
Tyler Roberts,0,0,0,0,6,1,1,0,24,0,0,1,0.6,0.6,0.1,4,0,11,15,73.3,5,13,0,0,0,11,15,73.3,127,68,8,9,88.9,2,2,100.0,0,1,0.0,0,0.1,0.1,3,1,2,0,5,15,12,2,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,24,0,2,10,14,5,24,0,0,,0,,13,60,12,0,1,0,0,0,12,4,1,0,0,1,0,1,0,0,0,0,0,0,6,0,1,0.0
