player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,16,6,6,0,565,24,17,12,1.8,1.8,1.7,30,3,345,446,77.4,40,364,30,19,8,345,446,77.4,5780,2310,161,180,89.4,154,187,82.4,24,56,42.9,2,1.7,0.8,14,27,6,2,40,446,395,47,21,1,4,10,14,3,0,2,0,345,4,9,24,12,10,9,5,10,25,40.0,15,12,4,8,17,41,16,1,565,63,223,237,117,17,565,19,8,42.1,11,57.9,364,2209,1175,30,10,8,22,8,342,39,6,0,0,13,18,4,10,17,12,0,0,0,71,4,7,36.4
Adam Forshaw,0,0,0,0,2,1,1,0,62,5,2,3,0.1,0.1,0.1,5,0,44,51,86.3,2,36,2,3,2,44,51,86.3,545,149,31,35,88.6,11,12,91.7,0,2,0.0,0,0.1,0.0,1,3,0,0,2,51,46,5,5,0,0,0,0,0,0,0,0,44,0,0,5,2,1,3,1,1,6,16.7,5,3,0,3,2,7,0,0,62,0,16,35,12,2,62,3,2,66.7,1,33.3,36,165,95,2,1,0,1,0,36,0,1,0,0,2,1,0,0,2,2,0,0,0,6,0,0,
Daniel James,0,1,0,0,0,0,0,0,31,0,1,1,0.0,0.0,0.8,3,1,11,22,50.0,2,20,6,4,1,11,22,50.0,170,60,4,6,66.7,5,11,45.5,1,1,100.0,1,0.8,0.2,2,1,0,0,2,22,20,1,1,0,0,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,31,1,7,11,15,3,31,4,1,25.0,3,75.0,20,182,78,6,1,3,1,3,15,7,0,0,0,1,2,1,2,1,0,0,0,0,8,2,0,100.0
Diego Llorente,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,19,23,82.6,2,21,0,0,0,19,23,82.6,375,123,5,5,100.0,12,14,85.7,2,4,50.0,0,0.0,0.0,0,2,0,0,2,23,23,0,0,0,0,0,0,0,0,0,0,19,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,27,2,16,11,0,0,27,0,0,,0,,21,123,76,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0
Illan Meslier,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,27,38,71.1,0,33,0,0,0,27,38,71.1,551,339,8,8,100.0,15,16,93.8,4,13,30.8,0,0.0,0.0,0,0,0,0,0,38,32,5,1,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40,34,40,0,0,0,40,0,0,,0,,33,190,123,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Harrison,0,0,0,0,1,0,0,0,17,0,0,1,0.4,0.4,0.0,0,0,3,10,30.0,1,12,1,1,0,3,10,30.0,29,5,2,3,66.7,1,5,20.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,10,10,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,17,1,4,5,9,1,17,1,0,0.0,1,100.0,12,62,30,1,1,0,2,0,10,3,0,0,0,0,3,0,3,0,0,0,0,0,3,0,1,0.0
Joe Gelhardt,0,0,0,0,3,1,0,0,19,2,0,3,0.3,0.3,0.1,3,0,6,7,85.7,2,13,4,2,0,6,7,85.7,99,27,1,2,50.0,5,5,100.0,0,0,,0,0.1,0.0,2,0,1,0,2,7,5,2,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,2,1,2,50.0,1,3,0,3,0,2,0,0,19,0,0,7,13,5,19,2,0,0.0,2,100.0,13,79,47,4,0,3,1,1,12,5,0,0,0,0,2,0,0,0,1,0,0,0,2,0,1,0.0
Junior Firpo,0,1,0,0,0,0,1,0,47,4,3,2,0.0,0.0,0.3,8,2,28,33,84.8,7,31,1,2,1,28,33,84.8,476,165,12,13,92.3,15,17,88.2,1,1,100.0,1,0.3,0.2,4,6,3,2,7,33,27,5,0,0,0,2,5,0,0,0,0,28,1,0,4,3,1,2,1,2,2,100.0,0,2,1,1,3,7,2,0,47,4,11,20,16,0,47,2,1,50.0,1,50.0,31,137,69,1,0,0,1,2,29,5,1,0,0,2,3,1,2,3,3,0,0,0,4,2,0,100.0
Luke Ayling,0,0,0,0,0,0,1,0,63,2,2,0,0.0,0.0,0.0,0,0,44,54,81.5,5,39,3,1,0,44,54,81.5,969,434,11,12,91.7,26,30,86.7,7,11,63.6,0,0.0,0.0,0,5,0,0,5,54,51,3,1,0,1,0,2,0,0,0,0,44,0,1,2,1,2,0,0,1,3,33.3,2,0,0,0,2,4,3,0,63,5,38,23,4,0,63,1,0,0.0,1,100.0,39,321,193,3,2,0,1,0,38,1,1,0,0,1,0,0,0,2,1,0,0,0,9,0,1,0.0
Mateusz Klich,0,0,0,0,7,2,1,0,57,3,1,0,0.3,0.3,0.4,3,0,30,41,73.2,5,36,5,3,2,30,41,73.2,426,170,21,22,95.5,9,13,69.2,0,3,0.0,0,0.4,0.2,2,3,1,0,5,41,34,6,5,1,0,0,1,0,0,0,0,30,1,1,3,2,1,2,0,1,2,50.0,1,0,0,0,1,4,2,0,57,3,9,33,17,4,57,3,2,66.7,1,33.3,36,238,138,5,2,1,5,1,33,6,1,0,0,4,1,1,0,1,2,0,0,0,11,0,0,
Pascal Struijk,0,0,0,0,0,0,1,0,64,0,2,1,0.0,0.0,0.0,2,0,50,55,90.9,4,36,0,0,0,50,55,90.9,928,395,19,20,95.0,25,27,92.6,6,8,75.0,0,0.0,0.0,0,3,0,0,4,55,49,6,6,0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,3,1,64,7,39,22,3,0,64,0,0,,0,,36,179,73,0,0,0,3,0,40,1,1,0,0,1,2,0,0,2,0,0,0,0,6,0,1,0.0
Raphinha,1,0,0,0,1,1,1,0,22,2,0,0,0.7,0.7,0.0,2,0,11,18,61.1,5,15,2,1,0,11,18,61.1,236,114,6,8,75.0,3,4,75.0,2,6,33.3,0,0.0,0.0,1,2,1,0,5,18,14,4,1,0,1,3,0,3,0,2,0,11,0,0,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,1,0,22,3,7,7,9,2,22,1,0,0.0,1,100.0,15,89,36,2,1,1,1,0,13,3,1,0,0,0,1,0,3,0,1,0,0,0,5,0,0,
Robin Koch,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,0,0,6,7,85.7,80,20,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,3,4,0,0,7,0,0,,0,,6,34,21,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Rodrigo,1,0,0,0,2,1,0,0,45,2,0,0,0.1,0.1,0.1,4,0,25,37,67.6,1,29,4,0,0,25,37,67.6,278,91,16,21,76.2,6,9,66.7,0,2,0.0,0,0.1,0.0,2,0,0,0,1,37,33,4,0,0,1,0,1,0,0,0,0,25,0,2,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,45,0,4,30,11,0,45,0,0,,0,,29,196,106,4,1,0,5,0,35,6,0,0,0,2,0,1,0,0,1,0,0,0,2,0,2,0.0
Stuart Dallas,0,0,0,0,0,0,0,0,64,3,6,1,0.0,0.0,0.0,0,0,41,50,82.0,4,37,2,2,2,41,50,82.0,618,218,22,22,100.0,18,20,90.0,1,4,25.0,0,0.0,0.0,0,2,0,0,4,50,44,6,1,0,0,0,5,0,0,0,0,41,0,3,3,0,2,1,0,2,3,66.7,1,1,1,0,6,9,2,0,64,3,29,29,8,0,64,2,2,100.0,0,0.0,37,214,90,2,1,0,1,1,33,2,0,0,0,0,2,0,0,6,0,0,0,0,11,0,0,
