player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,1,1,17,3,2,0,665,25,14,8,1.6,0.9,0.7,33,2,429,535,80.2,50,383,28,26,21,429,535,80.2,7759,2212,171,199,85.9,200,229,87.3,44,72,61.1,0,0.7,0.6,13,34,8,2,50,535,495,39,13,2,6,21,14,6,3,3,0,429,1,10,25,15,7,12,6,10,21,47.6,11,8,2,6,14,39,11,1,665,38,159,323,190,36,664,26,21,80.8,5,19.2,383,2414,1451,28,16,7,17,11,424,50,2,0,0,15,12,1,21,14,15,1,0,0,65,12,12,50.0
Crysencio Summerville,0,0,0,0,1,0,0,0,29,3,1,0,0.0,0.0,0.0,0,0,15,20,75.0,0,17,2,1,0,15,20,75.0,166,42,10,11,90.9,3,7,42.9,0,0,,0,0.0,0.0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,0,0,0,15,0,0,3,2,1,0,2,1,1,100.0,0,0,0,0,1,4,0,0,29,1,5,5,19,5,29,1,0,0.0,1,100.0,17,80,49,2,0,0,1,1,19,9,0,0,0,1,1,0,1,1,2,0,0,0,4,0,0,
Daniel James,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,1,0,15,21,71.4,1,12,1,0,0,15,21,71.4,232,40,7,9,77.8,6,8,75.0,1,1,100.0,0,0.0,0.0,1,2,2,1,1,21,20,1,0,0,0,4,0,0,0,0,0,15,0,1,2,1,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0,28,0,3,7,19,1,28,0,0,,0,,12,79,38,1,0,0,0,2,16,4,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,
Diego Llorente,0,0,0,0,2,0,0,0,100,3,1,1,0.0,0.0,0.0,0,0,66,83,79.5,12,57,5,0,0,66,83,79.5,1361,411,12,16,75.0,43,47,91.5,7,11,63.6,0,0.0,0.0,0,5,1,0,12,83,81,2,2,0,2,0,0,0,0,0,0,66,0,2,3,2,1,2,0,1,4,25.0,3,1,0,1,1,4,2,0,100,4,31,62,7,2,100,0,0,,0,,57,599,510,5,0,0,2,0,62,0,0,0,0,1,1,0,0,1,2,0,0,0,8,4,4,50.0
Illan Meslier,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,13,0,0,0,23,28,82.1,488,264,6,6,100.0,13,13,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,28,23,5,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,22,30,0,0,0,30,0,0,,0,,13,75,58,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Jack Harrison,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,17,26,65.4,2,26,4,2,0,17,26,65.4,286,54,9,12,75.0,7,9,77.8,1,2,50.0,0,0.0,0.0,1,1,1,0,2,26,25,1,0,0,0,1,1,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,32,0,2,13,17,1,32,2,0,0.0,2,100.0,26,123,68,4,0,1,0,2,24,7,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,
Jamie Shackleton,0,0,0,0,0,0,1,0,77,3,1,3,0.0,0.0,0.0,2,0,58,63,92.1,6,41,4,5,3,58,63,92.1,883,159,32,32,100.0,22,23,95.7,3,4,75.0,0,0.0,0.0,0,5,0,0,6,63,54,9,1,0,0,0,8,0,0,0,0,58,0,0,3,2,2,1,0,2,4,50.0,2,3,2,1,1,4,1,0,77,4,17,45,17,2,77,5,3,60.0,2,40.0,41,241,132,4,2,2,1,0,50,5,1,0,0,3,0,0,0,1,2,0,0,0,4,2,0,100.0
Joe Gelhardt,0,0,0,0,3,1,0,0,12,0,0,0,0.2,0.2,0.0,7,2,3,3,100.0,0,6,2,3,3,3,3,100.0,28,5,3,3,100.0,0,0,,0,0,,0,0.0,0.0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,1,1,10,8,12,3,3,100.0,0,0.0,6,65,57,2,2,2,1,2,7,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,100.0
Liam Cooper,0,0,0,0,1,0,0,0,76,1,0,1,0.2,0.2,0.0,1,0,64,69,92.8,2,48,1,0,0,64,69,92.8,1286,380,16,17,94.1,39,40,97.5,7,10,70.0,0,0.0,0.0,0,1,0,0,2,69,67,2,2,0,0,0,0,0,0,0,0,64,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0,76,3,32,39,5,3,76,0,0,,0,,48,211,137,1,1,0,1,0,51,0,0,0,0,1,0,0,0,0,1,0,0,0,7,3,3,50.0
Mateusz Klich,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.0,2,0,21,30,70.0,1,23,0,2,2,21,30,70.0,281,25,13,19,68.4,7,8,87.5,0,2,0.0,0,0.0,0.0,0,0,0,0,1,30,30,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,31,0,1,17,13,1,31,2,2,100.0,0,0.0,23,125,21,0,1,0,0,0,22,6,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,
Pascal Struijk,0,0,0,0,0,0,0,0,55,5,2,0,0.0,0.0,0.0,1,0,36,41,87.8,7,26,1,0,0,36,41,87.8,684,158,11,14,78.6,20,21,95.2,4,4,100.0,0,0.0,0.0,0,5,0,0,7,41,41,0,0,0,1,0,0,0,0,0,0,36,0,0,5,3,1,4,0,1,2,50.0,1,0,0,0,2,7,1,0,55,0,4,42,9,1,55,0,0,,0,,26,90,37,1,0,0,1,1,34,1,0,0,0,1,0,1,0,2,3,0,0,0,6,0,3,0.0
Raphinha,0,0,0,0,3,1,0,0,50,2,3,1,0.1,0.1,0.1,7,0,24,36,66.7,7,35,3,9,9,24,36,66.7,472,184,10,10,100.0,8,14,57.1,5,9,55.6,0,0.1,0.1,2,6,1,0,7,36,33,3,1,0,1,3,0,2,2,0,0,24,0,2,2,1,2,0,0,1,1,100.0,0,1,0,1,3,5,0,1,50,1,10,22,20,3,50,9,9,100.0,0,0.0,35,289,145,3,3,2,2,2,30,5,0,0,0,2,1,0,3,3,1,0,0,0,6,0,0,
Rodrigo,1,0,1,1,2,0,1,0,48,3,2,1,0.9,0.1,0.4,6,0,25,37,67.6,3,30,0,3,3,25,37,67.6,529,142,13,16,81.3,5,6,83.3,7,12,58.3,0,0.4,0.2,4,2,2,1,3,37,32,5,1,1,1,8,0,4,1,3,0,25,0,1,3,1,0,1,2,1,2,50.0,1,1,0,1,2,5,1,0,48,1,4,22,23,6,47,3,3,100.0,0,0.0,30,146,31,0,2,0,2,1,33,6,1,0,0,0,2,0,8,2,1,0,0,0,7,0,1,0.0
Stuart Dallas,0,0,0,0,1,0,0,0,74,3,4,0,0.0,0.0,0.0,4,0,53,61,86.9,8,36,5,1,1,53,61,86.9,934,291,25,26,96.2,23,25,92.0,5,8,62.5,0,0.0,0.1,2,6,1,0,8,61,51,9,4,0,1,3,5,0,0,0,0,53,1,1,3,2,0,3,0,0,1,0.0,1,0,0,0,4,7,2,0,74,2,19,39,17,0,74,1,1,100.0,0,0.0,36,244,144,5,3,0,5,0,44,1,0,0,0,0,2,0,3,4,2,0,0,0,5,2,0,100.0
Tyler Roberts,0,0,0,0,2,0,0,0,23,0,0,1,0.1,0.1,0.1,1,0,9,17,52.9,1,13,0,0,0,9,17,52.9,129,57,4,8,50.0,4,8,50.0,0,0,,0,0.1,0.0,2,1,0,0,1,17,15,2,1,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,23,0,0,9,14,3,23,0,0,,0,,13,47,24,0,2,0,1,0,15,4,0,0,0,1,3,0,1,0,0,0,0,0,4,0,1,0.0
