player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,0,0,25,8,2,0,712,14,5,7,3.0,3.0,2.1,42,1,535,618,86.6,76,464,23,14,5,535,618,86.6,9246,2784,223,245,91.0,247,262,94.3,44,66,66.7,0,2.1,1.9,17,55,18,4,76,618,573,41,6,10,4,31,20,8,5,2,0,535,4,13,14,7,6,4,4,6,12,50.0,6,7,2,5,5,19,9,0,712,38,144,346,228,44,712,14,5,35.7,9,64.3,464,2854,1689,23,14,8,16,9,532,76,2,0,0,11,4,4,31,5,7,0,0,0,53,8,12,40.0
Aymeric Laporte,0,0,0,0,1,0,1,0,118,0,0,0,0.2,0.2,0.0,2,0,107,113,94.7,18,90,0,0,0,107,113,94.7,2175,805,20,23,87.0,76,76,100.0,9,12,75.0,0,0.0,0.2,1,16,1,1,18,113,113,0,0,1,0,1,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,118,3,36,77,6,3,118,0,0,,0,,90,560,448,0,0,0,0,0,101,1,1,0,0,1,0,0,1,0,0,0,0,0,8,1,0,100.0
Bernardo Silva,1,0,0,0,3,2,0,0,63,3,0,2,0.5,0.5,0.4,5,0,40,51,78.4,4,36,2,3,1,40,51,78.4,551,53,23,26,88.5,12,16,75.0,1,2,50.0,0,0.4,0.3,3,0,2,1,4,51,50,1,0,0,0,8,0,1,1,0,0,40,0,1,3,3,1,0,2,1,1,100.0,0,2,0,2,0,3,1,0,63,0,3,19,41,6,63,3,1,33.3,2,66.7,36,214,97,2,4,2,1,2,43,16,0,0,0,2,0,3,8,0,3,0,0,0,4,0,1,0.0
Ederson,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,12,0,0,0,22,24,91.7,471,335,6,6,100.0,11,11,100.0,5,7,71.4,0,0.0,0.0,0,0,0,0,0,24,17,7,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,24,26,0,0,0,26,0,0,,0,,12,62,46,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Fernandinho,0,0,0,0,1,0,0,0,10,2,0,1,0.1,0.1,0.0,1,0,6,6,100.0,3,2,0,0,0,6,6,100.0,57,48,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,,0,1,0,1,0,2,0,0,10,0,2,5,3,1,10,0,0,,0,,2,6,5,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ferrán Torres,0,0,0,0,4,1,0,0,19,0,0,0,0.7,0.7,0.0,1,0,7,11,63.6,0,11,1,0,0,7,11,63.6,95,2,2,3,66.7,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,10,1,0,1,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,19,0,1,2,16,8,19,0,0,,0,,11,47,6,1,0,1,3,1,17,11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0
Gabriel Jesus,0,0,0,0,2,2,0,0,39,1,0,0,0.3,0.3,0.0,1,0,19,32,59.4,2,32,2,2,0,19,32,59.4,246,51,12,17,70.6,7,10,70.0,0,2,0.0,0,0.0,0.1,0,0,3,1,2,32,32,0,0,2,0,6,0,0,0,0,0,19,0,1,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,39,1,3,12,26,5,39,2,0,0.0,2,100.0,32,181,77,2,0,1,2,2,32,13,0,0,0,0,0,1,6,0,0,0,0,0,4,0,3,0.0
Jack Grealish,0,0,0,0,3,1,0,0,54,1,0,0,0.4,0.4,0.3,11,0,38,45,84.4,10,44,4,2,1,38,45,84.4,494,133,26,27,96.3,8,8,100.0,2,2,100.0,0,0.3,0.3,4,1,3,0,10,45,43,0,0,0,0,2,0,0,0,0,0,38,2,4,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,54,0,2,7,45,7,54,2,1,50.0,1,50.0,44,334,184,4,3,2,0,2,46,21,0,0,0,1,2,0,2,0,1,0,0,0,1,0,0,
João Cancelo,0,0,0,0,2,0,0,0,84,3,2,0,0.1,0.1,0.1,3,1,62,74,83.8,9,55,3,2,1,62,74,83.8,966,311,37,41,90.2,16,19,84.2,5,8,62.5,0,0.1,0.2,1,10,4,1,9,74,65,8,1,3,2,3,7,0,0,0,0,62,1,1,3,3,3,0,0,1,2,50.0,1,0,0,0,2,5,2,0,84,2,16,47,21,0,84,2,1,50.0,1,50.0,55,300,154,3,1,0,1,0,57,3,0,0,0,2,0,0,3,2,3,0,0,0,5,0,2,0.0
Kyle Walker,0,0,0,0,2,1,0,0,77,2,1,2,0.1,0.1,0.0,3,0,62,66,93.9,10,46,1,0,0,62,66,93.9,1170,267,28,29,96.6,25,26,96.2,8,10,80.0,0,0.0,0.0,0,13,0,0,10,66,55,11,0,0,1,1,11,0,0,0,0,62,0,0,2,0,2,0,0,1,2,50.0,1,2,1,1,1,3,1,0,77,3,16,50,11,2,77,0,0,,0,,46,181,59,1,0,1,1,1,54,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,100.0
