,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,10,James Maddison,Leicester City,0.01,0.05,Saved,20.0,Right Foot,,Timothy Castagne,Pass (Live),James Maddison,Pass (Live)
1,13,Mason Greenwood,Manchester Utd,0.03,0.03,Saved,23.0,Left Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live)
2,17,Paul Pogba,Manchester Utd,0.1,,Off Target,8.0,Head,,Bruno Fernandes,Pass (Dead),Nemanja Matić,Pass (Live)
3,19,Mason Greenwood,Manchester Utd,0.02,0.61,Goal,26.0,Left Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live)
4,21,Timothy Castagne,Leicester City,0.07,,Blocked,19.0,Right Foot,,Jamie Vardy,Pass (Live),Timothy Castagne,Pass (Live)
5,21,Kelechi Iheanacho,Leicester City,0.09,,Blocked,18.0,Left Foot,,,,,
6,21,Jamie Vardy,Leicester City,0.02,0.05,Saved,30.0,Right Foot,,Kelechi Iheanacho,Shot,,
7,28,Cristiano Ronaldo,Manchester Utd,0.09,0.03,Saved,16.0,Right Foot,,Jadon Sancho,Pass (Live),Luke Shaw,Pass (Live)
8,29,Paul Pogba,Manchester Utd,0.04,,Off Target,23.0,Right Foot,,,,,
9,29,Harry Maguire,Manchester Utd,0.09,,Off Target,10.0,Head,,Bruno Fernandes,Pass (Dead),Paul Pogba,Shot
10,31,Youri Tielemans,Leicester City,0.04,0.71,Goal,20.0,Right Foot,,Kelechi Iheanacho,Pass (Live),Kelechi Iheanacho,Tackle
11,33,Cristiano Ronaldo,Manchester Utd,0.03,,Blocked,23.0,Right Foot,,Bruno Fernandes,Pass (Live),Nemanja Matić,Pass (Live)
12,40,Kelechi Iheanacho,Leicester City,0.08,,Off Target,21.0,Left Foot,,Youri Tielemans,Pass (Live),James Maddison,Pass (Live)
13,43,Bruno Fernandes,Manchester Utd,0.02,,Blocked,33.0,Right Foot,,Nemanja Matić,Pass (Live),,
14,,,,,,,,,,,,,
15,46,Kelechi Iheanacho,Leicester City,0.05,0.06,Saved,18.0,Left Foot,,Youri Tielemans,Pass (Live),,
16,48,Mason Greenwood,Manchester Utd,0.08,,Off Target,21.0,Left Foot,,Jadon Sancho,Pass (Live),Jadon Sancho,Take-On
17,50,Mason Greenwood,Manchester Utd,0.03,,Off Target,23.0,Left Foot,,Cristiano Ronaldo,Pass (Live),Bruno Fernandes,Pass (Live)
18,54,James Maddison,Leicester City,0.08,,Blocked,30.0,Right Foot,Free kick,Jamie Vardy,Fouled,Youri Tielemans,Pass (Live)
19,54,James Maddison,Leicester City,0.02,,Off Target,29.0,Right Foot,,James Maddison,Shot,,
