player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,4,3,0,0,12,6,0,0,588,20,7,19,3.9,3.9,2.5,18,7,375,479,78.3,28,376,13,15,7,375,479,78.3,6687,2727,161,196,82.1,167,189,88.4,34,61,55.7,3,2.5,1.2,9,30,9,4,28,479,439,39,8,0,1,9,19,3,3,0,0,375,1,9,20,5,10,8,2,10,18,55.6,8,19,0,19,7,27,16,0,588,55,223,250,121,22,588,15,7,46.7,8,53.3,376,1578,730,13,15,5,17,9,373,28,0,0,0,10,5,1,9,7,5,0,1,0,56,8,10,44.4
Ademola Lookman,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,10,12,83.3,0,10,2,0,0,10,12,83.3,147,23,6,8,75.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,16,0,1,5,11,1,16,0,0,,0,,10,47,31,2,1,1,3,0,12,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Ayoze Pérez,2,0,0,0,2,2,0,0,18,1,0,1,0.7,0.7,0.1,1,0,6,10,60.0,1,10,1,2,1,6,10,60.0,66,39,3,4,75.0,2,3,66.7,0,0,,0,0.1,0.0,1,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,18,0,2,9,8,2,18,2,1,50.0,1,50.0,10,66,35,1,1,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Daniel Amartey,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,8,0,1,1,8,8,100.0,114,24,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,2,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,3,5,0,0,8,1,1,100.0,0,0.0,8,14,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Harvey Barnes,0,1,0,0,2,0,0,0,37,2,0,1,0.0,0.0,0.6,1,1,18,27,66.7,6,26,2,1,1,18,27,66.7,218,107,14,19,73.7,4,6,66.7,0,0,,1,0.6,0.0,1,2,2,0,6,27,26,1,0,0,0,1,1,0,0,0,0,18,0,0,2,0,0,0,2,0,1,0.0,1,1,0,1,0,2,1,0,37,0,4,15,18,3,37,1,1,100.0,0,0.0,26,206,110,2,6,2,2,2,27,5,0,0,0,1,0,0,1,0,0,0,0,0,4,2,1,66.7
James Justin,0,0,0,0,0,0,0,0,67,1,0,1,0.0,0.0,0.0,0,0,52,61,85.2,3,36,1,1,1,52,61,85.2,840,369,28,31,90.3,18,19,94.7,3,5,60.0,0,0.0,0.0,0,2,1,1,3,61,49,12,1,0,0,1,11,0,0,0,0,52,0,2,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,2,0,67,2,25,27,15,0,67,1,1,100.0,0,0.0,36,142,51,1,0,0,1,1,38,2,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0.0
James Maddison,1,1,0,0,1,1,0,0,40,1,0,0,0.8,0.8,0.7,5,1,22,34,64.7,2,25,1,1,1,22,34,64.7,424,100,9,11,81.8,7,11,63.6,5,7,71.4,1,0.7,0.5,3,1,3,2,2,34,29,4,0,0,0,5,1,3,3,0,0,22,1,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,40,0,7,16,17,1,40,1,1,100.0,0,0.0,25,97,43,1,1,0,3,0,28,4,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,
Jamie Vardy,1,0,0,0,4,3,0,0,23,1,0,1,1.7,1.7,0.0,2,2,7,10,70.0,2,13,2,6,1,7,10,70.0,115,28,2,5,40.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,2,10,8,2,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,23,0,0,8,15,6,23,6,1,16.7,5,83.3,13,106,70,2,2,2,2,1,16,8,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,66.7
Jonny Evans,0,0,0,0,0,0,0,0,70,1,4,1,0.0,0.0,0.2,1,0,50,64,78.1,2,50,0,0,0,50,64,78.1,1052,335,11,13,84.6,31,34,91.2,7,16,43.8,0,0.2,0.3,1,3,1,0,2,64,62,2,2,0,0,0,0,0,0,0,0,50,0,0,1,1,1,0,0,1,1,100.0,0,1,0,1,4,5,2,0,70,10,44,26,2,1,70,0,0,,0,,50,173,68,0,0,0,0,0,44,0,0,0,0,1,1,0,0,4,1,0,0,0,9,2,1,66.7
Kasper Schmeichel,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,26,32,81.3,0,20,0,0,0,26,32,81.3,800,649,4,4,100.0,14,14,100.0,8,14,57.1,0,0.0,0.0,0,1,0,0,0,32,20,12,5,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,26,33,0,0,0,33,0,0,,0,,20,53,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kiernan Dewsbury-Hall,0,0,0,0,0,0,0,0,34,0,0,8,0.0,0.0,0.0,1,0,19,26,73.1,3,21,2,1,1,19,26,73.1,322,130,8,10,80.0,9,10,90.0,1,2,50.0,0,0.0,0.0,1,3,0,0,3,26,26,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,8,0,8,0,0,0,0,34,0,4,20,10,1,34,1,1,100.0,0,0.0,21,106,54,2,1,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Nampalys Mendy,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.0,1,1,27,35,77.1,1,30,0,0,0,27,35,77.1,397,94,17,21,81.0,8,10,80.0,2,3,66.7,0,0.0,0.0,0,2,0,0,1,35,35,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,40,0,14,24,2,0,40,0,0,,0,,30,99,48,0,1,0,0,1,29,0,0,0,0,3,0,0,0,1,0,0,0,0,4,1,0,100.0
Ricardo Pereira,0,1,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.3,1,1,14,16,87.5,1,12,0,0,0,14,16,87.5,167,82,9,10,90.0,4,4,100.0,0,1,0.0,1,0.3,0.1,1,1,0,0,1,16,15,1,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,19,1,6,9,4,1,19,0,0,,0,,12,27,18,0,1,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Timothy Castagne,0,0,0,0,1,0,0,0,47,2,0,1,0.3,0.3,0.5,1,0,28,37,75.7,0,26,1,2,0,28,37,75.7,457,188,8,11,72.7,17,18,94.4,2,4,50.0,0,0.5,0.1,1,3,1,1,0,37,33,4,0,0,0,1,4,0,0,0,0,28,0,1,2,0,1,1,0,1,2,50.0,1,1,0,1,0,2,1,0,47,1,16,23,8,3,47,2,0,0.0,2,100.0,26,87,35,1,1,0,2,0,24,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0.0
Wesley Fofana,0,0,0,0,1,0,0,0,73,4,2,0,0.2,0.2,0.0,1,0,48,57,84.2,1,49,0,0,0,48,57,84.2,991,330,15,18,83.3,29,33,87.9,4,6,66.7,0,0.0,0.0,0,2,0,0,1,57,57,0,0,0,0,0,0,0,0,0,0,48,0,1,4,3,4,0,0,3,5,60.0,2,0,0,0,2,6,6,0,73,14,48,24,2,2,73,0,0,,0,,49,252,100,0,0,0,1,1,43,0,0,0,0,0,2,0,0,2,3,0,0,0,10,0,2,0.0
Youri Tielemans,0,0,0,0,1,0,0,0,63,5,0,4,0.0,0.0,0.0,2,1,40,50,80.0,6,40,1,0,0,40,50,80.0,577,229,22,26,84.6,15,18,83.3,1,2,50.0,0,0.0,0.0,0,6,1,0,6,50,49,1,0,0,0,1,1,0,0,0,0,40,0,0,5,1,1,4,0,2,3,66.7,1,4,0,4,0,5,1,0,63,1,16,39,9,1,63,0,0,,0,,40,103,43,1,0,0,2,2,43,1,0,0,0,2,0,0,1,0,1,0,1,0,8,1,2,33.3
