player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,3,0,0,27,8,2,0,745,20,14,12,3.2,3.2,2.4,45,6,541,625,86.6,48,538,29,24,16,541,625,86.6,8833,2797,268,296,90.5,223,249,89.6,40,58,69.0,3,2.4,2.0,19,36,14,2,48,625,589,36,6,5,0,18,14,8,6,0,0,541,0,6,20,11,7,9,4,8,16,50.0,8,12,5,7,14,34,14,1,745,50,159,402,196,39,745,24,16,66.7,8,33.3,538,2939,1691,29,24,6,15,9,540,48,2,0,0,12,5,0,18,14,11,0,0,0,54,14,9,60.9
Ben Davies,0,0,0,0,0,0,0,0,84,4,1,1,0.0,0.0,0.1,1,0,69,76,90.8,5,62,2,0,0,69,76,90.8,965,266,39,40,97.5,28,32,87.5,1,3,33.3,0,0.1,0.0,1,5,0,0,5,76,76,0,0,0,0,0,0,0,0,0,0,69,0,0,4,1,4,0,0,2,2,100.0,0,1,0,1,1,5,2,0,84,5,20,54,11,1,84,0,0,,0,,62,411,302,2,4,0,2,0,61,1,0,0,0,2,0,0,0,1,1,0,0,0,5,4,2,66.7
Davinson Sánchez,0,0,0,0,1,0,1,0,101,3,2,2,0.1,0.1,0.2,2,0,87,89,97.8,2,79,0,0,0,87,89,97.8,1805,625,22,22,100.0,57,58,98.3,8,8,100.0,0,0.2,0.5,2,2,0,0,2,89,87,2,1,0,0,0,1,0,0,0,0,87,0,1,3,3,1,1,1,1,2,50.0,1,2,2,0,2,5,5,0,101,12,36,63,3,2,101,0,0,,0,,79,488,238,0,0,0,0,0,77,0,1,0,0,2,0,0,0,2,3,0,0,0,6,0,0,
Emerson,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.0,2,0,15,18,83.3,1,10,0,1,0,15,18,83.3,197,57,9,11,81.8,6,6,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,18,14,4,1,0,0,0,3,0,0,0,0,15,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,21,0,5,8,8,1,21,1,0,0.0,1,100.0,10,36,7,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Giovani Lo Celso,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,1,0,8,9,88.9,1,7,0,1,1,8,9,88.9,96,20,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,1,12,0,3,4,5,1,12,1,1,100.0,0,0.0,7,25,10,0,0,0,1,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,
Harry Kane,1,1,0,0,10,2,0,0,54,1,0,0,1.5,1.5,0.3,10,2,24,36,66.7,6,44,8,4,4,24,36,66.7,421,193,12,15,80.0,9,15,60.0,3,3,100.0,1,0.3,0.2,2,4,3,0,6,36,36,0,0,1,0,1,0,0,0,0,0,24,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,54,2,4,22,32,11,54,4,4,100.0,0,0.0,44,322,213,8,6,3,2,2,45,11,0,0,0,3,1,0,1,0,0,0,0,0,7,4,2,66.7
Harry Winks,0,1,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.9,4,1,61,68,89.7,7,54,0,0,0,61,68,89.7,1172,433,17,18,94.4,32,33,97.0,10,13,76.9,1,0.9,0.4,4,5,1,0,7,68,62,6,1,1,0,4,0,4,3,0,0,61,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,71,1,9,53,9,0,71,0,0,,0,,54,235,90,0,0,0,3,0,54,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,1,0.0
Hugo Lloris,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,10,0,0,0,15,16,93.8,332,236,5,5,100.0,5,5,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,16,11,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,15,18,0,0,0,18,0,0,,0,,10,38,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Japhet Tanganga,0,0,0,0,2,1,0,0,91,4,1,1,0.2,0.2,0.0,0,0,68,79,86.1,6,72,3,1,1,68,79,86.1,961,194,42,47,89.4,23,27,85.2,1,3,33.3,0,0.0,0.0,0,1,0,0,6,79,76,3,1,0,0,1,2,0,0,0,0,68,0,0,4,2,1,3,0,1,1,100.0,0,1,1,0,1,5,3,0,91,8,27,52,13,1,91,1,1,100.0,0,0.0,72,330,216,3,2,0,1,0,71,1,0,0,0,1,2,0,1,1,2,0,0,0,6,2,1,66.7
Lucas Moura,0,0,0,0,2,1,0,0,41,0,2,0,0.1,0.1,0.4,5,1,25,33,75.8,4,28,1,6,2,25,33,75.8,420,78,13,15,86.7,9,12,75.0,3,6,50.0,0,0.4,0.2,2,2,0,0,4,33,31,2,0,1,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,41,1,3,16,23,2,41,6,2,33.3,4,66.7,28,168,73,1,3,0,0,2,31,6,0,0,0,1,0,0,3,2,0,0,0,0,1,1,1,50.0
