player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,3,0,0,27,13,0,0,875,9,9,7,2.8,2.8,1.8,43,6,619,775,79.9,44,378,27,20,9,619,775,79.9,9564,3144,306,351,87.2,214,249,85.9,49,93,52.7,3,1.8,1.8,18,58,14,1,44,775,720,53,13,2,7,32,26,9,1,8,0,619,2,20,9,7,5,3,1,6,12,50.0,6,7,2,5,9,18,5,0,875,35,166,407,304,37,875,20,9,45.0,11,55.0,378,1754,873,27,20,5,13,10,613,44,0,0,0,6,5,2,32,9,7,0,0,0,75,24,19,55.8
Alex Oxlade-Chamberlain,1,0,0,0,2,1,0,0,39,0,0,2,0.2,0.2,0.1,4,0,21,29,72.4,2,16,3,0,0,21,29,72.4,251,52,13,15,86.7,5,7,71.4,0,0,,0,0.1,0.1,3,2,1,1,2,29,29,0,0,1,0,3,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,39,0,1,18,20,6,39,0,0,,0,,16,95,71,3,3,0,4,2,29,8,0,0,0,1,0,1,3,0,0,0,0,0,2,1,2,33.3
Alisson,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,35,45,77.8,0,26,0,0,0,35,45,77.8,808,530,8,8,100.0,20,20,100.0,7,17,41.2,0,0.0,0.0,0,1,0,0,0,45,38,7,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,46,23,45,1,0,0,46,0,0,,0,,26,77,43,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Andrew Robertson,0,1,0,0,1,0,0,0,105,1,1,0,0.0,0.0,0.3,7,0,79,100,79.0,6,42,5,2,2,79,100,79.0,1152,429,49,54,90.7,21,28,75.0,6,15,40.0,1,0.3,0.1,3,12,1,0,6,100,85,15,3,0,1,11,9,3,0,3,0,79,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,105,2,18,45,42,4,105,2,2,100.0,0,0.0,42,174,129,5,4,1,0,1,66,4,0,0,0,0,1,0,11,1,1,0,0,0,13,2,1,66.7
Curtis Jones,0,0,0,0,2,2,0,0,75,1,1,0,0.0,0.0,0.0,3,0,52,62,83.9,0,44,5,7,3,52,62,83.9,603,91,39,41,95.1,12,15,80.0,0,1,0.0,0,0.0,0.0,0,4,0,0,0,62,61,1,0,0,0,1,1,0,0,0,0,52,0,3,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,75,0,3,30,42,0,75,7,3,42.9,4,57.1,44,254,130,5,2,0,1,2,59,4,0,0,0,2,1,0,1,1,1,0,0,0,6,1,2,33.3
Diogo Jota,0,0,0,0,6,2,0,0,53,0,0,1,0.8,0.8,0.0,3,0,31,41,75.6,4,27,4,3,0,31,41,75.6,413,92,16,20,80.0,9,10,90.0,1,3,33.3,0,0.0,0.0,0,1,1,0,4,41,41,0,0,0,1,2,0,0,0,0,0,31,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,53,0,3,13,37,7,53,3,0,0.0,3,100.0,27,166,79,4,1,2,1,0,43,6,0,0,0,0,1,0,2,0,0,0,0,0,4,2,5,28.6
Fabinho,1,0,0,0,2,2,0,0,86,0,2,1,0.2,0.2,0.1,5,0,68,76,89.5,2,37,0,0,0,68,76,89.5,930,270,36,39,92.3,25,26,96.2,1,2,50.0,0,0.1,0.0,4,4,1,0,2,76,75,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,0,0,86,0,12,56,18,1,86,0,0,,0,,37,181,71,0,2,0,2,0,59,1,0,0,0,0,1,0,0,2,0,0,0,0,8,7,1,87.5
James Milner,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.1,1,0,20,24,83.3,1,10,0,0,0,20,24,83.3,254,43,8,9,88.9,9,9,100.0,0,2,0.0,0,0.1,0.0,1,3,0,0,1,24,24,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,0,0,19,6,0,25,0,0,,0,,10,20,11,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
Jordan Henderson,0,0,0,0,0,0,0,0,100,2,2,0,0.0,0.0,0.1,3,2,71,93,76.3,10,35,3,2,1,71,93,76.3,1028,319,37,45,82.2,21,28,75.0,5,6,83.3,0,0.1,0.1,1,10,4,0,10,93,90,3,0,0,1,4,2,0,0,0,0,71,0,5,2,1,1,1,0,2,3,66.7,1,0,0,0,2,4,0,0,100,0,4,55,41,1,100,2,1,50.0,1,50.0,35,222,83,3,4,0,1,0,80,3,0,0,0,0,0,0,4,2,1,0,0,0,6,2,1,66.7
Joël Matip,0,0,0,0,3,1,0,0,86,2,2,3,0.2,0.2,0.0,0,0,65,73,89.0,4,35,1,0,0,65,73,89.0,1266,346,24,28,85.7,29,31,93.5,11,12,91.7,0,0.0,0.0,0,6,0,0,4,73,70,3,2,0,0,0,1,0,0,0,0,65,0,1,2,2,2,0,0,2,3,66.7,1,3,2,1,2,4,2,0,86,6,29,47,10,4,86,0,0,,0,,35,159,90,1,2,0,0,2,50,0,0,0,0,0,0,0,0,2,2,0,0,0,7,6,1,85.7
