player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,13,2,1,0,530,24,12,21,0.6,0.6,0.4,24,0,275,377,72.9,24,294,9,17,7,275,377,72.9,4594,1766,140,158,88.6,94,119,79.0,29,69,42.0,0,0.4,0.8,9,18,6,1,24,377,321,53,17,1,3,17,19,5,0,5,0,275,3,7,24,15,17,7,0,9,21,42.9,12,21,10,11,12,36,26,0,530,77,220,200,119,23,530,17,7,41.2,10,58.8,294,1260,584,9,10,3,20,11,273,24,1,0,0,11,16,3,17,12,15,0,0,0,52,7,21,25.0
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,28,2,2,3,0.0,0.0,0.0,1,0,15,17,88.2,1,13,0,2,0,15,17,88.2,184,47,11,12,91.7,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,1,17,16,1,1,0,0,0,0,0,0,0,0,15,0,0,2,2,1,1,0,1,2,50.0,1,3,1,2,2,4,1,0,28,2,11,15,3,1,28,2,0,0.0,2,100.0,13,38,5,0,0,0,1,0,13,0,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,
Christian Benteke,0,0,0,0,3,0,0,0,20,0,0,2,0.1,0.1,0.0,1,0,5,11,45.5,0,10,0,0,0,5,11,45.5,52,0,3,5,60.0,1,2,50.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,11,8,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,3,0,20,4,7,6,8,5,20,0,0,,0,,10,39,32,0,0,0,1,0,11,3,0,0,0,1,0,1,0,0,0,0,0,0,2,3,4,42.9
Conor Gallagher,0,0,0,0,0,0,0,0,48,0,0,2,0.0,0.0,0.0,5,0,25,35,71.4,3,22,0,1,0,25,35,71.4,515,213,10,12,83.3,8,12,66.7,6,8,75.0,0,0.0,0.2,2,2,1,0,3,35,26,9,4,0,0,8,0,5,0,5,0,25,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,48,2,9,23,16,4,48,1,0,0.0,1,100.0,22,66,20,0,0,0,2,2,22,2,0,0,0,2,3,0,8,0,0,0,0,0,3,0,3,0.0
James McArthur,0,0,0,0,1,0,0,0,37,1,0,2,0.0,0.0,0.0,2,0,20,24,83.3,3,23,0,4,2,20,24,83.3,355,43,7,7,100.0,8,10,80.0,3,5,60.0,0,0.0,0.1,1,0,1,0,3,24,21,3,1,0,0,0,1,0,0,0,0,20,0,0,1,1,1,0,0,1,2,50.0,1,2,2,0,0,1,1,0,37,2,9,19,9,0,37,4,2,50.0,2,50.0,23,78,21,0,0,0,3,0,18,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,
Jaïro Riedewald,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.1,3,0,13,16,81.3,1,14,1,2,1,13,16,81.3,177,64,11,14,78.6,1,1,100.0,1,1,100.0,0,0.1,0.0,2,1,0,0,1,16,15,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,20,1,5,12,6,1,20,2,1,50.0,1,50.0,14,68,28,1,4,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,
Joachim Andersen,0,0,0,0,0,0,0,0,58,0,4,1,0.0,0.0,0.1,1,0,39,50,78.0,0,36,0,0,0,39,50,78.0,879,299,9,10,90.0,23,25,92.0,7,14,50.0,0,0.1,0.0,1,5,0,0,0,50,47,3,3,0,2,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,4,4,3,0,58,10,36,21,1,0,58,0,0,,0,,36,216,117,0,0,0,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,3,25.0
Joel Ward,0,0,0,0,2,1,1,0,46,4,0,2,0.1,0.1,0.0,2,0,20,30,66.7,3,20,1,0,0,20,30,66.7,294,85,12,14,85.7,6,7,85.7,2,9,22.2,0,0.0,0.1,0,1,1,1,3,30,24,6,3,0,0,3,3,0,0,0,0,20,0,0,4,2,4,0,0,2,5,40.0,3,2,2,0,0,4,5,0,46,7,20,13,15,0,46,0,0,,0,,20,88,49,1,2,0,0,0,19,1,1,0,0,2,1,0,3,0,2,0,0,0,3,1,1,50.0
Jordan Ayew,0,0,0,0,4,0,0,0,44,2,1,5,0.2,0.2,0.1,3,0,19,25,76.0,3,28,3,2,1,19,25,76.0,259,54,11,11,100.0,7,9,77.8,0,2,0.0,0,0.1,0.2,1,3,0,0,3,25,25,0,0,1,0,2,0,0,0,0,0,19,0,1,2,1,1,1,0,0,0,,0,5,1,4,1,3,0,0,44,1,8,21,17,2,44,2,1,50.0,1,50.0,28,169,91,3,3,0,5,2,26,7,0,0,0,0,4,0,2,1,1,0,0,0,9,2,4,33.3
Marc Guéhi,0,0,0,0,0,0,0,0,55,5,0,2,0.0,0.0,0.0,1,0,35,44,79.5,3,34,0,0,0,35,44,79.5,658,282,16,17,94.1,15,17,88.2,3,9,33.3,0,0.0,0.0,0,2,1,0,3,44,40,4,4,0,1,0,0,0,0,0,0,35,0,0,5,2,3,2,0,2,2,100.0,0,2,2,0,0,5,3,0,55,13,39,14,2,0,55,0,0,,0,,34,109,27,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,3,0.0
