player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,14,3,2,1,807,16,6,6,0.7,0.7,0.6,25,0,602,724,83.1,68,416,34,18,9,602,724,83.1,10379,3023,282,314,89.8,245,274,89.4,58,93,62.4,0,0.6,0.9,11,46,14,2,68,724,657,65,16,1,3,32,34,7,0,7,0,602,2,19,16,10,4,9,3,7,13,53.8,6,6,1,5,6,22,3,1,807,37,163,383,263,43,807,18,9,50.0,9,50.0,416,2712,1522,34,24,11,12,12,600,68,2,1,0,11,10,2,32,6,10,0,0,0,51,13,14,48.1
Aymeric Laporte,0,0,0,0,0,0,0,1,49,0,0,0,0.0,0.0,0.0,2,0,47,49,95.9,6,28,1,0,0,47,49,95.9,1020,343,14,15,93.3,26,26,100.0,7,8,87.5,0,0.0,0.0,1,5,0,0,6,49,48,1,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,49,0,15,31,4,0,49,0,0,,0,,28,191,125,1,1,0,0,0,39,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,2,0.0
Bernardo Silva,0,0,0,0,0,0,1,0,80,1,0,1,0.0,0.0,0.0,1,0,63,73,86.3,8,43,10,2,1,63,73,86.3,924,188,36,38,94.7,23,26,88.5,2,6,33.3,0,0.0,0.1,0,8,0,0,8,73,70,3,1,0,1,1,2,0,0,0,0,63,0,0,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,80,0,13,37,30,7,80,2,1,50.0,1,50.0,43,354,241,10,5,3,2,0,62,8,1,0,0,1,2,0,1,0,0,0,0,0,5,0,0,
Ederson,0,0,0,0,0,0,1,0,33,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,18,0,0,0,30,32,93.8,659,364,6,6,100.0,19,19,100.0,5,7,71.4,0,0.0,0.0,0,0,0,0,0,32,26,6,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,24,33,0,0,0,33,0,0,,0,,18,49,29,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Gabriel Jesus,0,0,0,0,4,1,0,0,42,2,1,0,0.3,0.3,0.1,3,0,27,32,84.4,4,18,2,6,4,27,32,84.4,352,93,12,14,85.7,9,10,90.0,1,1,100.0,0,0.1,0.0,1,0,1,0,4,32,28,4,0,0,0,1,2,0,0,0,0,27,0,1,2,1,0,0,2,1,2,50.0,1,0,0,0,1,3,0,0,42,0,4,13,25,7,42,6,4,66.7,2,33.3,18,210,67,2,1,1,0,1,33,12,0,0,0,2,1,1,1,1,1,0,0,0,1,1,1,50.0
Jack Grealish,0,0,0,0,1,0,0,0,52,0,0,0,0.0,0.0,0.3,6,0,33,46,71.7,5,39,8,2,1,33,46,71.7,427,100,22,28,78.6,7,9,77.8,1,1,100.0,0,0.3,0.2,5,0,4,0,5,46,45,1,1,0,0,3,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,52,0,3,11,38,12,52,2,1,50.0,1,50.0,39,337,182,8,3,4,0,1,47,18,0,0,0,1,3,0,3,0,0,0,0,0,3,1,1,50.0
John Stones,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,1,0,22,28,78.6,0,18,3,0,0,22,28,78.6,351,175,13,15,86.7,5,6,83.3,3,4,75.0,0,0.0,0.0,0,3,0,0,0,28,26,1,1,0,0,0,0,0,0,0,0,22,1,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,31,3,9,22,0,0,31,0,0,,0,,18,175,136,3,0,0,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,0,3,4,0,100.0
João Cancelo,0,0,0,0,5,1,0,0,89,1,3,0,0.1,0.1,0.0,1,0,66,80,82.5,11,40,2,0,0,66,80,82.5,1027,307,37,39,94.9,28,30,93.3,1,9,11.1,0,0.0,0.1,0,6,1,0,11,80,67,13,2,0,0,5,11,0,0,0,0,66,0,1,1,1,0,1,0,1,1,100.0,0,0,0,0,3,4,0,0,89,0,14,51,24,2,89,0,0,,0,,40,161,96,2,3,1,1,1,66,6,0,0,0,1,0,0,5,3,1,0,0,0,2,3,2,60.0
Kevin De Bruyne,0,0,0,0,1,0,0,0,48,0,0,1,0.0,0.0,0.0,1,0,24,39,61.5,1,16,0,4,2,24,39,61.5,323,54,12,16,75.0,8,14,57.1,1,6,16.7,0,0.0,0.0,0,0,1,0,1,39,33,6,1,0,0,9,2,3,0,3,0,24,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,48,0,2,10,37,4,48,4,2,50.0,2,50.0,16,58,12,0,2,0,3,1,35,5,0,0,0,0,0,0,9,0,0,0,0,0,2,1,1,50.0
Kyle Walker,0,0,0,0,0,0,0,0,90,0,1,0,0.0,0.0,0.0,2,0,75,88,85.2,5,39,2,0,0,75,88,85.2,1363,485,36,40,90.0,30,33,90.9,9,12,75.0,0,0.0,0.0,0,6,0,0,5,88,76,11,0,0,1,2,11,0,0,0,0,75,1,2,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,90,4,23,50,17,1,90,0,0,,0,,39,196,84,2,0,0,0,0,59,3,0,0,0,0,0,0,2,1,0,0,0,0,9,1,0,100.0
