player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,7,5,0,0,31,15,1,0,755,12,9,13,3.2,3.2,2.4,51,10,577,640,90.2,59,549,35,31,17,577,640,90.2,9769,2921,257,278,92.4,277,296,93.6,35,48,72.9,5,2.4,1.7,24,39,19,2,59,640,613,26,7,8,2,17,8,6,2,3,0,577,1,9,12,5,3,5,4,3,11,27.3,8,13,1,12,9,21,12,0,755,50,150,371,244,42,755,31,17,54.8,14,45.2,549,3575,2242,35,33,12,9,1,569,59,1,0,0,5,9,1,17,9,5,0,0,0,49,8,3,72.7
Aymeric Laporte,0,0,0,0,2,1,0,0,107,2,0,2,0.1,0.1,0.0,2,0,93,98,94.9,7,82,4,1,0,93,98,94.9,1777,585,27,28,96.4,61,63,96.8,5,6,83.3,0,0.0,0.0,1,6,1,0,7,98,97,1,1,1,1,0,0,0,0,0,0,93,0,0,2,1,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0,107,4,28,74,5,2,107,1,0,0.0,1,100.0,82,536,474,4,3,0,0,0,85,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,
Bernardo Silva,0,0,0,0,1,0,0,0,39,2,0,0,0.3,0.3,0.0,4,1,33,35,94.3,2,30,0,2,1,33,35,94.3,459,60,23,24,95.8,8,9,88.9,1,1,100.0,0,0.0,0.1,1,3,0,0,2,35,34,1,1,0,0,0,0,0,0,0,0,33,0,0,2,1,0,0,2,0,3,0.0,3,0,0,0,0,2,0,0,39,0,2,18,19,2,39,2,1,50.0,1,50.0,30,172,52,0,1,0,0,0,30,4,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0
Ederson,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,42,42,100.0,0,34,0,0,0,42,42,100.0,767,569,15,15,100.0,23,23,100.0,4,4,100.0,0,0.0,0.0,0,0,0,0,0,42,38,4,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42,21,42,0,0,0,42,0,0,,0,,34,156,115,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Fernandinho,0,0,0,0,0,0,0,0,21,0,1,2,0.0,0.0,0.1,3,0,13,17,76.5,3,13,1,0,0,13,17,76.5,220,122,6,7,85.7,6,8,75.0,1,1,100.0,0,0.1,0.1,2,1,2,1,3,17,17,0,0,0,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,21,4,5,11,6,0,21,0,0,,0,,13,69,46,1,1,0,1,0,13,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,
Jack Grealish,1,0,0,0,3,2,0,0,58,0,1,0,0.3,0.3,0.0,8,2,41,43,95.3,2,41,6,6,4,41,43,95.3,505,86,29,29,100.0,11,11,100.0,0,0,,0,0.0,0.2,1,1,1,0,2,43,43,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,58,2,6,19,35,8,58,6,4,66.7,2,33.3,41,428,227,6,9,3,2,0,43,9,0,0,0,1,3,0,0,1,0,0,0,0,4,0,1,0.0
John Stones,1,0,0,0,2,2,0,0,36,1,2,0,0.3,0.3,0.0,2,1,24,27,88.9,2,16,1,1,0,24,27,88.9,459,57,9,10,90.0,12,12,100.0,3,5,60.0,0,0.0,0.0,0,1,0,0,2,27,25,2,0,0,0,0,2,0,0,0,0,24,0,0,1,1,0,1,0,0,0,,0,0,0,0,2,3,3,0,36,3,7,20,9,2,36,1,0,0.0,1,100.0,16,83,36,1,0,0,0,0,19,0,0,0,0,0,0,0,0,2,1,0,0,0,3,3,0,100.0
Kevin De Bruyne,2,0,0,0,9,4,0,0,73,2,1,0,0.7,0.7,0.5,9,0,46,60,76.7,9,49,2,2,2,46,60,76.7,775,137,20,27,74.1,23,27,85.2,3,6,50.0,0,0.5,0.3,4,3,3,0,9,60,56,4,2,4,0,4,1,0,0,0,0,46,0,1,2,0,0,1,1,1,1,100.0,0,0,0,0,1,3,1,0,73,1,3,28,43,7,73,2,2,100.0,0,0.0,49,244,160,2,6,0,0,0,60,5,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,
Nathan Aké,1,0,0,0,1,1,0,0,39,0,0,1,0.1,0.1,0.0,0,0,34,34,100.0,3,34,1,1,0,34,34,100.0,624,194,10,10,100.0,21,21,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,3,34,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,39,3,16,20,3,1,39,1,0,0.0,1,100.0,34,243,175,1,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Oleksandr Zinchenko,0,0,0,0,0,0,0,0,64,4,1,3,0.0,0.0,0.0,2,0,38,47,80.9,3,32,3,3,2,38,47,80.9,642,198,23,25,92.0,12,15,80.0,3,5,60.0,0,0.0,0.0,0,0,0,0,3,47,43,4,0,1,1,0,4,0,0,0,0,38,0,2,4,2,1,2,1,1,1,100.0,0,3,0,3,1,5,3,0,64,5,15,30,20,1,64,3,2,66.7,1,33.3,32,174,120,3,4,0,1,1,36,3,0,0,0,2,0,0,0,1,2,0,0,0,4,1,2,33.3
Phil Foden,1,1,0,0,6,1,0,0,72,0,1,0,0.4,0.4,0.3,9,2,54,63,85.7,8,61,4,4,3,54,63,85.7,871,186,28,30,93.3,21,24,87.5,3,5,60.0,1,0.3,0.3,5,5,5,0,8,63,60,3,0,0,0,5,0,3,0,3,0,54,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,72,1,3,33,36,5,72,4,3,75.0,1,25.0,61,311,98,4,1,3,1,0,64,14,0,0,0,0,1,1,5,1,0,0,0,0,3,1,0,100.0
