player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,6,3,2,2,15,6,1,0,854,7,3,5,3.7,2.1,1.7,27,9,722,785,92.0,46,624,21,23,16,722,785,92.0,11431,2871,373,387,96.4,285,299,95.3,39,59,66.1,3,1.7,1.0,9,44,15,3,46,785,737,46,7,1,2,24,18,14,11,1,0,722,2,5,7,3,1,2,4,2,14,14.3,12,5,1,4,3,10,10,0,854,30,117,512,228,39,852,23,16,69.6,7,30.4,624,2894,1500,21,23,7,13,8,716,45,1,0,0,11,9,2,24,3,3,2,0,0,23,2,3,40.0
Aymeric Laporte,1,0,0,0,1,1,0,0,113,0,0,0,0.1,0.1,0.0,1,1,109,109,100.0,4,91,0,0,0,109,109,100.0,2049,639,35,35,100.0,67,67,100.0,6,6,100.0,0,0.0,0.0,0,5,1,0,4,109,109,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,113,4,25,87,1,1,113,0,0,,0,,91,489,326,0,0,0,0,0,106,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,100.0
Bernardo Silva,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.3,6,2,51,57,89.5,5,36,5,6,2,51,57,89.5,593,72,32,34,94.1,13,15,86.7,0,0,,0,0.3,0.2,2,0,2,0,5,57,53,4,0,0,0,1,0,0,0,0,0,51,0,1,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,65,0,2,31,32,8,65,6,2,33.3,4,66.7,36,208,111,5,4,1,3,1,52,9,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,
Ederson,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,17,100.0,0,11,0,0,0,17,17,100.0,317,201,8,8,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,17,13,4,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,17,20,0,0,0,20,0,0,,0,,11,67,37,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fernandinho,0,1,0,0,1,0,1,0,68,2,1,0,0.0,0.0,0.1,2,1,62,64,96.9,4,50,0,2,2,62,64,96.9,840,150,41,41,100.0,17,18,94.4,2,3,66.7,1,0.1,0.1,1,5,2,0,4,64,63,1,1,0,0,0,0,0,0,0,0,62,0,0,2,1,1,0,1,1,3,33.3,2,0,0,0,1,3,0,0,68,0,3,53,13,1,68,2,2,100.0,0,0.0,50,202,68,0,2,0,0,1,61,1,1,0,0,4,3,0,0,1,1,0,0,0,4,0,1,0.0
João Cancelo,0,0,0,0,1,0,0,0,121,0,0,1,0.0,0.0,0.0,1,0,103,114,90.4,6,88,2,3,2,103,114,90.4,1705,372,56,58,96.6,37,40,92.5,8,10,80.0,0,0.0,0.0,0,12,0,0,6,114,105,8,1,0,1,2,7,0,0,0,0,103,1,2,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,121,2,12,88,21,2,121,3,2,66.7,1,33.3,88,330,160,2,3,1,1,0,102,4,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,
Kevin De Bruyne,1,0,0,0,3,1,0,0,50,1,0,0,0.2,0.2,0.2,7,1,32,44,72.7,6,28,1,1,1,32,44,72.7,432,133,19,21,90.5,10,14,71.4,1,5,20.0,0,0.2,0.1,3,2,2,0,6,44,37,6,1,0,0,7,1,4,4,0,0,32,1,0,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,1,0,50,1,2,14,34,4,50,1,1,100.0,0,0.0,28,86,53,1,5,0,1,0,36,8,0,0,0,1,1,0,7,0,1,0,0,0,1,0,0,
Oleksandr Zinchenko,0,0,0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,1,0,93,99,93.9,9,77,3,0,0,93,99,93.9,1484,347,44,45,97.8,35,36,97.2,8,11,72.7,0,0.0,0.3,0,10,3,1,9,99,91,8,2,1,1,1,6,0,0,0,0,93,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,100,1,10,67,23,0,100,0,0,,0,,77,338,196,3,3,0,0,0,83,1,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,100.0
Phil Foden,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,9,0,0,0,9,10,90.0,103,9,9,9,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,9,1,0,0,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,7,3,0,10,0,0,,0,,9,22,5,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Raheem Sterling,2,0,1,1,2,2,0,0,56,2,0,1,1.8,1.0,0.0,2,1,39,43,90.7,0,42,3,6,5,39,43,90.7,563,16,25,27,92.6,12,12,100.0,1,1,100.0,0,0.0,0.1,0,0,0,0,0,43,42,1,0,0,0,0,1,0,0,0,0,39,0,1,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,0,0,56,0,2,22,33,11,55,6,5,83.3,1,16.7,42,264,107,3,4,2,5,2,49,6,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,
Riyad Mahrez,1,1,1,1,4,0,0,0,67,0,0,2,1.1,0.4,0.3,4,1,41,54,75.9,5,42,6,3,2,41,54,75.9,661,170,21,24,87.5,16,18,88.9,3,9,33.3,1,0.3,0.1,2,3,2,1,5,54,43,11,1,0,0,11,2,8,7,0,0,41,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,67,1,3,16,48,8,66,3,2,66.7,1,33.3,42,223,91,6,2,3,3,3,46,10,0,0,0,4,1,0,11,0,0,0,0,0,0,0,0,
Rúben Dias,0,1,0,0,1,0,0,0,133,0,2,0,0.2,0.2,0.7,2,1,125,128,97.7,4,111,1,0,0,125,128,97.7,2059,644,62,64,96.9,57,58,98.3,5,5,100.0,1,0.7,0.0,1,6,0,0,4,128,127,1,0,0,0,0,1,0,0,0,0,125,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,133,4,31,100,2,1,133,0,0,,0,,111,499,317,1,0,0,0,0,122,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,
İlkay Gündoğan,1,0,0,0,2,2,0,0,51,1,0,1,0.2,0.2,0.0,1,1,41,46,89.1,3,39,0,2,2,41,46,89.1,625,118,21,21,100.0,13,13,100.0,4,7,57.1,0,0.0,0.1,0,1,3,1,3,46,45,1,0,0,0,1,0,1,0,0,0,41,0,0,1,0,0,0,1,0,4,0.0,4,1,0,1,0,1,0,0,51,0,7,27,18,3,51,2,2,100.0,0,0.0,39,166,29,0,0,0,0,0,41,6,0,0,0,0,0,1,1,0,0,0,0,0,6,0,1,0.0
