,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Rodri,Manchester City,0.02,,Off Target,27.0,Right Foot,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live)
1,11,Ferrán Torres,Manchester City,0.03,,Blocked,26.0,Right Foot,,Jack Grealish,Pass (Live),João Cancelo,Pass (Live)
2,22,Jack Grealish,Manchester City,0.55,0.77,Goal,5.0,Left Foot,,Kyle Walker,Pass (Live),Rúben Dias,Pass (Live)
3,27,João Cancelo,Manchester City,0.03,,Off Target,27.0,Right Foot,,Rodri,Pass (Live),Bernardo Silva,Pass (Live)
4,31,Bernardo Silva,Manchester City,0.03,,Blocked,24.0,Left Foot,,İlkay Gündoğan,Pass (Live),Jack Grealish,Pass (Live)
5,45+1,Ferrán Torres,Manchester City,0.03,,Blocked,17.0,Right Foot,,Rodri,Tackle,,
6,,,,,,,,,,,,,
7,52,Rodri,Manchester City,0.03,,Off Target,26.0,Right Foot,,Aymeric Laporte,Pass (Live),Kyle Walker,Pass (Live)
8,55,Kyle Walker,Manchester City,0.02,,Blocked,26.0,Right Foot,,Gabriel Jesus,Pass (Live),Rúben Dias,Pass (Live)
9,55,Gabriel Jesus,Manchester City,0.11,,Off Target,15.0,Left Foot,,Kyle Walker,Shot,,
10,59,Ferrán Torres,Manchester City,0.04,,Blocked,22.0,Left Foot,,Rúben Dias,Tackle,,
11,64,Aymeric Laporte,Manchester City,0.24,,Off Target,5.0,Head,,İlkay Gündoğan,Pass (Dead),Kyle Walker,Pass (Live)
12,64,Aymeric Laporte,Manchester City,0.11,0.27,Goal,10.0,Right Foot,,Aymeric Laporte,Shot,,
13,71,Raheem Sterling,Manchester City,0.74,0.78,Goal,6.0,Right Foot,,Gabriel Jesus,Pass (Live),Kyle Walker,Pass (Live)
14,78,Milot Rashica,Norwich City,0.06,,Off Target,17.0,Right Foot,,,,,
15,84,Riyad Mahrez,Manchester City,0.59,0.9,Goal,13.0,Left Foot,,Rúben Dias,Pass (Live),Aymeric Laporte,Pass (Live)
16,87,Riyad Mahrez,Manchester City,0.06,,Blocked,25.0,Left Foot,Free kick,Raheem Sterling,Fouled,Kyle Walker,Pass (Live)
17,89,Raheem Sterling,Manchester City,0.03,,Off Target,22.0,Right Foot,,Riyad Mahrez,Pass (Dead),Riyad Mahrez,Pass (Live)
