player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,4,3,0,0,24,10,0,0,887,13,11,8,3.0,3.0,1.9,40,6,721,788,91.5,66,720,33,28,16,721,788,91.5,12245,3455,328,343,95.6,327,347,94.2,55,71,77.5,3,1.9,1.4,16,43,15,2,66,788,746,42,14,4,4,18,14,9,2,3,0,721,0,8,13,8,6,5,2,9,18,50.0,9,8,2,6,11,24,9,0,887,78,256,407,231,44,887,28,16,57.1,12,42.9,720,3389,1805,33,22,9,9,4,712,65,0,0,0,10,14,0,18,11,8,0,0,0,46,4,8,33.3
Aymeric Laporte,0,0,0,0,0,0,0,0,100,0,0,0,0.0,0.0,0.0,1,0,94,98,95.9,10,89,0,0,0,94,98,95.9,1762,655,31,31,100.0,56,59,94.9,6,7,85.7,0,0.0,0.0,0,7,0,0,10,98,95,3,2,0,0,0,1,0,0,0,0,94,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,100,9,40,57,3,0,100,0,0,,0,,89,417,286,0,1,0,0,0,88,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,3,25.0
Bernardo Silva,0,1,0,0,3,0,0,0,100,2,4,2,0.5,0.5,0.2,7,2,74,85,87.1,6,80,6,6,5,74,85,87.1,1134,271,37,40,92.5,35,40,87.5,2,2,100.0,1,0.2,0.2,3,6,2,2,6,85,82,3,3,0,0,5,0,0,0,0,0,74,0,1,2,0,1,1,0,2,4,50.0,2,2,0,2,4,6,1,0,100,1,20,49,31,6,100,6,5,83.3,1,16.7,80,508,293,6,3,1,1,1,77,8,0,0,0,1,3,0,5,4,0,0,0,0,6,0,0,
Ederson,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,45,47,95.7,0,43,0,0,0,45,47,95.7,1055,579,7,7,100.0,25,25,100.0,13,15,86.7,0,0.0,0.0,0,0,0,0,0,47,44,3,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,49,39,48,1,0,0,49,0,0,,0,,43,150,92,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Grealish,0,0,0,0,1,0,0,0,54,1,0,2,0.1,0.1,0.6,8,1,41,47,87.2,9,41,8,1,0,41,47,87.2,560,133,26,28,92.9,15,16,93.8,0,0,,0,0.6,0.3,3,0,5,0,9,47,47,0,0,0,0,1,0,0,0,0,0,41,0,2,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,0,0,54,1,5,8,41,8,54,1,0,0.0,1,100.0,41,289,214,8,5,4,0,0,41,14,0,0,0,1,2,0,1,0,1,0,0,0,2,0,0,
John Stones,0,0,0,0,0,0,0,0,105,0,0,1,0.0,0.0,0.1,0,0,94,101,93.1,3,91,0,0,0,94,101,93.1,1547,441,44,47,93.6,45,46,97.8,5,8,62.5,0,0.1,0.0,1,2,0,0,3,101,98,3,2,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,105,16,58,43,4,2,105,0,0,,0,,91,422,190,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
João Cancelo,0,0,0,0,1,1,0,0,109,5,3,0,0.0,0.0,0.0,2,0,77,87,88.5,11,82,2,9,3,77,87,88.5,1204,276,49,49,100.0,19,24,79.2,8,9,88.9,0,0.0,0.0,0,8,2,0,11,87,79,8,0,0,1,2,8,0,0,0,0,77,0,3,5,4,2,2,1,4,4,100.0,0,0,0,0,3,8,2,0,109,3,22,48,39,4,109,9,3,33.3,6,66.7,82,294,105,2,1,0,2,0,80,13,0,0,0,4,1,0,2,3,4,0,0,0,4,1,1,50.0
Kevin De Bruyne,2,1,0,0,6,4,0,0,58,1,0,0,0.8,0.8,0.3,7,1,42,48,87.5,7,44,6,3,2,42,48,87.5,824,167,17,18,94.4,18,19,94.7,6,8,75.0,1,0.3,0.2,5,7,2,0,7,48,42,6,2,1,1,4,1,3,1,1,0,42,0,1,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,58,0,7,27,28,6,58,3,2,66.7,1,33.3,44,305,200,6,4,1,1,0,44,4,0,0,0,1,3,0,4,0,0,0,0,0,6,0,0,
Kyle Walker,0,0,0,0,0,0,0,0,86,1,2,0,0.0,0.0,0.0,1,0,77,81,95.1,7,69,4,2,1,77,81,95.1,1338,361,38,40,95.0,32,32,100.0,6,7,85.7,0,0.0,0.0,1,6,0,0,7,81,77,4,1,0,2,0,3,0,0,0,0,77,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,86,4,27,53,6,1,86,2,1,50.0,1,50.0,69,308,139,4,2,1,1,1,71,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,
Phil Foden,0,0,0,0,4,1,0,0,41,2,0,1,0.5,0.5,0.0,5,0,21,31,67.7,2,32,0,3,2,21,31,67.7,333,74,9,11,81.8,9,12,75.0,1,4,25.0,0,0.0,0.1,0,2,0,0,2,31,25,6,2,1,0,4,0,2,0,2,0,21,0,1,2,2,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0,41,0,2,17,23,6,41,3,2,66.7,1,33.3,32,112,40,0,0,0,3,2,30,7,0,0,0,1,2,0,4,0,2,0,0,0,5,0,1,0.0
