player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,6,1,1,0,550,9,16,11,0.3,0.3,0.1,10,0,328,452,72.6,35,288,10,18,9,328,452,72.6,5578,2182,161,186,86.6,125,150,83.3,27,73,37.0,0,0.1,0.2,3,18,3,0,35,452,399,52,13,0,5,15,20,3,2,1,0,328,1,10,9,7,3,3,3,3,13,23.1,10,11,6,5,16,25,13,0,550,81,197,243,118,12,550,18,9,50.0,9,50.0,288,1809,653,10,13,4,16,8,326,34,1,0,0,8,9,1,15,16,7,0,0,0,54,15,20,42.9
Aaron Cresswell,0,0,0,0,0,0,0,0,58,0,2,1,0.0,0.0,0.0,0,0,38,52,73.1,3,27,0,1,0,38,52,73.1,525,208,21,23,91.3,16,18,88.9,0,7,0.0,0,0.0,0.0,0,1,1,0,3,52,39,13,2,0,1,3,10,1,0,1,0,38,0,2,0,0,0,0,0,0,2,0.0,2,1,1,0,2,2,0,0,58,3,12,30,16,0,58,1,0,0.0,1,100.0,27,120,33,0,2,0,1,0,33,1,0,0,0,1,1,1,3,2,0,0,0,0,3,0,1,0.0
Alphonse Areola,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,21,40,52.5,0,20,0,0,0,21,40,52.5,785,656,2,2,100.0,8,8,100.0,11,30,36.7,0,0.0,0.0,0,0,0,0,0,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,42,40,42,0,0,0,42,0,0,,0,,20,85,41,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Dawson,0,0,0,0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0,0,30,39,76.9,1,21,0,0,0,30,39,76.9,607,250,11,12,91.7,15,18,83.3,4,8,50.0,0,0.0,0.0,0,4,0,0,1,39,37,2,2,0,1,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,45,7,28,17,0,0,45,0,0,,0,,21,124,53,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,100.0
Declan Rice,0,0,0,0,1,0,1,0,71,3,4,2,0.0,0.0,0.0,2,0,56,62,90.3,6,47,1,2,2,56,62,90.3,949,240,25,26,96.2,25,26,96.2,3,3,100.0,0,0.0,0.0,0,2,0,0,6,62,60,1,1,0,1,3,0,0,0,0,0,56,1,1,3,2,0,2,1,0,1,0.0,1,2,1,1,4,7,2,0,71,8,28,33,11,1,71,2,2,100.0,0,0.0,47,398,157,1,2,1,0,1,41,1,1,0,0,1,1,0,3,4,2,0,0,0,12,1,2,33.3
Jarrod Bowen,0,0,0,0,1,0,0,0,38,1,2,1,0.0,0.0,0.0,2,0,17,25,68.0,2,21,1,8,4,17,25,68.0,268,68,12,13,92.3,2,4,50.0,3,4,75.0,0,0.0,0.1,1,1,0,0,2,25,24,1,0,0,0,2,0,1,1,0,0,17,0,2,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,0,0,38,0,6,20,15,3,38,8,4,50.0,4,50.0,21,178,79,1,3,1,2,3,24,7,0,0,0,1,3,0,2,2,1,0,0,0,6,3,1,75.0
Kurt Zouma,0,0,0,0,0,0,0,0,41,0,0,2,0.0,0.0,0.0,0,0,29,35,82.9,0,23,0,0,0,29,35,82.9,466,105,13,13,100.0,14,17,82.4,0,3,0.0,0,0.0,0.0,1,0,0,0,0,35,34,1,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0,41,11,26,13,2,1,41,0,0,,0,,23,68,32,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,33.3
Manuel Lanzini,0,0,0,0,0,0,0,0,64,1,1,1,0.0,0.0,0.0,2,0,45,50,90.0,8,34,0,2,0,45,50,90.0,562,122,28,29,96.6,13,14,92.9,0,2,0.0,0,0.0,0.0,0,1,0,0,8,50,47,3,1,0,0,1,0,0,0,0,0,45,0,0,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,64,0,11,37,16,1,64,2,0,0.0,2,100.0,34,160,29,0,0,0,1,1,41,3,0,0,0,1,0,0,1,1,0,0,0,0,4,0,1,0.0
Michail Antonio,0,0,0,0,1,1,0,0,34,1,0,0,0.1,0.1,0.0,0,0,9,23,39.1,0,25,3,1,1,9,23,39.1,131,11,5,9,55.6,2,6,33.3,1,2,50.0,0,0.0,0.0,0,1,0,0,0,23,22,1,1,0,1,1,0,0,0,0,0,9,0,1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,34,0,0,20,15,2,34,1,1,100.0,0,0.0,25,218,64,3,1,1,7,2,28,10,0,0,0,1,1,0,1,0,1,0,0,0,4,3,7,30.0
Pablo Fornals,0,0,0,0,2,0,0,0,39,0,2,0,0.1,0.1,0.0,1,0,29,34,85.3,8,28,1,3,2,29,34,85.3,474,150,14,14,100.0,11,11,100.0,3,6,50.0,0,0.0,0.0,0,3,0,0,8,34,33,1,0,0,0,2,0,1,1,0,0,29,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,0,0,39,0,8,21,12,1,39,3,2,66.7,1,33.3,28,239,69,1,0,1,2,1,28,6,0,0,0,0,1,0,2,2,0,0,0,0,6,0,0,
