player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,1,0,0,10,4,3,0,449,31,5,11,1.0,1.0,0.6,17,3,223,331,67.4,17,200,16,13,10,223,331,67.4,4435,1907,96,121,79.3,81,104,77.9,41,79,51.9,1,0.6,0.5,7,18,4,1,17,331,289,37,5,1,2,17,12,4,4,0,0,223,5,11,31,18,15,11,5,12,27,44.4,15,11,9,2,5,36,17,1,449,64,175,181,100,17,449,13,10,76.9,3,23.1,200,1275,665,16,11,7,18,12,221,17,3,0,0,11,5,5,17,5,18,0,1,0,63,16,14,53.3
Allan Saint-Maximin,1,0,0,0,2,1,1,0,45,0,0,0,0.4,0.4,0.1,4,0,27,32,84.4,4,27,7,5,4,27,32,84.4,506,164,15,16,93.8,8,11,72.7,4,4,100.0,0,0.1,0.1,2,5,2,1,4,32,29,3,0,1,0,3,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,45,1,5,21,21,5,45,5,4,80.0,1,20.0,27,380,187,7,4,5,3,5,29,8,1,0,0,0,1,3,3,0,0,0,0,0,5,0,3,0.0
Callum Wilson,1,0,0,0,3,2,0,0,22,0,0,0,0.3,0.3,0.0,0,0,6,13,46.2,0,15,0,3,3,6,13,46.2,80,5,4,7,57.1,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,0,0,9,13,3,22,3,3,100.0,0,0.0,15,51,23,0,2,0,5,2,20,2,0,0,0,0,1,1,0,0,0,0,0,0,4,2,3,40.0
Fabian Schär,0,0,0,0,0,0,1,0,49,1,0,1,0.0,0.0,0.0,1,1,28,40,70.0,1,25,0,0,0,28,40,70.0,764,319,5,9,55.6,10,13,76.9,13,15,86.7,0,0.0,0.0,0,2,1,0,1,40,35,3,3,0,0,0,0,0,0,0,0,28,2,1,1,1,1,0,0,0,0,,0,1,1,0,0,1,4,1,49,7,29,20,1,0,49,0,0,,0,,25,150,80,0,0,0,4,0,26,0,1,0,0,1,0,0,0,0,1,0,0,0,6,4,0,100.0
Federico Fernández,0,0,0,0,0,0,0,0,41,2,0,4,0.0,0.0,0.0,0,0,18,29,62.1,0,15,0,0,0,18,29,62.1,317,157,7,7,100.0,8,13,61.5,3,7,42.9,0,0.0,0.0,0,0,0,0,0,29,27,1,1,0,0,1,0,0,0,0,0,18,1,1,2,0,2,0,0,2,3,66.7,1,4,4,0,0,2,6,0,41,9,26,14,2,0,41,0,0,,0,,15,77,29,0,0,0,0,0,21,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,0,100.0
Freddie Woodman,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,15,0,0,0,17,28,60.7,679,551,1,1,100.0,6,6,100.0,10,20,50.0,0,0.0,0.0,0,2,0,0,0,28,13,14,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,27,31,0,0,0,31,0,0,,0,,15,112,78,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacob Murphy,0,1,0,0,2,1,0,0,45,6,1,0,0.1,0.1,0.2,3,1,18,35,51.4,3,17,5,1,1,18,35,51.4,301,171,8,9,88.9,6,8,75.0,3,12,25.0,1,0.2,0.2,1,4,0,0,3,35,28,6,0,0,1,5,6,0,0,0,0,18,1,4,6,2,2,3,1,3,5,60.0,2,0,0,0,1,7,1,0,45,3,9,19,17,3,45,1,1,100.0,0,0.0,17,143,101,5,2,1,0,0,20,1,0,0,0,1,0,0,5,1,2,0,0,0,6,1,1,50.0
Jamaal Lascelles,0,0,0,0,1,0,1,0,27,0,1,1,0.0,0.0,0.0,0,0,19,23,82.6,0,15,0,0,0,19,23,82.6,352,81,5,6,83.3,13,14,92.9,1,3,33.3,0,0.0,0.0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,27,5,21,4,2,1,27,0,0,,0,,15,47,11,0,0,0,0,0,16,0,1,0,0,1,0,0,0,1,0,0,1,0,4,2,2,50.0
Joe Willock,0,0,0,0,0,0,0,0,34,4,1,2,0.0,0.0,0.0,1,0,15,21,71.4,3,14,2,2,1,15,21,71.4,183,66,11,12,91.7,3,5,60.0,0,0,,0,0.0,0.0,0,0,1,0,3,21,21,0,0,0,0,0,0,0,0,0,0,15,0,2,4,2,4,0,0,1,5,20.0,4,2,0,2,1,5,2,0,34,1,13,15,9,2,34,2,1,50.0,1,50.0,14,87,56,2,2,1,1,1,14,1,0,0,0,1,1,0,0,1,2,0,0,0,8,1,0,100.0
Joelinton,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.2,3,0,6,8,75.0,0,6,0,1,1,6,8,75.0,52,18,6,8,75.0,0,0,,0,0,,0,0.2,0.1,1,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,9,0,1,4,4,1,9,1,1,100.0,0,0.0,6,33,8,0,0,0,0,1,7,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0.0
Matt Ritchie,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,2,0,24,35,68.6,2,17,0,1,0,24,35,68.6,423,190,13,14,92.9,8,10,80.0,3,10,30.0,0,0.0,0.0,1,2,0,0,2,35,27,8,0,0,0,3,5,3,3,0,0,24,0,0,2,2,0,2,0,2,2,100.0,0,0,0,0,0,2,3,0,45,3,12,25,8,1,45,1,0,0.0,1,100.0,17,47,25,0,0,0,1,1,18,1,0,0,0,1,1,0,3,0,2,0,0,0,7,1,2,33.3
Miguel Almirón,0,0,0,0,0,0,0,0,38,8,0,0,0.0,0.0,0.0,0,0,15,23,65.2,1,17,2,0,0,15,23,65.2,244,56,7,11,63.6,5,7,71.4,1,1,100.0,0,0.0,0.0,0,0,0,0,1,23,22,1,0,0,0,3,0,0,0,0,0,15,0,2,8,4,4,2,2,0,3,0.0,3,0,0,0,0,8,0,0,38,2,12,15,11,0,38,0,0,,0,,17,90,44,2,1,0,2,2,15,1,0,0,0,4,1,0,3,0,4,0,0,0,10,1,0,100.0
Ryan Fraser,0,0,0,0,1,0,0,0,6,0,0,0,0.2,0.2,0.0,1,1,1,4,25.0,0,1,0,0,0,1,4,25.0,14,6,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,6,0,0,2,4,1,6,0,0,,0,,1,2,1,0,0,0,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Sean Longstaff,0,0,0,0,1,0,0,0,57,8,1,3,0.0,0.0,0.1,2,0,29,40,72.5,3,16,0,0,0,29,40,72.5,520,123,13,18,72.2,12,14,85.7,3,7,42.9,0,0.1,0.0,2,2,0,0,3,40,39,1,0,0,1,1,0,1,1,0,0,29,0,0,8,7,2,4,2,4,8,50.0,4,3,3,0,1,9,0,0,57,6,16,33,8,0,57,0,0,,0,,16,56,22,0,0,0,1,0,23,0,0,0,0,1,0,0,1,1,7,0,0,0,8,1,1,50.0
