player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,22,5,0,0,795,11,10,6,3.1,3.1,3.0,42,4,607,692,87.7,49,493,22,16,7,607,692,87.7,9081,3044,328,347,94.5,213,236,90.3,31,55,56.4,2,3.0,2.4,18,28,18,2,49,692,643,49,14,3,4,17,22,8,6,0,0,607,0,10,11,5,7,3,1,4,13,30.8,9,6,1,5,10,21,26,0,795,95,300,306,190,38,795,16,7,43.8,9,56.3,493,1992,1121,22,14,8,11,11,603,49,0,0,0,4,10,0,17,10,5,0,0,0,35,18,11,62.1
Andreas Christensen,0,0,0,0,0,0,0,0,93,0,1,2,0.0,0.0,0.0,0,0,82,87,94.3,1,57,0,1,1,82,87,94.3,1315,331,39,40,97.5,37,40,92.5,2,3,66.7,0,0.0,0.0,0,2,0,0,1,87,83,4,4,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,4,0,93,20,56,34,3,0,93,1,1,100.0,0,0.0,57,187,72,0,0,0,0,0,66,0,0,0,0,1,0,0,0,1,0,0,0,0,10,3,1,75.0
Antonio Rüdiger,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,0,0,60,71,84.5,4,44,0,0,0,60,71,84.5,959,354,34,37,91.9,18,21,85.7,6,10,60.0,0,0.0,0.0,0,3,0,0,4,71,70,1,1,0,2,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,75,8,41,30,4,1,75,0,0,,0,,44,172,97,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
César Azpilicueta,0,0,0,0,0,0,0,0,102,3,2,2,0.0,0.0,0.0,1,0,81,88,92.0,5,70,0,0,0,81,88,92.0,1166,468,47,48,97.9,27,30,90.0,4,6,66.7,0,0.0,0.0,0,3,1,0,5,88,85,3,2,0,0,1,1,0,0,0,0,81,0,1,3,1,2,1,0,0,0,,0,2,1,1,2,5,2,0,102,11,50,40,12,1,102,0,0,,0,,70,184,111,0,2,0,2,1,82,1,0,0,0,0,0,0,1,2,1,0,0,0,2,1,2,33.3
Edouard Mendy,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,38,43,88.4,0,30,0,0,0,38,43,88.4,795,405,8,8,100.0,25,25,100.0,5,10,50.0,0,0.0,0.0,0,0,0,0,0,43,35,8,4,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,46,40,46,0,0,0,46,0,0,,0,,30,122,51,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Hakim Ziyech,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,6,33.3,0,7,2,0,0,2,6,33.3,13,2,2,2,100.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,6,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,2,2,4,2,8,0,0,,0,,7,76,61,2,1,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Jorginho,0,0,0,0,0,0,0,0,75,2,1,1,0.0,0.0,0.1,1,0,60,69,87.0,3,46,0,0,0,60,69,87.0,819,162,31,33,93.9,22,24,91.7,1,5,20.0,0,0.1,0.0,1,2,0,0,3,69,68,1,1,0,0,0,0,0,0,0,0,60,0,1,2,1,1,1,0,1,4,25.0,3,1,0,1,1,3,2,0,75,3,22,40,13,0,75,0,0,,0,,46,153,80,0,0,0,0,1,59,0,0,0,0,0,1,0,0,1,1,0,0,0,5,1,2,33.3
Kai Havertz,0,0,0,0,4,1,0,0,55,0,0,1,0.7,0.7,0.0,8,0,39,44,88.6,8,38,5,4,1,39,44,88.6,488,149,25,26,96.2,10,11,90.9,1,2,50.0,0,0.0,0.0,0,5,1,0,8,44,44,0,0,0,1,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,55,2,6,28,21,5,55,4,1,25.0,3,75.0,38,246,153,5,1,2,0,1,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
Marcos Alonso,0,0,0,0,0,0,0,0,68,0,4,0,0.0,0.0,0.3,7,1,47,60,78.3,4,38,2,1,0,47,60,78.3,702,207,29,33,87.9,12,16,75.0,3,7,42.9,0,0.3,0.2,5,1,3,1,4,60,45,15,2,0,1,4,10,3,3,0,0,47,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,3,0,68,4,22,25,22,3,68,1,0,0.0,1,100.0,38,133,63,2,0,1,1,0,40,7,0,0,0,1,3,0,4,4,0,0,0,0,3,4,0,100.0
Mason Mount,0,1,0,0,3,1,0,0,53,1,0,0,0.3,0.3,1.1,5,1,36,43,83.7,9,31,3,3,1,36,43,83.7,480,207,13,16,81.3,15,15,100.0,1,1,100.0,1,1.1,1.1,4,5,4,0,9,43,40,3,0,1,0,2,0,3,1,0,0,36,0,2,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,53,1,4,21,28,5,53,3,1,33.3,2,66.7,31,124,97,3,2,1,2,1,41,12,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0.0
Mateo Kovačić,0,0,0,0,2,0,0,0,76,1,0,0,0.0,0.0,0.1,5,1,65,69,94.2,7,56,0,0,0,65,69,94.2,983,272,39,40,97.5,24,24,100.0,1,2,50.0,0,0.1,0.1,1,5,2,0,7,69,69,0,0,0,0,0,0,0,0,0,0,65,0,1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,76,1,15,48,13,1,76,0,0,,0,,56,201,93,0,2,0,1,2,69,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
N'Golo Kanté,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,0,0,12,15,80.0,1,7,2,3,2,12,15,80.0,150,77,8,9,88.9,4,4,100.0,0,0,,0,0.0,0.0,0,1,1,0,1,15,15,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0,18,1,3,7,8,1,18,3,2,66.7,1,33.3,7,61,53,2,0,1,1,0,12,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,100.0
Reece James,1,1,0,0,4,1,0,0,89,3,1,0,0.6,0.6,1.1,9,1,66,77,85.7,5,47,5,0,0,66,77,85.7,1005,363,39,41,95.1,16,21,76.2,7,8,87.5,1,1.1,0.8,4,1,4,1,5,77,64,13,0,0,0,9,11,2,2,0,0,66,0,1,3,2,3,0,0,2,3,66.7,1,0,0,0,1,4,3,0,89,2,29,20,40,9,89,0,0,,0,,47,214,140,5,4,1,0,1,60,11,0,0,0,0,2,0,9,1,2,0,0,0,4,1,1,50.0
Romelu Lukaku,1,0,0,0,8,2,0,0,36,0,0,0,1.5,1.5,0.3,6,0,19,20,95.0,2,21,3,3,2,19,20,95.0,206,47,14,14,100.0,3,3,100.0,0,0,,0,0.3,0.1,3,0,2,0,2,20,19,1,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,2,3,11,22,10,36,3,2,66.7,1,33.3,21,117,50,3,2,1,4,3,32,15,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,57.1
Timo Werner,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0.0,1,100.0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
