player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,0,0,17,6,1,0,518,10,7,15,1.7,1.7,1.7,31,3,247,389,63.5,30,225,24,19,7,247,389,63.5,4060,1810,137,177,77.4,84,118,71.2,23,73,31.5,1,1.7,0.6,16,18,6,1,30,389,337,49,13,1,2,13,18,6,2,0,0,247,3,6,10,7,6,3,1,5,15,33.3,10,15,6,9,7,17,43,0,518,86,229,156,144,20,518,19,7,36.8,12,63.2,225,1555,915,24,15,8,10,11,244,29,1,0,0,12,9,3,13,7,7,0,0,0,58,27,27,50.0
Ben Gibson,0,0,0,0,0,0,0,0,37,2,0,2,0.0,0.0,0.0,0,0,16,25,64.0,1,9,0,0,0,16,25,64.0,286,143,7,11,63.6,7,8,87.5,2,6,33.3,0,0.0,0.0,0,0,0,0,1,25,24,1,1,0,0,0,0,0,0,0,0,16,0,0,2,1,2,0,0,0,0,,0,2,2,0,0,2,8,0,37,9,30,7,0,0,37,0,0,,0,,9,24,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,60.0
Brandon Williams,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,0,0,0,2,3,66.7,21,16,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,5,1,1,2,2,0,5,0,0,,0,,4,35,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christos Tzolis,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Dimitris Giannoulis,0,0,0,0,0,0,0,0,67,0,1,3,0.0,0.0,0.0,3,0,36,52,69.2,3,27,3,2,0,36,52,69.2,495,275,23,29,79.3,13,18,72.2,0,2,0.0,0,0.0,0.0,1,1,1,0,3,52,41,11,0,0,0,0,11,0,0,0,0,36,0,3,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,5,0,67,8,38,22,10,0,67,2,0,0.0,2,100.0,27,201,148,3,2,0,2,1,27,1,0,0,0,0,1,0,0,1,0,0,0,0,10,4,2,66.7
Grant Hanley,0,0,0,0,1,0,0,0,48,1,3,2,0.3,0.3,0.0,0,0,12,29,41.4,2,9,0,0,0,12,29,41.4,206,70,5,13,38.5,6,11,54.5,1,4,25.0,0,0.0,0.0,0,1,0,0,2,29,29,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1,0,0,1,2,50.0,1,2,2,0,3,4,12,0,48,10,33,14,2,2,48,0,0,,0,,9,30,11,0,0,0,1,0,8,0,0,0,0,1,0,0,0,3,1,0,0,0,7,9,1,90.0
Kenny McLean,0,0,0,0,1,0,0,0,64,1,3,3,0.0,0.0,0.1,2,0,30,48,62.5,6,35,2,1,0,30,48,62.5,561,234,18,23,78.3,7,14,50.0,5,11,45.5,0,0.1,0.0,1,3,2,0,6,48,47,1,0,0,1,2,1,0,0,0,0,30,0,0,1,1,0,0,1,0,0,,0,3,1,2,3,4,5,0,64,6,27,20,18,1,64,1,0,0.0,1,100.0,35,192,104,2,3,0,1,1,34,1,0,0,0,1,1,0,2,3,1,0,0,0,7,4,3,57.1
Kieran Dowell,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.3,4,0,37,44,84.1,6,25,2,3,1,37,44,84.1,572,262,22,23,95.7,11,12,91.7,3,6,50.0,0,0.3,0.1,4,4,3,1,6,44,39,5,2,0,0,4,0,3,2,0,0,37,0,1,1,1,0,1,0,1,4,25.0,3,1,0,1,0,1,0,0,49,1,7,16,27,0,49,3,1,33.3,2,66.7,25,130,71,2,2,0,0,2,36,5,0,0,0,4,0,0,4,0,1,0,0,0,7,0,6,0.0
Lukas Rupp,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,2,0,10,12,83.3,0,9,2,3,1,10,12,83.3,111,46,9,9,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,16,1,2,9,5,0,16,3,1,33.3,2,66.7,9,86,43,2,1,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Mathias Normann,0,1,0,0,1,0,0,0,55,3,0,0,0.0,0.0,0.8,4,1,31,45,68.9,4,19,0,1,0,31,45,68.9,472,162,18,21,85.7,11,16,68.8,2,7,28.6,1,0.8,0.2,3,1,0,0,4,45,40,5,2,1,0,2,0,3,0,0,0,31,0,0,3,2,1,2,0,1,3,33.3,2,0,0,0,0,3,3,0,55,8,21,18,16,0,55,1,0,0.0,1,100.0,19,68,24,0,0,0,2,1,26,1,0,0,0,3,2,0,2,0,2,0,0,0,5,1,1,50.0
