player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,1,1,7,2,0,0,476,16,11,10,1.0,0.2,0.1,13,1,312,386,80.8,22,212,13,9,5,312,386,80.8,5465,2087,144,169,85.2,127,146,87.0,32,52,61.5,0,0.1,0.3,4,21,5,1,22,386,341,43,14,0,5,11,15,3,2,0,0,312,2,6,16,9,8,6,2,9,19,47.4,10,10,3,7,11,27,13,0,476,78,200,184,95,12,475,9,5,55.6,4,44.4,212,1471,647,13,5,2,12,11,307,22,0,0,0,8,13,2,11,11,9,0,0,0,42,4,11,26.7
Brandon Williams,0,0,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.0,2,0,31,38,81.6,2,23,1,2,1,31,38,81.6,569,212,15,16,93.8,13,17,76.5,3,3,100.0,0,0.0,0.0,1,2,1,0,2,38,30,7,1,0,0,2,6,0,0,0,0,31,1,1,3,1,2,1,0,2,4,50.0,2,1,0,1,1,4,0,0,52,3,14,19,20,0,52,2,1,50.0,1,50.0,23,178,44,1,1,0,3,1,31,1,0,0,0,0,2,0,2,1,1,0,0,0,4,0,0,
Christoph Zimmermann,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,1,0,8,13,61.5,1,9,1,1,1,8,13,61.5,128,102,3,6,50.0,5,6,83.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,16,2,10,5,1,0,16,1,1,100.0,0,0.0,9,137,61,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Grant Hanley,0,0,0,0,0,0,0,0,51,5,3,1,0.0,0.0,0.0,0,0,30,36,83.3,0,16,0,0,0,30,36,83.3,471,182,15,16,93.8,12,13,92.3,2,6,33.3,0,0.0,0.0,0,0,0,0,0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,0,5,3,1,2,2,3,3,100.0,0,1,1,0,3,8,4,0,51,20,38,10,3,0,51,0,0,,0,,16,66,38,0,0,0,0,0,28,0,0,0,0,1,0,1,0,3,3,0,0,0,2,2,0,100.0
Jon Rowe,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,7,0,0,0,7,7,100.0,76,0,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,1,4,3,0,8,0,0,,0,,7,61,6,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Josh Sargent,0,0,0,0,0,0,0,0,32,1,0,3,0.0,0.0,0.0,0,0,17,26,65.4,1,16,2,1,1,17,26,65.4,192,31,12,14,85.7,4,6,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,1,26,26,0,0,0,0,0,0,0,0,0,0,17,0,3,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,0,0,32,1,6,13,13,2,32,1,1,100.0,0,0.0,16,132,71,2,1,0,3,1,25,7,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0.0
Kenny McLean,0,0,0,0,2,1,0,0,29,1,1,0,0.1,0.1,0.0,0,0,20,23,87.0,2,13,1,0,0,20,23,87.0,364,100,9,10,90.0,9,10,90.0,2,3,66.7,0,0.0,0.0,0,1,1,0,2,23,20,3,0,0,0,2,1,1,1,0,0,20,0,0,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0,29,0,6,13,10,3,29,0,0,,0,,13,81,24,1,0,0,1,0,16,0,0,0,0,2,2,0,2,1,1,0,0,0,3,1,1,50.0
Lukas Rupp,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,3,1,28,30,93.3,5,14,0,0,0,28,30,93.3,496,180,11,13,84.6,12,12,100.0,4,4,100.0,0,0.0,0.0,0,1,1,0,5,30,30,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,2,11,15,5,0,31,0,0,,0,,14,57,35,0,0,0,1,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0.0
Mathias Normann,0,0,0,0,1,0,0,0,28,0,2,0,0.0,0.0,0.0,1,0,17,23,73.9,1,16,0,0,0,17,23,73.9,308,126,8,10,80.0,8,9,88.9,1,3,33.3,0,0.0,0.0,0,1,1,0,1,23,20,3,2,0,2,1,0,1,1,0,0,17,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,0,0,28,0,8,16,4,0,28,0,0,,0,,16,69,28,0,1,0,2,0,18,0,0,0,0,1,1,0,1,2,0,0,0,0,6,0,0,
Max Aarons,0,0,0,0,0,0,0,0,62,1,0,1,0.0,0.0,0.0,1,0,36,49,73.5,3,29,2,2,1,36,49,73.5,528,241,20,25,80.0,15,18,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,3,49,38,10,2,0,0,2,8,0,0,0,0,36,1,2,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,7,0,62,9,26,27,9,1,62,2,1,50.0,1,50.0,29,227,86,2,1,1,0,3,42,2,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,
