player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,0,0,12,5,1,0,604,18,8,14,0.6,0.6,0.4,24,2,372,487,76.4,45,299,11,17,10,372,487,76.4,6318,2074,184,216,85.2,149,176,84.7,30,73,41.1,0,0.4,0.7,6,24,8,1,45,487,439,47,14,0,2,29,20,8,5,3,0,372,1,6,18,13,6,9,3,7,15,46.7,8,14,5,9,8,26,26,0,604,44,149,304,157,28,604,17,10,58.8,7,41.2,299,1741,924,11,11,4,16,11,369,45,1,0,0,14,11,1,29,8,13,0,0,1,55,10,21,32.3
Abdoulaye Doucouré,0,0,0,0,1,0,0,0,49,2,0,2,0.0,0.0,0.0,1,0,38,45,84.4,4,20,0,2,2,38,45,84.4,503,71,23,26,88.5,13,14,92.9,1,2,50.0,0,0.0,0.0,0,1,2,0,4,45,40,5,1,0,0,1,1,0,0,0,0,38,0,1,2,2,0,1,1,1,2,50.0,1,2,1,1,0,2,0,0,49,1,5,32,12,1,49,2,2,100.0,0,0.0,20,72,27,0,1,0,0,1,31,3,0,0,0,0,0,0,1,0,2,0,0,0,4,0,2,0.0
André Gomes,0,0,0,0,1,0,0,0,72,4,0,1,0.0,0.0,0.0,4,1,42,57,73.7,6,40,1,5,3,42,57,73.7,710,263,21,23,91.3,18,20,90.0,3,13,23.1,0,0.0,0.1,0,10,0,0,6,57,54,3,3,0,0,1,0,0,0,0,0,42,0,1,4,0,0,3,1,1,4,25.0,3,1,1,0,0,4,1,0,72,3,12,51,11,1,72,5,3,60.0,2,40.0,40,176,77,1,0,0,2,2,49,4,0,0,0,3,2,0,1,0,0,0,0,0,9,0,0,
Anthony Gordon,0,0,0,0,1,0,0,0,52,1,1,2,0.1,0.1,0.1,2,0,25,36,69.4,3,28,0,2,1,25,36,69.4,385,116,12,17,70.6,12,13,92.3,1,3,33.3,0,0.1,0.1,1,0,1,0,3,36,35,1,0,0,0,4,0,1,0,1,0,25,0,3,1,1,0,1,0,0,3,0.0,3,2,0,2,1,2,0,0,52,1,5,19,28,4,52,2,1,50.0,1,50.0,28,215,70,0,4,1,3,2,38,10,0,0,0,2,2,0,4,1,1,0,0,0,6,0,1,0.0
Ben Godfrey,0,0,0,0,1,1,0,0,73,4,0,2,0.0,0.0,0.2,4,0,47,59,79.7,6,34,1,1,1,47,59,79.7,853,267,20,26,76.9,24,28,85.7,3,4,75.0,0,0.2,0.1,2,2,1,0,6,59,53,6,1,0,0,1,5,0,0,0,0,47,0,0,4,4,2,1,1,2,2,100.0,0,2,0,2,0,4,6,0,73,8,22,39,12,3,73,1,1,100.0,0,0.0,34,136,96,1,1,0,1,0,39,3,0,0,0,3,0,0,1,0,4,0,0,0,5,1,1,50.0
Demarai Gray,0,0,0,0,2,1,0,0,54,1,0,0,0.1,0.1,0.1,6,0,29,43,67.4,4,30,5,2,1,29,43,67.4,499,114,17,19,89.5,4,7,57.1,6,15,40.0,0,0.1,0.2,2,1,2,0,4,43,32,11,3,0,1,15,1,7,5,2,0,29,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,54,1,7,13,36,4,54,2,1,50.0,1,50.0,30,254,138,5,3,3,3,3,34,9,0,0,0,0,4,0,15,0,1,0,0,0,3,0,1,0.0
Dominic Calvert-Lewin,0,0,0,0,1,1,0,0,17,0,0,1,0.0,0.0,0.0,1,0,5,8,62.5,2,3,1,0,0,5,8,62.5,63,26,3,3,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,2,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,4,0,17,5,6,4,7,2,17,0,0,,0,,3,37,34,1,0,0,1,0,11,4,0,0,0,0,1,1,0,0,0,0,0,0,1,4,3,57.1
Jordan Pickford,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,11,19,57.9,0,10,0,0,0,11,19,57.9,380,333,1,1,100.0,4,4,100.0,6,13,46.2,0,0.0,0.0,0,1,0,0,0,19,14,5,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,12,17,2,0,0,19,0,0,,0,,10,128,68,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Keane,0,0,0,0,1,0,1,0,77,3,3,1,0.0,0.0,0.0,0,0,53,63,84.1,5,42,0,0,0,53,63,84.1,1084,323,19,21,90.5,29,32,90.6,5,9,55.6,0,0.0,0.0,0,5,0,0,5,63,62,1,1,0,1,0,0,0,0,0,0,53,0,0,3,3,3,0,0,1,1,100.0,0,1,1,0,3,6,1,0,77,3,25,48,4,4,77,0,0,,0,,42,200,112,0,0,0,2,0,52,1,1,0,0,4,0,0,0,3,3,0,0,1,1,1,2,33.3
Richarlison,1,0,0,0,3,1,0,0,19,0,0,2,0.2,0.2,0.0,2,1,12,13,92.3,1,12,0,3,2,12,13,92.3,171,67,7,7,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,1,0,1,13,12,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,19,0,4,7,9,3,19,3,2,66.7,1,33.3,12,91,43,0,1,0,0,1,13,3,0,0,0,0,1,0,0,0,0,0,0,0,4,1,3,25.0
Salomón Rondón,0,0,0,0,1,1,0,0,25,0,0,0,0.1,0.1,0.0,2,0,11,19,57.9,1,11,0,0,0,11,19,57.9,112,4,8,13,61.5,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,19,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,25,2,4,9,12,2,25,0,0,,0,,11,42,7,0,1,0,3,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,50.0
Séamus Coleman,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.1,1,0,27,34,79.4,2,17,2,1,0,27,34,79.4,330,165,17,20,85.0,8,10,80.0,0,1,0.0,0,0.1,0.1,1,1,1,1,2,34,28,6,0,0,0,2,6,0,0,0,0,27,0,0,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,39,2,9,21,10,0,39,1,0,0.0,1,100.0,17,91,60,2,0,0,0,1,19,5,0,0,0,1,0,0,2,1,1,0,0,0,5,0,0,
Vitaliy Mykolenko,0,0,0,0,0,0,0,0,71,2,3,1,0.0,0.0,0.0,1,0,46,58,79.3,6,26,0,1,0,46,58,79.3,669,175,28,31,90.3,15,20,75.0,2,6,33.3,0,0.0,0.0,0,3,0,0,6,58,50,8,2,0,0,5,6,0,0,0,0,46,0,1,2,1,1,1,0,2,2,100.0,0,1,0,1,3,5,7,0,71,3,20,37,14,2,71,1,0,0.0,1,100.0,26,88,49,0,0,0,0,0,35,1,0,0,0,1,1,0,5,3,1,0,0,0,10,1,3,25.0
Yerry Mina,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,0,0,26,33,78.8,5,26,1,0,0,26,33,78.8,559,150,8,9,88.9,15,17,88.2,3,6,50.0,0,0.0,0.0,0,0,0,0,5,33,32,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,37,3,13,22,2,2,37,0,0,,0,,26,211,143,1,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0.0
