player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,13,5,4,0,514,21,7,10,0.7,0.7,0.7,22,3,287,387,74.2,27,222,12,22,13,287,387,74.2,4905,2097,126,154,81.8,115,137,83.9,27,63,42.9,2,0.7,0.8,12,18,6,1,27,387,339,48,13,4,3,7,24,0,0,0,0,287,0,8,21,10,9,9,3,9,23,39.1,14,10,4,6,7,28,22,0,514,58,202,218,100,18,514,22,13,59.1,9,40.9,222,1505,699,12,7,7,21,8,282,27,4,0,0,23,14,0,7,7,10,0,0,0,51,21,20,51.2
Adam Forshaw,0,0,0,0,0,0,0,0,13,2,0,1,0.0,0.0,0.0,2,0,7,9,77.8,1,4,0,0,0,7,9,77.8,70,46,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,2,0,1,0,1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0,13,0,4,7,3,0,13,0,0,,0,,4,22,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
Cody Drameh,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,3,0,2,0,11,13,84.6,118,95,5,7,71.4,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,13,6,7,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,16,1,5,9,2,0,16,2,0,0.0,2,100.0,3,20,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Daniel James,0,1,0,0,1,0,0,0,23,0,0,0,0.2,0.2,0.2,4,1,14,16,87.5,2,9,2,2,2,14,16,87.5,175,43,10,10,100.0,3,4,75.0,0,0,,1,0.2,0.2,1,0,0,0,2,16,15,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,23,2,3,9,11,3,23,2,2,100.0,0,0.0,9,70,31,2,0,1,2,1,13,6,0,0,0,0,1,0,0,0,0,0,0,0,3,1,5,16.7
Diego Llorente,0,0,0,0,1,0,0,0,49,0,0,1,0.0,0.0,0.0,0,0,22,35,62.9,0,20,0,2,2,22,35,62.9,391,177,11,15,73.3,7,9,77.8,3,7,42.9,0,0.0,0.0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,,0,1,1,0,0,0,9,0,49,6,40,8,1,1,49,2,2,100.0,0,0.0,20,133,63,0,0,0,2,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,3,7,2,77.8
Illan Meslier,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,23,35,65.7,0,19,0,0,0,23,35,65.7,686,467,2,3,66.7,15,15,100.0,6,17,35.3,0,0.0,0.0,0,0,0,0,0,35,22,13,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,31,37,0,0,0,37,0,0,,0,,19,147,83,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Jack Harrison,0,0,0,0,1,0,1,0,34,1,1,0,0.0,0.0,0.1,3,0,18,26,69.2,2,21,4,3,1,18,26,69.2,259,58,10,14,71.4,5,5,100.0,1,3,33.3,0,0.1,0.1,2,2,0,0,2,26,26,0,0,0,0,1,0,0,0,0,0,18,0,2,1,1,1,0,0,1,4,25.0,3,0,0,0,1,2,0,0,34,0,5,20,10,5,34,3,1,33.3,2,66.7,21,147,82,4,1,2,1,0,26,4,1,0,0,3,1,0,1,1,1,0,0,0,3,0,2,0.0
Jamie Shackleton,0,0,0,0,0,0,1,0,40,5,0,1,0.0,0.0,0.0,0,0,25,31,80.6,2,11,0,1,1,25,31,80.6,352,133,12,16,75.0,12,12,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,2,31,20,11,0,0,0,0,11,0,0,0,0,25,0,0,5,3,3,2,0,2,2,100.0,0,1,1,0,0,5,0,0,40,2,18,15,7,1,40,1,1,100.0,0,0.0,11,44,8,0,0,0,0,0,14,1,1,0,0,3,1,0,0,0,3,0,0,0,4,1,2,33.3
Kalvin Phillips,0,1,0,0,0,0,0,0,61,5,0,2,0.0,0.0,0.0,3,1,39,49,79.6,3,22,0,0,0,39,49,79.6,675,181,15,16,93.8,22,24,91.7,1,5,20.0,1,0.0,0.0,2,2,1,0,3,49,47,2,2,0,2,0,0,0,0,0,0,39,0,1,5,2,1,3,1,2,7,28.6,5,2,0,2,0,5,0,0,61,1,17,36,8,0,61,0,0,,0,,22,109,45,0,0,0,0,1,34,0,0,0,0,5,2,0,0,0,2,0,0,0,15,0,2,0.0
Liam Cooper,0,0,0,0,0,0,0,0,46,0,2,0,0.0,0.0,0.0,1,0,22,37,59.5,0,11,0,1,1,22,37,59.5,368,143,10,14,71.4,8,12,66.7,2,8,25.0,0,0.0,0.0,0,0,0,0,0,37,36,1,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,46,7,32,13,1,0,46,1,1,100.0,0,0.0,11,67,12,0,0,0,1,0,14,0,0,0,0,2,0,0,0,2,0,0,0,0,4,5,3,62.5
