player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,14,4,4,0,488,12,7,16,1.6,1.6,1.3,26,2,228,358,63.7,30,259,21,20,12,228,358,63.7,3723,1670,119,153,77.8,83,127,65.4,21,56,37.5,1,1.3,0.5,10,22,12,3,30,358,313,45,11,0,0,18,20,6,2,3,0,228,0,10,12,9,5,6,1,2,8,25.0,6,16,5,11,7,19,17,0,488,50,139,190,165,31,488,20,12,60.0,8,40.0,259,1451,668,21,11,8,18,13,225,29,4,0,0,15,12,0,18,7,9,0,0,0,65,19,17,52.8
Adam Armstrong,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,1,0,1,2,50.0,13,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,0,0,2,2,0,4,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex McCarthy,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,10,0,0,0,12,17,70.6,271,158,2,2,100.0,5,5,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,17,10,7,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,18,19,1,0,0,20,0,0,,0,,10,47,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Armando Broja,1,0,0,0,4,3,0,0,32,0,1,2,1.0,1.0,0.0,4,1,10,14,71.4,0,22,3,5,3,10,14,71.4,92,24,8,12,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,32,0,2,9,21,8,32,5,3,60.0,2,40.0,22,104,40,3,1,1,4,6,22,9,0,0,0,0,1,0,0,1,0,0,0,0,5,4,8,33.3
Che Adams,0,0,0,0,3,1,0,0,31,0,0,1,0.3,0.3,0.2,2,0,15,19,78.9,2,20,2,2,1,15,19,78.9,219,73,7,8,87.5,8,9,88.9,0,0,,0,0.2,0.0,1,0,0,0,2,19,19,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,31,2,6,11,14,5,31,2,1,50.0,1,50.0,20,119,72,2,0,1,4,0,18,5,0,0,0,1,3,0,0,0,0,0,0,0,4,2,1,66.7
James Ward-Prowse,0,0,0,0,2,0,0,0,59,1,1,1,0.1,0.1,0.0,2,0,29,49,59.2,4,25,0,0,0,29,49,59.2,430,168,19,22,86.4,8,14,57.1,2,10,20.0,0,0.0,0.0,0,3,0,0,4,49,42,7,1,0,0,7,0,6,2,3,0,29,0,1,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0,59,1,9,26,24,2,59,0,0,,0,,25,57,18,0,0,0,0,1,22,1,0,0,0,1,3,0,7,1,1,0,0,0,8,1,0,100.0
Kyle Walker-Peters,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.0,1,0,29,41,70.7,4,25,3,2,1,29,41,70.7,475,225,18,19,94.7,6,10,60.0,5,9,55.6,0,0.0,0.0,0,3,2,0,4,41,33,8,1,0,0,1,7,0,0,0,0,29,0,3,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,48,4,14,21,13,1,48,2,1,50.0,1,50.0,25,161,78,3,1,1,1,1,22,1,0,0,0,0,0,0,1,1,1,0,0,0,6,1,1,50.0
Lyanco,0,0,0,0,1,0,0,0,44,1,1,4,0.1,0.1,0.1,5,0,17,30,56.7,3,21,1,2,2,17,30,56.7,342,174,5,6,83.3,10,13,76.9,1,10,10.0,0,0.1,0.0,3,4,2,0,3,30,26,4,3,0,0,0,0,0,0,0,0,17,0,0,1,1,0,1,0,0,0,,0,4,3,1,1,2,5,0,44,13,22,20,4,0,44,2,2,100.0,0,0.0,21,115,39,1,1,0,0,0,16,0,0,0,0,2,0,0,0,1,1,0,0,0,6,2,0,100.0
Mohamed Elyounoussi,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,0,0,1,3,33.3,9,10,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,1,3,1,4,0,0,,0,,4,18,2,0,1,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Mohammed Salisu,0,0,0,0,1,0,1,0,49,1,2,1,0.0,0.0,0.1,1,0,23,39,59.0,3,16,0,0,0,23,39,59.0,434,313,5,9,55.6,15,21,71.4,2,5,40.0,0,0.1,0.1,1,3,1,1,3,39,30,9,4,0,0,1,5,0,0,0,0,23,0,2,1,1,1,0,0,0,0,,0,1,0,1,2,3,5,0,49,6,24,18,7,2,49,0,0,,0,,16,68,20,0,0,0,0,0,13,1,1,0,0,0,0,0,1,2,1,0,0,0,5,4,4,50.0
