player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,14,5,1,0,816,15,9,12,1.2,1.2,0.6,24,1,577,707,81.6,64,581,29,21,12,577,707,81.6,9554,2965,310,351,88.3,223,252,88.5,43,86,50.0,0,0.6,1.0,9,54,10,2,64,707,661,45,8,5,1,29,19,12,5,6,0,577,1,9,15,5,8,6,1,6,14,42.9,8,12,4,8,9,24,16,0,816,52,207,357,263,31,816,21,12,57.1,9,42.9,581,2847,1450,29,26,5,16,12,576,64,1,0,0,6,7,1,29,9,5,0,0,0,59,19,20,48.7
Adam Armstrong,0,0,0,0,1,0,0,0,17,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,0,13,3,2,0,8,11,72.7,78,1,7,8,87.5,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,17,0,0,4,13,2,17,2,0,0.0,2,100.0,13,98,25,3,0,2,2,0,13,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Armando Broja,0,0,0,0,1,1,0,0,19,0,0,1,0.1,0.1,0.0,1,0,7,10,70.0,1,15,0,2,1,7,10,70.0,103,9,5,8,62.5,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,19,0,0,7,12,3,19,2,1,50.0,1,50.0,15,33,11,0,0,0,4,2,19,6,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,66.7
Che Adams,0,0,0,0,2,0,0,0,30,0,0,0,0.1,0.1,0.1,1,0,17,24,70.8,3,15,0,2,1,17,24,70.8,276,71,7,11,63.6,10,11,90.9,0,0,,0,0.1,0.1,1,1,1,0,3,24,24,0,0,0,0,3,0,0,0,0,0,17,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,30,1,5,7,18,3,30,2,1,50.0,1,50.0,15,93,26,0,1,0,1,0,21,8,0,0,0,0,0,1,3,0,0,0,0,0,2,3,5,37.5
Fraser Forster,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,27,41,65.9,0,34,0,0,0,27,41,65.9,687,415,4,4,100.0,15,16,93.8,8,20,40.0,0,0.0,0.0,0,0,0,0,0,41,36,4,1,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,41,31,41,0,0,0,41,0,0,,0,,34,137,60,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Ward-Prowse,0,0,0,0,0,0,0,0,111,0,1,1,0.0,0.0,0.1,7,0,88,107,82.2,13,80,2,0,0,88,107,82.2,1460,381,51,52,98.1,29,35,82.9,8,19,42.1,0,0.1,0.2,4,8,1,0,13,107,94,13,1,1,0,14,0,12,5,6,0,88,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,111,1,5,58,48,1,111,0,0,,0,,80,320,147,2,4,0,0,0,79,1,0,0,0,1,0,0,14,1,0,0,0,0,7,0,2,0.0
Jan Bednarek,0,0,0,0,0,0,1,0,96,3,1,1,0.0,0.0,0.0,1,0,79,87,90.8,3,72,0,0,0,79,87,90.8,1449,546,38,39,97.4,31,35,88.6,10,13,76.9,0,0.0,0.0,1,7,0,0,3,87,87,0,0,0,0,0,0,0,0,0,0,79,0,0,3,1,1,2,0,2,2,100.0,0,1,1,0,1,4,4,0,96,6,43,51,2,0,96,0,0,,0,,72,261,132,0,0,0,0,1,68,0,1,0,0,2,0,0,0,1,1,0,0,0,9,2,1,66.7
Kyle Walker-Peters,0,0,0,0,0,0,0,0,93,0,2,1,0.0,0.0,0.3,4,0,71,84,84.5,12,64,8,3,1,71,84,84.5,1079,293,42,48,87.5,26,27,96.3,3,7,42.9,0,0.3,0.3,2,2,3,0,12,84,74,10,1,0,0,3,9,0,0,0,0,71,0,1,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,93,2,15,37,45,1,93,3,1,33.3,2,66.7,64,434,298,8,6,1,2,4,64,11,0,0,0,2,3,0,3,2,0,0,0,0,4,5,2,71.4
Mohamed Elyounoussi,0,0,0,0,3,0,0,0,44,2,1,3,0.1,0.1,0.0,1,1,18,29,62.1,4,26,1,0,0,18,29,62.1,271,41,13,18,72.2,3,6,50.0,2,2,100.0,0,0.0,0.0,0,1,0,0,4,29,29,0,0,2,0,0,0,0,0,0,0,18,0,1,2,0,1,1,0,2,4,50.0,2,3,1,2,1,3,1,0,44,2,5,15,25,6,44,0,0,,0,,26,158,59,1,4,0,1,1,29,8,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,100.0
Mohammed Salisu,0,0,0,0,2,2,0,0,107,0,2,2,0.3,0.3,0.0,0,0,85,99,85.9,7,81,1,0,0,85,99,85.9,1386,535,45,49,91.8,36,38,94.7,4,12,33.3,0,0.0,0.0,0,12,0,0,7,99,95,4,3,0,0,0,1,0,0,0,0,85,0,0,0,0,0,0,0,0,2,0.0,2,2,1,1,2,2,3,0,107,6,50,55,4,2,107,0,0,,0,,81,406,226,1,1,0,0,0,80,1,0,0,0,0,0,0,0,2,0,0,0,0,14,1,2,33.3
