player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,4,4,0,0,14,7,2,0,806,25,6,13,2.7,2.7,2.6,26,8,603,681,88.5,48,460,19,14,8,603,681,88.5,10844,3455,229,253,90.5,327,347,94.2,40,60,66.7,4,2.6,1.7,13,41,10,2,48,681,646,35,11,6,6,14,13,5,1,2,0,603,0,11,25,13,10,14,1,12,21,57.1,9,13,4,9,6,31,18,0,806,70,294,386,130,23,806,14,8,57.1,6,42.9,460,1855,1001,19,11,3,24,14,600,48,2,0,0,15,9,0,14,6,13,0,0,0,56,15,3,83.3
Ben Davies,0,0,0,0,0,0,0,0,89,2,1,0,0.0,0.0,0.0,1,0,71,78,91.0,8,50,4,0,0,71,78,91.0,1224,393,29,30,96.7,39,41,95.1,3,6,50.0,0,0.0,0.0,0,4,1,0,8,78,74,4,4,0,0,0,0,0,0,0,0,71,0,1,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,4,0,89,9,41,42,6,0,89,0,0,,0,,50,214,139,4,4,0,2,0,63,2,0,0,0,1,0,0,0,1,1,0,0,0,4,3,1,75.0
Cristian Romero,0,0,0,0,0,0,1,0,49,1,0,1,0.0,0.0,0.0,0,0,40,46,87.0,2,25,0,0,0,40,46,87.0,748,270,14,15,93.3,23,25,92.0,3,5,60.0,0,0.0,0.0,0,1,0,0,2,46,46,0,0,0,0,0,0,0,0,0,0,40,0,1,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0,49,7,34,15,0,0,49,0,0,,0,,25,106,60,0,0,0,0,0,36,0,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0,100.0
Davinson Sánchez,0,0,0,0,1,0,0,0,39,2,0,0,0.1,0.1,0.0,1,0,33,35,94.3,2,30,0,0,0,33,35,94.3,598,277,10,11,90.9,19,20,95.0,3,3,100.0,0,0.0,0.0,0,2,0,0,2,35,35,0,0,0,0,0,0,0,0,0,0,33,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0,39,4,16,22,1,1,39,0,0,,0,,30,61,20,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,100.0
Dejan Kulusevski,0,2,0,0,2,0,0,0,62,1,1,2,0.0,0.0,0.7,4,2,37,43,86.0,5,30,5,4,2,37,43,86.0,551,114,19,22,86.4,18,19,94.7,0,0,,2,0.7,0.5,3,2,3,0,5,43,42,1,0,2,0,2,0,0,0,0,0,37,0,2,1,0,0,1,0,1,2,50.0,1,2,0,2,1,2,0,0,62,0,5,33,25,4,62,4,2,50.0,2,50.0,30,170,97,5,1,1,5,1,45,10,0,0,0,3,0,0,2,1,0,0,0,0,8,0,0,
Eric Dier,0,0,0,0,1,0,0,0,99,2,0,2,0.4,0.4,0.0,0,0,81,89,91.0,2,59,0,0,0,81,89,91.0,1552,528,23,26,88.5,55,58,94.8,3,4,75.0,0,0.0,0.0,0,3,0,0,2,89,89,0,0,0,0,0,0,0,0,0,0,81,0,1,2,1,0,2,0,1,2,50.0,1,2,2,0,0,2,4,0,99,15,54,44,1,1,99,0,0,,0,,59,170,71,0,0,0,0,0,77,0,0,0,0,1,1,0,0,0,1,0,0,0,6,2,0,100.0
Harry Kane,2,0,0,0,4,2,0,0,46,1,0,2,0.8,0.8,0.4,2,1,25,32,78.1,4,18,0,2,1,25,32,78.1,474,140,10,12,83.3,10,10,100.0,4,7,57.1,0,0.4,0.3,1,3,2,1,4,32,31,1,0,1,2,2,1,0,0,0,0,25,0,1,1,1,0,1,0,0,0,,0,2,1,1,0,1,1,0,46,2,8,21,18,3,46,2,1,50.0,1,50.0,18,110,26,0,0,0,2,5,29,5,0,0,0,1,1,0,2,0,1,0,0,0,4,2,0,100.0
Hugo Lloris,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,1,23,25,92.0,0,15,0,0,0,23,25,92.0,479,252,5,5,100.0,14,14,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,25,20,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,23,25,0,0,0,25,0,0,,0,,15,42,29,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Matt Doherty,0,2,0,0,1,1,0,0,83,5,2,1,0.1,0.1,1.1,4,2,59,72,81.9,6,46,1,1,1,59,72,81.9,1022,337,28,32,87.5,26,29,89.7,5,8,62.5,2,1.1,0.5,4,7,1,0,6,72,65,7,0,3,1,3,7,0,0,0,0,59,0,1,5,2,2,2,1,2,3,66.7,1,1,0,1,2,7,0,0,83,0,25,38,20,3,83,1,1,100.0,0,0.0,46,175,106,1,0,0,1,1,60,8,0,0,0,0,1,0,3,2,2,0,0,0,4,1,0,100.0
Pierre Højbjerg,0,0,0,0,0,0,0,0,99,3,2,1,0.0,0.0,0.0,4,0,83,89,93.3,5,62,1,0,0,83,89,93.3,1575,524,32,33,97.0,42,44,95.5,7,9,77.8,0,0.0,0.0,1,7,0,0,5,89,84,5,4,0,2,0,1,0,0,0,0,83,0,1,3,1,1,2,0,2,3,66.7,1,1,0,1,2,5,1,0,99,4,34,57,8,1,99,0,0,,0,,62,227,129,1,1,0,2,0,80,3,0,0,0,0,3,0,0,2,1,0,0,0,6,1,0,100.0
Rodrigo Bentancur,0,0,0,0,0,0,0,0,97,2,0,1,0.0,0.0,0.0,2,1,77,84,91.7,9,56,2,2,2,77,84,91.7,1396,345,24,26,92.3,50,51,98.0,3,5,60.0,0,0.0,0.0,0,6,0,0,9,84,83,1,1,0,0,0,0,0,0,0,0,77,0,1,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,4,0,97,3,23,70,5,1,97,2,2,100.0,0,0.0,56,229,145,2,0,0,3,4,77,1,0,0,0,3,1,0,0,0,1,0,0,0,9,0,1,0.0
Ryan Sessegnon,0,0,0,0,0,0,0,0,31,0,0,3,0.0,0.0,0.0,0,0,17,22,77.3,3,17,0,3,1,17,22,77.3,274,77,9,11,81.8,7,10,70.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3,22,19,3,0,0,0,1,3,0,0,0,0,17,0,1,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,1,0,31,1,10,11,10,1,31,3,1,33.3,2,66.7,17,64,32,0,0,0,3,0,21,5,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,100.0
Sergio Reguilón,1,0,0,0,1,1,0,0,39,1,0,0,0.4,0.4,0.1,3,0,31,33,93.9,1,21,1,2,1,31,33,93.9,546,85,13,14,92.9,12,12,100.0,4,5,80.0,0,0.1,0.2,2,1,0,0,1,33,28,5,2,0,1,2,1,2,1,0,0,31,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,39,2,12,14,13,1,39,2,1,50.0,1,50.0,21,96,36,1,0,0,1,0,28,5,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,50.0
Son Heung-min,1,0,0,0,2,2,1,0,33,4,0,0,0.5,0.5,0.2,4,1,16,22,72.7,1,21,3,0,0,16,22,72.7,262,96,6,9,66.7,9,10,90.0,1,2,50.0,0,0.2,0.2,2,1,2,1,1,22,19,3,0,0,0,4,0,3,0,2,0,16,0,1,4,2,2,2,0,2,4,50.0,2,0,0,0,0,4,0,0,33,0,6,13,15,4,33,0,0,,0,,21,127,73,3,2,1,3,3,24,6,1,0,0,2,1,0,4,0,2,0,0,0,4,0,0,
Steven Bergwijn,0,0,0,0,2,1,0,0,15,1,0,0,0.2,0.2,0.0,0,0,10,11,90.9,0,10,2,0,0,10,11,90.9,143,17,7,7,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,2,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,15,0,1,6,8,3,15,0,0,,0,,10,64,38,2,3,1,2,0,14,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
