,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,3.0,Oriol Romeu,Southampton,0.13,,Blocked,14.0,Left Foot,,Kyle Walker-Peters,Pass (Live),James Ward-Prowse,Pass (Live)
1,3.0,Adam Armstrong,Southampton,0.04,,Off Target,26.0,Right Foot,,Oriol Romeu,Pass (Live),Mohammed Salisu,Pass (Live)
2,6.0,Cucho,Watford,0.07,0.07,Saved,28.0,Right Foot,"Free kick, Deflected",Ismaila Sarr,Fouled,,
3,8.0,Ismaila Sarr,Watford,0.01,,Off Target,33.0,Right Foot,Volley,Joshua King,Pass (Live),William Troost-Ekong,Pass (Live)
4,12.0,Mohamed Elyounoussi,Southampton,0.01,,Blocked,13.0,Right Foot,Volley,,,,
5,15.0,Joshua King,Watford,0.11,,Off Target,12.0,Right Foot,,João Pedro,Pass (Live),Juraj Kucka,Pass (Live)
6,16.0,Adam Armstrong,Southampton,0.37,,Off Target,5.0,Head,,Kyle Walker-Peters,Pass (Live),Nathan Redmond,Pass (Live)
7,20.0,Che Adams,Southampton,0.07,0.6,Goal,18.0,Right Foot,,Adam Armstrong,Pass (Live),Mohammed Salisu,Pass (Live)
8,22.0,Joshua King,Watford,0.03,,Off Target,13.0,Head,,Adam Masina,Pass (Live),Juraj Kucka,Pass (Live)
9,32.0,Ismaila Sarr,Watford,0.15,,Blocked,8.0,Right Foot,Deflected,Joshua King,Pass (Live),Ben Foster,Pass (Live)
10,34.0,Che Adams,Southampton,0.5,,Off Target,5.0,Head,,Adam Armstrong,Pass (Live),Oriol Romeu,Pass (Live)
11,36.0,Adam Armstrong,Southampton,0.07,,Off Target,21.0,Right Foot,,Nathan Redmond,Pass (Live),Mohammed Salisu,Pass (Live)
12,42.0,Adam Armstrong,Southampton,0.18,,Off Target,11.0,Left Foot,,Kyle Walker-Peters,Pass (Live),Kyle Walker-Peters,Take-On
13,,,,,,,,,,,,,
14,50.0,Juraj Kucka,Watford,0.02,,Off Target,33.0,Right Foot,,Joshua King,Pass (Live),Ben Foster,Pass (Live)
15,51.0,Adam Armstrong,Southampton,0.13,,Off Target,13.0,Right Foot,Volley,Mohamed Elyounoussi,Pass (Live),Oriol Romeu,Pass (Live)
16,56.0,Juraj Kucka,Watford,0.02,0.12,Saved,28.0,Right Foot,,Moussa Sissoko,Pass (Live),,
17,63.0,Jan Bednarek,Southampton,0.11,,Blocked,8.0,Head,,James Ward-Prowse,Pass (Dead),,
18,64.0,Nathan Redmond,Southampton,0.04,,Blocked,30.0,Right Foot,,Oriol Romeu,Pass (Live),James Ward-Prowse,Pass (Live)
19,68.0,Adam Armstrong,Southampton,0.1,,Blocked,15.0,Right Foot,Deflected,Adam Armstrong,Take-On,Nathan Redmond,Pass (Live)
20,88.0,Ashley Fletcher,Watford,0.59,0.65,Saved,12.0,Left Foot,,Joshua King,Pass (Live),Moussa Sissoko,Pass (Live)
21,88.0,Juraj Kucka,Watford,0.02,,Off Target,12.0,Head,,Tom Cleverley,Pass (Dead),Ashley Fletcher,Shot
22,89.0,Adam Masina,Watford,0.03,,Off Target,22.0,Left Foot,Volley,Moussa Sissoko,Pass (Live),Joshua King,Pass (Live)
