player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,4,3,1,1,12,5,1,0,578,15,16,6,3.6,2.8,2.8,21,7,341,472,72.2,38,300,16,17,9,341,472,72.2,5612,2096,161,186,86.6,126,158,79.7,32,82,39.0,3,2.8,1.2,11,22,6,3,38,472,415,56,11,0,4,21,26,5,4,1,0,341,1,14,15,9,7,4,4,7,18,38.9,11,6,3,3,16,31,17,1,578,50,167,255,162,27,577,17,9,52.9,8,47.1,300,1509,767,16,11,8,18,8,336,38,1,0,0,12,12,1,21,16,9,1,0,0,73,19,25,43.2
Alex Král,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Arthur Masuaku,0,0,0,0,0,0,0,0,9,2,1,0,0.0,0.0,0.0,0,0,5,7,71.4,2,5,0,0,0,5,7,71.4,78,44,2,2,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,1,1,0,2,7,6,1,0,0,0,1,1,0,0,0,0,5,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,9,0,3,2,4,0,9,0,0,,0,,5,24,12,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,
Ben Johnson,0,0,0,0,0,0,0,0,65,2,1,1,0.0,0.0,0.0,1,0,33,52,63.5,3,29,0,0,0,33,52,63.5,478,184,16,21,76.2,12,19,63.2,2,7,28.6,0,0.0,0.0,0,1,0,0,3,52,35,17,1,0,0,1,16,0,0,0,0,33,0,2,2,2,1,1,0,1,2,50.0,1,1,0,1,1,3,5,0,65,7,27,23,15,0,65,0,0,,0,,29,89,31,0,1,0,2,3,26,4,0,0,0,1,0,0,1,1,2,0,0,0,9,1,3,25.0
Craig Dawson,0,0,0,0,0,0,1,0,34,0,1,3,0.0,0.0,0.0,0,0,20,28,71.4,0,17,0,0,0,20,28,71.4,355,177,10,11,90.9,6,7,85.7,4,10,40.0,0,0.0,0.0,0,1,0,0,0,28,27,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,3,3,0,1,1,2,0,34,5,16,17,1,0,34,0,0,,0,,17,65,51,0,0,0,0,0,17,0,1,0,0,3,0,0,0,1,0,0,0,0,3,4,4,50.0
Issa Diop,0,0,0,0,0,0,0,0,53,1,3,0,0.0,0.0,0.0,0,0,38,47,80.9,3,29,0,0,0,38,47,80.9,588,270,17,20,85.0,18,19,94.7,1,4,25.0,0,0.0,0.0,0,0,0,0,3,47,47,0,0,0,0,0,0,0,0,0,0,38,0,0,1,1,1,0,0,0,0,,0,0,0,0,3,4,2,0,53,4,31,23,0,0,53,0,0,,0,,29,148,81,0,0,0,1,0,27,0,0,0,0,1,1,0,0,3,1,0,0,0,10,0,2,0.0
Jarrod Bowen,0,2,0,0,3,1,0,0,43,1,0,1,0.6,0.6,1.6,7,4,22,35,62.9,2,24,4,5,4,22,35,62.9,372,83,11,12,91.7,9,11,81.8,2,7,28.6,2,1.6,0.4,3,1,1,0,2,35,31,4,1,0,0,5,0,3,2,1,0,22,0,3,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,43,1,4,13,27,8,43,5,4,80.0,1,20.0,24,154,77,4,0,5,2,1,33,9,0,0,0,0,1,0,5,0,0,1,0,0,4,2,3,40.0
Manuel Lanzini,0,0,0,0,0,0,0,0,54,2,1,0,0.0,0.0,0.1,4,1,44,50,88.0,4,30,1,2,2,44,50,88.0,529,144,25,27,92.6,13,15,86.7,1,3,33.3,0,0.1,0.1,3,0,1,0,4,50,46,4,0,0,0,3,0,2,2,0,0,44,0,0,2,1,0,0,2,0,0,,0,0,0,0,1,3,0,0,54,1,9,27,20,3,54,2,2,100.0,0,0.0,30,136,91,1,2,0,0,0,34,0,0,0,0,1,1,0,3,1,1,0,0,0,8,0,0,
Mark Noble,1,0,1,1,0,0,0,0,73,0,1,0,0.8,0.0,0.0,0,0,52,68,76.5,6,44,0,1,0,52,68,76.5,915,226,20,22,90.9,26,30,86.7,5,12,41.7,0,0.0,0.0,0,7,0,0,6,68,66,2,2,0,1,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,1,73,0,12,54,8,1,72,1,0,0.0,1,100.0,44,146,67,0,2,0,0,0,51,0,0,0,0,0,2,0,0,1,0,0,0,0,13,0,0,
Michail Antonio,0,1,0,0,4,1,0,0,34,0,0,0,0.8,0.8,0.5,3,1,16,21,76.2,3,21,1,2,1,16,21,76.2,268,74,8,9,88.9,6,6,100.0,1,2,50.0,1,0.5,0.3,2,3,1,1,3,21,20,0,0,0,1,2,0,0,0,0,0,16,1,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,34,1,2,9,23,7,34,2,1,50.0,1,50.0,21,101,29,1,0,0,3,1,31,10,0,0,0,3,3,0,2,0,0,0,0,0,1,5,6,45.5
