player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,2,1,0,0,9,2,0,0,641,13,15,18,1.1,1.1,1.0,18,4,412,504,81.7,35,309,17,21,15,412,504,81.7,7345,2529,184,208,88.5,184,208,88.5,37,68,54.4,1,1.0,1.0,7,18,7,2,35,504,458,44,11,1,3,13,18,3,2,0,1,412,2,6,13,8,5,5,3,5,16,31.3,11,18,7,11,15,28,36,1,641,96,259,278,106,20,641,21,15,71.4,6,28.6,309,1657,918,17,11,5,21,10,408,34,0,0,0,7,10,2,13,15,8,0,0,0,47,29,15,65.9
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,61,2,3,3,0.0,0.0,0.0,0,0,36,45,80.0,5,20,0,0,0,36,45,80.0,585,132,17,22,77.3,16,19,84.2,3,4,75.0,0,0.0,0.0,0,3,0,0,5,45,41,4,4,0,0,0,0,0,0,0,0,36,0,1,2,2,1,1,0,1,1,100.0,0,3,1,2,3,5,3,0,61,4,13,42,6,0,61,0,0,,0,,20,83,54,0,0,0,2,0,25,1,0,0,0,2,0,0,0,3,2,0,0,0,6,2,4,33.3
Christian Benteke,0,1,0,0,2,0,0,0,45,0,1,2,0.0,0.0,0.3,3,1,22,33,66.7,3,20,1,1,1,22,33,66.7,355,69,13,18,72.2,4,7,57.1,3,3,100.0,1,0.3,0.3,2,3,1,0,3,33,31,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,4,0,45,5,5,28,12,5,45,1,1,100.0,0,0.0,20,136,22,1,0,1,4,1,34,9,0,0,0,0,1,1,0,1,0,0,0,0,1,12,4,75.0
Conor Gallagher,2,0,0,0,2,2,0,0,41,2,0,1,0.4,0.4,0.6,4,1,27,30,90.0,1,19,0,3,2,27,30,90.0,459,153,13,14,92.9,10,10,100.0,3,5,60.0,0,0.6,0.4,1,1,0,0,1,30,24,6,3,0,0,5,0,3,2,0,1,27,0,0,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,2,0,41,2,10,18,14,3,41,3,2,66.7,1,33.3,19,71,23,0,0,0,2,2,21,0,0,0,0,0,4,0,5,0,1,0,0,0,6,3,1,75.0
James McArthur,0,0,0,0,1,0,0,0,74,3,2,3,0.0,0.0,0.0,2,0,48,55,87.3,5,38,5,4,2,48,55,87.3,821,115,22,24,91.7,23,24,95.8,3,4,75.0,0,0.0,0.0,0,2,0,0,5,55,53,2,1,0,0,1,0,0,0,0,0,48,0,1,3,3,1,2,0,2,4,50.0,2,3,2,1,2,5,2,0,74,5,17,42,15,3,74,4,2,50.0,2,50.0,38,236,139,5,2,1,2,2,43,3,0,0,0,2,1,1,1,2,3,0,0,0,9,1,1,50.0
Jeffrey Schlupp,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,2,4,0,0,0,3,3,100.0,44,7,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,5,0,0,1,4,0,5,0,0,,0,,4,11,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Joachim Andersen,0,0,0,0,0,0,0,0,79,0,0,3,0.0,0.0,0.1,2,0,55,68,80.9,4,45,0,1,1,55,68,80.9,1313,556,14,15,93.3,29,31,93.5,12,20,60.0,0,0.1,0.1,2,1,1,1,4,68,67,1,1,0,2,2,0,0,0,0,0,55,0,1,0,0,0,0,0,0,0,,0,3,2,1,0,0,4,1,79,20,54,20,5,2,79,1,1,100.0,0,0.0,45,233,159,0,0,0,1,1,56,1,0,0,0,0,0,0,2,0,0,0,0,0,5,4,1,80.0
Joel Ward,0,0,0,0,0,0,0,0,60,1,3,0,0.0,0.0,0.0,0,0,39,52,75.0,1,20,1,1,1,39,52,75.0,683,287,18,21,85.7,17,22,77.3,4,9,44.4,0,0.0,0.0,0,2,0,0,1,52,41,11,0,0,1,0,11,0,0,0,0,39,0,1,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,3,0,60,5,24,30,6,0,60,1,1,100.0,0,0.0,20,94,48,1,1,0,1,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,50.0
Jordan Ayew,0,0,0,0,1,0,0,0,41,2,2,4,0.0,0.0,0.0,1,0,21,25,84.0,1,24,6,7,6,21,25,84.0,253,68,13,13,100.0,6,7,85.7,0,0,,0,0.0,0.0,0,1,1,0,1,25,24,0,0,0,0,1,0,0,0,0,0,21,1,2,2,1,1,1,0,0,1,0.0,1,4,0,4,2,4,5,0,41,0,11,24,6,2,41,7,6,85.7,1,14.3,24,226,117,6,1,2,2,2,25,7,0,0,0,3,2,0,1,2,1,0,0,0,7,0,2,0.0
Marc Guéhi,0,0,0,0,2,0,0,0,82,1,1,1,0.6,0.6,0.0,1,0,58,69,84.1,4,39,0,0,0,58,69,84.1,1056,357,21,22,95.5,35,37,94.6,2,9,22.2,0,0.0,0.0,0,0,0,0,4,69,69,0,0,0,0,0,0,0,0,0,0,58,0,0,1,1,0,1,0,0,0,,0,1,1,0,1,2,7,0,82,13,57,20,5,3,82,0,0,,0,,39,175,127,0,2,0,1,0,69,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,100.0
