player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,1,0,0,14,4,1,0,545,16,15,10,1.3,1.3,1.2,21,2,331,440,75.2,51,286,11,16,11,331,440,75.2,5936,2359,143,168,85.1,144,171,84.2,32,66,48.5,1,1.2,1.6,12,37,12,4,51,440,384,55,9,2,3,28,32,5,3,2,0,331,1,15,16,5,11,4,1,6,21,28.6,15,10,4,6,15,31,13,0,545,44,136,245,174,37,545,16,11,68.8,5,31.3,286,1557,629,11,7,5,16,8,330,51,1,0,0,10,5,1,28,15,5,0,0,0,47,15,29,34.1
Aaron Cresswell,0,0,0,0,0,0,0,0,74,3,2,1,0.0,0.0,0.1,2,0,45,65,69.2,7,33,0,1,0,45,65,69.2,790,360,20,25,80.0,18,25,72.0,4,10,40.0,0,0.1,0.1,1,3,2,0,7,65,48,17,1,0,0,4,14,2,0,2,0,45,0,2,3,3,2,1,0,1,1,100.0,0,1,1,0,2,5,1,0,74,2,14,37,23,1,74,1,0,0.0,1,100.0,33,127,67,0,1,0,0,0,38,3,0,0,0,0,1,0,4,2,3,0,0,0,3,2,3,40.0
Andriy Yarmolenko,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,1,1,1,2,2,100.0,16,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,1,1,0,2,1,3,1,1,100.0,0,0.0,2,14,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Angelo Ogbonna,0,0,0,0,0,0,0,0,42,0,2,0,0.0,0.0,0.0,0,0,31,37,83.8,6,23,0,1,1,31,37,83.8,626,263,8,9,88.9,20,23,87.0,3,5,60.0,0,0.0,0.0,0,4,0,0,6,37,36,1,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,42,4,20,21,2,1,42,1,1,100.0,0,0.0,23,103,36,0,0,0,1,0,23,0,0,0,0,1,0,0,0,2,0,0,0,0,4,5,1,83.3
Craig Dawson,0,0,0,0,1,0,0,0,44,1,3,2,0.1,0.1,0.0,0,0,29,31,93.5,3,19,0,0,0,29,31,93.5,571,203,7,8,87.5,18,18,100.0,2,2,100.0,0,0.0,0.2,0,2,0,0,3,31,31,0,0,0,0,0,0,0,0,0,0,29,0,1,1,0,1,0,0,0,0,,0,2,2,0,3,4,4,0,44,10,20,21,3,2,44,0,0,,0,,19,115,52,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,5,2,6,25.0
Declan Rice,0,0,0,0,0,0,1,0,67,0,2,2,0.0,0.0,0.1,3,0,53,58,91.4,10,46,3,5,4,53,58,91.4,969,315,24,26,92.3,20,21,95.2,7,8,87.5,0,0.1,0.1,2,11,1,0,10,58,58,0,0,0,1,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,5,0.0,5,2,1,1,2,2,2,0,67,2,13,42,13,5,67,5,4,80.0,1,20.0,46,267,135,3,1,1,1,1,49,4,1,0,0,5,0,0,0,2,0,0,0,0,5,0,4,0.0
Jarrod Bowen,0,0,0,0,1,0,0,0,26,2,1,0,0.0,0.0,0.3,2,0,12,17,70.6,2,12,0,1,1,12,17,70.6,217,87,6,6,100.0,3,3,100.0,2,5,40.0,0,0.3,0.4,2,2,2,1,2,17,13,4,1,1,0,6,0,3,3,0,0,12,0,1,2,0,1,1,0,2,4,50.0,2,0,0,0,1,3,0,0,26,1,6,7,13,2,26,1,1,100.0,0,0.0,12,78,10,0,0,0,2,3,16,7,0,0,0,0,1,0,6,1,0,0,0,0,3,1,0,100.0
Manuel Lanzini,0,0,0,0,0,0,0,0,12,2,1,1,0.0,0.0,0.0,0,0,6,7,85.7,0,9,0,1,1,6,7,85.7,150,33,2,2,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,1,0,0,0,0,0,0,6,0,1,2,0,1,1,0,0,1,0.0,1,1,0,1,1,3,0,0,12,0,3,9,2,0,12,1,1,100.0,0,0.0,9,53,12,0,1,0,1,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0
Michail Antonio,1,1,0,0,5,1,0,0,42,0,0,2,0.4,0.4,0.6,5,1,16,30,53.3,1,20,3,1,1,16,30,53.3,224,30,12,14,85.7,1,4,25.0,2,4,50.0,1,0.6,0.4,4,0,1,1,1,30,30,0,0,0,0,4,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,42,0,1,10,32,13,42,1,1,100.0,0,0.0,20,144,103,3,2,2,3,0,34,8,0,0,0,1,1,1,4,0,0,0,0,0,2,2,4,33.3
Pablo Fornals,1,0,0,0,3,1,0,0,49,0,2,0,0.6,0.6,0.0,2,1,27,39,69.2,7,27,2,2,0,27,39,69.2,441,160,13,18,72.2,11,14,78.6,2,4,50.0,0,0.0,0.1,1,5,1,1,7,39,38,1,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,49,0,5,25,20,7,49,2,0,0.0,2,100.0,27,165,74,2,0,1,0,1,38,7,0,0,0,1,1,0,2,2,0,0,0,0,5,0,2,0.0
