player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,13,4,2,0,544,23,9,14,1.3,1.3,1.1,22,2,327,419,78.0,38,298,19,16,9,327,419,78.0,6254,2495,124,145,85.5,169,196,86.2,33,68,48.5,1,1.1,0.7,10,28,11,4,38,419,387,31,4,3,1,14,21,2,1,1,0,327,1,9,23,13,16,5,2,12,22,54.5,10,14,1,13,9,32,17,0,544,66,222,217,114,22,544,16,9,56.3,7,43.8,298,1607,798,19,12,5,22,8,327,38,2,0,0,11,3,1,14,9,13,0,0,0,53,11,15,42.3
Aaron Cresswell,0,1,0,0,0,0,0,0,70,2,1,2,0.0,0.0,0.3,2,1,44,62,71.0,4,41,1,0,0,44,62,71.0,746,426,23,29,79.3,17,19,89.5,4,13,30.8,1,0.3,0.2,1,3,0,0,4,62,51,11,2,0,0,5,8,1,0,1,0,44,0,0,2,1,1,1,0,1,1,100.0,0,2,0,2,1,3,0,0,70,3,29,26,15,0,70,0,0,,0,,41,151,62,1,1,0,2,0,39,5,0,0,0,0,0,0,5,1,1,0,0,0,9,2,1,66.7
Angelo Ogbonna,0,0,0,0,0,0,1,0,47,0,3,0,0.0,0.0,0.0,0,0,31,39,79.5,2,26,1,0,0,31,39,79.5,576,167,7,7,100.0,24,28,85.7,0,4,0.0,0,0.0,0.0,0,1,0,0,2,39,39,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,3,0,47,6,30,16,1,0,47,0,0,,0,,26,138,75,1,0,0,0,1,30,0,1,0,0,1,0,0,0,3,0,0,0,0,2,1,1,50.0
Ben Johnson,0,0,0,0,1,0,0,0,68,5,1,1,0.1,0.1,0.0,2,0,41,56,73.2,7,35,4,1,1,41,56,73.2,926,441,10,13,76.9,26,32,81.3,5,10,50.0,0,0.0,0.0,1,5,1,1,7,56,43,13,1,0,1,1,12,0,0,0,0,41,0,0,5,2,5,0,0,5,5,100.0,0,1,0,1,1,6,1,0,68,4,29,26,16,1,68,1,1,100.0,0,0.0,35,235,150,4,5,0,2,0,35,3,0,0,0,0,0,0,1,1,2,0,0,0,8,1,0,100.0
Craig Dawson,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,3,3,100.0,41,5,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,,0,,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Declan Rice,0,0,0,0,0,0,0,0,57,8,2,0,0.0,0.0,0.0,2,0,38,42,90.5,5,26,2,3,2,38,42,90.5,739,261,15,15,100.0,18,21,85.7,5,5,100.0,0,0.0,0.0,0,5,1,0,5,42,41,0,0,0,0,0,0,0,0,0,0,38,1,0,8,4,5,3,0,4,6,66.7,2,0,0,0,2,10,2,0,57,2,23,33,4,0,57,3,2,66.7,1,33.3,26,214,112,2,2,0,1,0,30,1,0,0,0,2,0,0,0,2,4,0,0,0,9,1,1,50.0
Jarrod Bowen,0,0,0,0,2,0,0,0,31,3,0,1,0.1,0.1,0.1,2,0,12,17,70.6,2,17,2,1,1,12,17,70.6,190,68,8,9,88.9,2,4,50.0,2,4,50.0,0,0.1,0.1,1,3,1,1,2,17,16,1,0,0,0,3,0,1,1,0,0,12,0,0,3,2,3,0,0,1,2,50.0,1,1,0,1,0,3,0,0,31,2,9,9,14,6,31,1,1,100.0,0,0.0,17,132,41,2,1,1,6,2,17,7,0,0,0,1,1,0,3,0,2,0,0,0,3,0,2,0.0
Kurt Zouma,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,0,36,44,81.8,2,24,0,0,0,36,44,81.8,645,234,13,14,92.9,22,24,91.7,1,5,20.0,0,0.0,0.0,0,0,0,0,2,44,43,1,0,0,0,0,1,0,0,0,0,36,0,1,1,0,0,1,0,0,0,,0,1,1,0,0,1,4,0,52,8,33,19,1,1,52,0,0,,0,,24,93,61,0,0,0,1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
Manuel Lanzini,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0,4,4,100.0,47,7,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,5,0,0,3,2,0,5,0,0,,0,,2,7,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michail Antonio,1,0,0,0,2,1,0,0,32,0,0,1,0.3,0.3,0.2,3,0,12,17,70.6,2,20,2,3,1,12,17,70.6,219,62,4,6,66.7,7,8,87.5,1,1,100.0,0,0.2,0.2,2,1,3,1,2,17,17,0,0,1,0,2,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,32,1,2,11,19,3,32,3,1,33.3,2,66.7,20,65,27,2,0,1,6,3,28,5,0,0,0,4,1,1,2,0,0,0,0,0,1,0,6,0.0
