player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,13,10,3,0,587,10,9,10,0.8,0.8,0.6,23,1,377,497,75.9,42,323,22,15,10,377,497,75.9,5913,2338,216,243,88.9,131,178,73.6,24,53,45.3,0,0.6,0.7,9,33,6,2,42,497,437,59,13,2,3,28,29,10,5,4,1,377,1,11,10,5,4,6,0,6,15,40.0,9,10,1,9,9,19,8,0,587,30,115,310,165,27,587,15,10,66.7,5,33.3,323,1568,769,22,12,4,12,18,370,42,3,0,0,14,12,1,28,9,5,0,1,0,62,19,13,59.4
Adam Armstrong,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,6,1,0,0,4,7,57.1,45,10,2,2,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,1,7,0,8,0,0,,0,,6,39,13,1,1,0,0,1,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Armando Broja,0,0,0,0,1,1,0,0,22,0,0,0,0.0,0.0,0.0,1,0,8,13,61.5,0,12,1,2,0,8,13,61.5,80,4,7,8,87.5,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,22,0,1,7,14,4,22,2,0,0.0,2,100.0,12,70,17,1,0,0,2,2,18,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,33.3
Che Adams,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,9,55.6,0,6,0,0,0,5,9,55.6,45,5,5,6,83.3,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,9,8,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,3,8,1,11,0,0,,0,,6,11,1,0,0,0,0,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,75.0
Fraser Forster,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,0,12,0,0,0,15,18,83.3,464,366,2,2,100.0,7,7,100.0,6,9,66.7,0,0.0,0.0,0,0,0,0,0,18,13,5,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,21,20,21,0,0,0,21,0,0,,0,,12,61,41,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ibrahima Diallo,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,2,0,16,21,76.2,3,16,2,2,1,16,21,76.2,208,46,12,16,75.0,3,4,75.0,0,0,,0,0.0,0.0,1,3,0,0,3,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,25,0,2,18,6,0,25,2,1,50.0,1,50.0,16,89,56,2,0,0,1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
James Ward-Prowse,1,0,0,0,3,2,1,0,80,3,0,1,0.1,0.1,0.0,3,0,54,70,77.1,7,40,3,1,1,54,70,77.1,830,195,31,31,100.0,19,25,76.0,4,13,30.8,0,0.0,0.1,1,6,0,0,7,70,53,17,4,0,1,13,1,10,5,4,1,54,0,1,3,1,1,2,0,2,3,66.7,1,1,0,1,0,3,1,0,80,2,8,36,36,1,80,1,1,100.0,0,0.0,40,174,82,3,3,0,1,2,45,4,1,0,0,2,0,0,13,0,1,0,0,0,6,2,0,100.0
Jan Bednarek,0,0,0,0,1,1,0,0,65,0,2,2,0.2,0.2,0.1,2,0,41,55,74.5,2,27,0,0,0,41,55,74.5,743,325,19,22,86.4,17,25,68.0,4,5,80.0,0,0.1,0.1,1,3,1,1,2,55,41,14,3,0,0,1,11,0,0,0,0,41,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,0,0,65,1,12,44,9,4,65,0,0,,0,,27,90,33,0,0,0,1,0,31,1,0,0,0,2,0,0,1,2,0,0,1,0,2,2,3,40.0
Lyanco,0,0,0,0,1,0,1,0,68,2,1,1,0.0,0.0,0.0,0,0,43,59,72.9,3,43,0,0,0,43,59,72.9,713,234,19,23,82.6,22,26,84.6,2,9,22.2,0,0.0,0.0,0,0,0,0,3,59,59,0,0,0,0,1,0,0,0,0,0,43,0,1,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,2,0,68,3,20,44,4,1,68,0,0,,0,,43,180,83,0,0,0,1,1,40,0,1,0,0,2,2,0,1,1,1,0,0,0,12,1,2,33.3
Mohammed Salisu,0,0,0,0,2,2,1,0,85,2,3,0,0.2,0.2,0.2,2,0,63,74,85.1,8,46,1,1,0,63,74,85.1,942,502,39,40,97.5,20,26,76.9,3,6,50.0,0,0.2,0.1,2,10,1,0,8,74,68,6,1,0,0,0,5,0,0,0,0,63,0,1,2,2,1,1,0,1,3,33.3,2,0,0,0,3,5,1,0,85,2,23,51,11,3,85,1,0,0.0,1,100.0,46,165,112,1,0,0,0,3,55,2,1,0,0,2,0,0,0,3,2,0,0,0,11,4,0,100.0
