player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,25,6,1,0,667,29,14,8,1.8,1.8,1.8,46,0,434,539,80.5,62,349,38,23,19,434,539,80.5,8719,2756,165,186,88.7,194,230,84.3,68,97,70.1,0,1.8,1.3,23,33,9,4,62,539,491,46,7,5,10,35,28,5,0,3,0,434,2,11,29,18,9,16,4,13,22,59.1,9,8,2,6,14,43,7,1,667,41,156,279,238,37,667,23,19,82.6,4,17.4,349,2026,1135,38,22,10,16,14,429,61,1,0,0,9,7,2,35,14,18,0,1,0,52,17,12,58.6
Adama Traoré,0,0,0,0,4,1,0,0,50,1,0,0,0.8,0.8,0.2,12,0,29,39,74.4,2,36,12,10,9,29,39,74.4,505,72,16,20,80.0,9,12,75.0,4,5,80.0,0,0.2,0.3,4,3,1,1,2,39,39,0,0,0,1,5,0,0,0,0,0,29,0,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,50,0,4,16,32,11,50,10,9,90.0,1,10.0,36,383,204,12,3,6,1,4,42,15,0,0,0,0,4,1,5,0,0,0,0,0,4,3,0,100.0
Conor Coady,0,0,0,0,0,0,0,0,53,2,3,0,0.0,0.0,0.0,2,0,39,47,83.0,2,26,0,0,0,39,47,83.0,1031,386,4,5,80.0,22,24,91.7,13,18,72.2,0,0.0,0.0,0,4,0,0,2,47,47,0,0,0,0,0,0,0,0,0,0,39,0,0,2,2,0,2,0,1,2,50.0,1,0,0,0,3,5,2,0,53,5,33,18,2,0,53,0,0,,0,,26,111,53,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,2,0,0,0,1,4,1,80.0
Fernando Marçal,0,0,0,0,1,0,0,0,83,4,3,0,0.0,0.0,0.0,3,0,57,75,76.0,8,44,4,0,0,57,75,76.0,1012,371,26,27,96.3,26,34,76.5,5,11,45.5,0,0.0,0.0,1,2,1,1,8,75,61,13,0,0,0,10,13,0,0,0,0,57,1,1,4,3,2,2,0,2,3,66.7,1,0,0,0,3,7,1,0,83,1,19,37,28,1,83,0,0,,0,,44,208,143,4,5,0,0,1,51,14,0,0,0,0,1,0,10,3,3,0,0,0,6,2,0,100.0
Francisco Trincão,0,0,0,0,4,3,0,0,44,1,1,1,0.2,0.2,0.1,3,0,23,28,82.1,3,26,3,2,1,23,28,82.1,310,75,13,13,100.0,5,7,71.4,2,3,66.7,0,0.1,0.1,2,0,2,1,3,28,26,2,1,0,1,4,0,1,0,1,0,23,0,1,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,44,0,0,12,32,4,44,2,1,50.0,1,50.0,26,165,35,3,1,1,5,2,28,6,0,0,0,0,0,0,4,1,1,0,0,0,4,0,1,0.0
Fábio Silva,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
José Sá,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,0,12,0,0,0,17,19,89.5,376,206,3,3,100.0,12,12,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,19,15,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,21,24,0,0,0,24,0,0,,0,,12,76,51,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
João Moutinho,0,0,0,0,1,0,0,0,46,2,1,0,0.1,0.1,0.1,5,0,33,40,82.5,5,22,2,1,1,33,40,82.5,713,148,11,13,84.6,17,20,85.0,5,6,83.3,0,0.1,0.1,3,1,1,0,5,40,35,5,3,1,2,1,0,2,0,1,0,33,0,0,2,2,0,1,1,1,3,33.3,2,0,0,0,1,3,0,0,46,0,2,24,20,1,46,1,1,100.0,0,0.0,22,113,81,2,3,0,0,2,31,3,0,0,0,2,0,0,1,1,2,0,0,0,6,1,1,50.0
Leander Dendoncker,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.0,0,0,9,10,90.0,1,6,0,0,0,9,10,90.0,157,21,4,4,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,13,1,2,7,4,1,13,0,0,,0,,6,12,3,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0
Max Kilman,0,0,0,0,0,0,0,0,66,6,4,2,0.0,0.0,0.0,0,0,48,54,88.9,5,34,2,1,1,48,54,88.9,891,216,22,25,88.0,19,19,100.0,7,8,87.5,0,0.0,0.0,1,3,0,0,5,54,52,2,0,0,0,1,2,0,0,0,0,48,0,1,6,2,4,1,1,3,6,50.0,3,2,1,1,4,10,0,0,66,3,27,34,6,0,66,1,1,100.0,0,0.0,34,185,103,2,1,0,0,0,35,1,0,0,0,0,0,0,1,4,2,0,0,0,7,1,1,50.0
Nélson Semedo,0,0,0,0,2,0,0,0,86,3,0,2,0.1,0.1,0.2,4,0,50,66,75.8,6,40,7,4,3,50,66,75.8,761,328,30,34,88.2,17,22,77.3,2,6,33.3,0,0.2,0.2,2,3,0,0,6,66,54,12,0,0,0,8,12,0,0,0,0,50,0,2,3,0,1,2,0,1,2,50.0,1,2,1,1,0,3,1,1,86,6,13,26,48,5,86,4,3,75.0,1,25.0,40,259,197,7,3,2,3,0,50,13,0,0,0,0,0,0,8,0,0,0,0,0,5,1,2,33.3
Rayan Aït-Nouri,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,4,3,2,2,2,3,66.7,19,6,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,3,2,0,4,2,2,100.0,0,0.0,4,91,74,3,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Raúl Jiménez,0,0,0,0,5,0,1,0,40,0,0,1,0.4,0.4,0.2,5,0,21,25,84.0,3,22,1,2,1,21,25,84.0,272,50,14,16,87.5,4,5,80.0,1,1,100.0,0,0.2,0.2,4,1,0,0,3,25,23,2,0,1,1,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,40,0,1,16,23,10,40,2,1,50.0,1,50.0,22,75,27,1,1,1,4,4,32,4,1,0,0,3,1,1,0,0,0,0,0,0,1,1,3,25.0
Romain Saïss,0,0,0,0,1,0,0,0,66,3,2,0,0.0,0.0,0.1,1,0,47,58,81.0,9,30,1,0,0,47,58,81.0,1018,505,11,13,84.6,31,36,86.1,5,8,62.5,0,0.1,0.0,1,6,0,0,9,58,55,2,1,0,1,1,1,0,0,0,0,47,1,0,3,3,0,3,0,1,1,100.0,0,0,0,0,2,5,1,0,66,4,25,35,6,3,66,0,0,,0,,30,114,68,1,0,0,0,0,39,1,0,0,0,1,0,0,1,2,3,0,0,0,7,2,1,66.7
Rúben Neves,0,0,0,0,4,1,0,0,91,6,0,2,0.1,0.1,0.9,10,0,59,75,78.7,18,47,3,1,1,59,75,78.7,1654,372,9,11,81.8,29,34,85.3,21,26,80.8,0,0.9,0.3,5,10,4,1,18,75,71,4,2,3,4,5,0,2,0,1,0,59,0,2,6,4,0,5,1,4,5,80.0,1,2,0,2,0,6,1,0,91,0,6,51,34,0,91,1,1,100.0,0,0.0,47,234,96,3,3,0,2,1,62,3,0,0,0,2,0,0,5,0,4,0,0,0,7,0,2,0.0
