player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,6,2,1,0,586,12,8,11,0.5,0.5,0.4,11,2,401,503,79.7,29,380,10,11,3,401,503,79.7,6826,2273,187,204,91.7,158,185,85.4,41,80,51.3,1,0.4,0.3,5,29,6,1,29,503,448,52,17,3,3,9,16,2,0,2,0,401,3,9,12,7,8,4,0,5,16,31.3,11,11,4,7,8,20,19,1,586,63,230,277,83,12,586,11,3,27.3,5,45.5,380,1658,734,10,5,5,8,3,400,29,1,0,0,9,15,3,9,8,7,0,0,0,45,14,19,42.4
Daniel Amartey,0,0,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.0,0,0,51,58,87.9,1,43,0,0,0,51,58,87.9,823,294,27,28,96.4,21,23,91.3,3,6,50.0,0,0.0,0.0,0,2,0,0,1,58,54,4,3,0,0,0,1,0,0,0,0,51,0,0,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,60,1,25,32,3,0,60,0,0,,0,,43,156,44,0,1,0,0,1,46,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,75.0
Danny Ward,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,0,29,43,67.4,0,21,0,0,0,29,43,67.4,705,459,10,10,100.0,12,12,100.0,7,20,35.0,0,0.0,0.0,0,1,0,0,0,43,24,18,6,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,50,32,49,1,0,0,50,0,0,,0,,21,117,61,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Dennis Praet,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,13,15,86.7,2,11,1,0,0,13,15,86.7,204,41,7,8,87.5,5,5,100.0,1,2,50.0,0,0.0,0.0,0,1,1,0,2,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,0,3,10,3,0,15,0,0,,0,,11,46,19,1,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
James Justin,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,0,0,29,39,74.4,3,26,2,0,0,29,39,74.4,504,92,13,17,76.5,12,16,75.0,3,5,60.0,0,0.0,0.0,0,1,1,0,3,39,30,9,1,0,1,0,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0,45,4,12,24,9,1,45,0,0,,0,,26,117,61,2,0,1,0,0,27,4,0,0,0,1,3,2,0,0,0,0,0,0,5,3,3,50.0
James Maddison,1,0,0,0,2,1,0,0,51,1,0,1,0.2,0.2,0.0,2,1,32,44,72.7,6,44,2,1,0,32,44,72.7,586,214,16,17,94.1,11,15,73.3,5,9,55.6,0,0.0,0.0,1,8,2,1,6,44,40,4,2,0,1,6,0,2,0,2,0,32,0,3,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,51,0,6,30,15,4,51,1,0,0.0,0,0.0,44,200,67,2,2,0,4,1,47,6,0,0,0,2,5,0,6,0,0,0,0,0,2,0,0,
Jamie Vardy,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.1,1,0,11,12,91.7,0,6,0,0,0,11,12,91.7,134,38,6,6,100.0,3,4,75.0,0,0,,0,0.1,0.0,1,1,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,11,0,0,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,17,2,5,6,6,1,17,0,0,,0,,6,14,1,0,0,0,0,0,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,2,5,28.6
Jonny Evans,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,0,0,56,62,90.3,0,52,0,0,0,56,62,90.3,1013,350,20,21,95.2,30,31,96.8,6,9,66.7,0,0.0,0.0,0,2,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,56,0,1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0,66,8,40,26,0,0,66,0,0,,0,,52,157,67,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Kelechi Iheanacho,0,1,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.3,3,1,3,3,100.0,0,4,2,1,0,3,3,100.0,20,3,2,2,100.0,0,0,,0,0,,1,0.3,0.0,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,1,4,3,5,1,0,0.0,1,100.0,4,44,38,2,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kiernan Dewsbury-Hall,0,0,0,0,1,0,0,0,53,0,2,1,0.0,0.0,0.0,0,0,32,48,66.7,3,36,2,3,1,32,48,66.7,511,57,18,23,78.3,12,15,80.0,1,6,16.7,0,0.0,0.0,0,1,1,0,3,48,46,1,1,0,1,1,0,0,0,0,0,32,1,0,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,0,0,53,0,13,30,11,0,53,3,1,33.3,1,33.3,36,240,130,2,0,0,0,0,39,2,0,0,0,1,2,0,1,2,0,0,0,0,4,1,2,33.3
Patson Daka,0,0,0,0,1,0,0,0,15,1,1,1,0.1,0.1,0.0,0,0,3,6,50.0,0,6,0,3,1,3,6,50.0,30,6,3,4,75.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,1,2,1,0,15,1,2,4,9,2,15,3,1,33.3,2,66.7,6,15,5,0,0,0,1,0,7,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,100.0
