player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,1,1,7,3,2,0,450,14,7,8,1.0,0.2,0.2,16,2,266,360,73.9,18,220,11,13,0,266,360,73.9,4374,2033,144,165,87.3,88,108,81.5,23,61,37.7,0,0.2,0.1,6,19,2,0,18,360,314,46,15,0,1,12,15,5,3,1,1,266,0,8,14,7,8,4,2,7,13,53.8,6,8,5,3,7,21,22,0,450,71,205,176,72,10,449,13,0,0.0,7,53.8,220,1120,451,11,8,5,8,8,264,18,2,0,0,17,13,0,12,7,7,1,0,0,56,15,15,50.0
Aaron Cresswell,0,0,0,0,0,0,0,0,40,0,1,1,0.0,0.0,0.0,2,0,30,37,81.1,0,20,2,0,0,30,37,81.1,527,284,18,19,94.7,9,12,75.0,3,5,60.0,0,0.0,0.0,0,2,0,0,0,37,27,10,2,0,0,3,6,2,0,1,1,30,0,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,40,5,16,16,8,0,40,0,0,,0,,20,58,36,2,0,0,0,1,21,1,0,0,0,1,0,0,3,1,0,0,0,0,6,0,1,0.0
Craig Dawson,0,0,0,0,0,0,0,0,45,0,1,3,0.0,0.0,0.0,1,0,32,35,91.4,3,14,0,0,0,32,35,91.4,749,439,11,11,100.0,12,14,85.7,8,9,88.9,0,0.0,0.0,0,4,0,0,3,35,32,3,3,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0.0,2,3,3,0,1,1,7,0,45,13,29,15,1,1,45,0,0,,0,,14,75,26,0,0,0,0,1,22,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,50.0
Declan Rice,0,0,0,0,0,0,0,0,60,3,1,0,0.0,0.0,0.0,2,0,43,50,86.0,3,34,1,0,0,43,50,86.0,613,136,23,26,88.5,18,19,94.7,0,2,0.0,0,0.0,0.0,2,3,0,0,3,50,50,0,0,0,1,0,0,0,0,0,0,43,0,1,3,1,1,2,0,1,1,100.0,0,0,0,0,1,4,2,0,60,6,25,32,4,0,60,0,0,,0,,34,217,112,1,1,0,1,0,37,0,0,0,0,2,0,0,0,1,1,0,0,0,7,0,0,
Divin Mubama,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,9,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jarrod Bowen,0,0,0,0,0,0,1,0,37,1,2,0,0.0,0.0,0.0,2,1,16,26,61.5,2,21,3,3,0,16,26,61.5,172,41,12,16,75.0,3,4,75.0,0,3,0.0,0,0.0,0.0,0,0,0,0,2,26,24,2,0,0,0,5,0,2,2,0,0,16,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,37,1,12,14,11,1,37,3,0,0.0,1,33.3,21,119,38,3,1,0,0,2,26,4,1,0,0,2,2,0,5,2,0,1,0,0,3,1,2,33.3
Lucas Paquetá,0,0,0,0,1,0,0,0,54,2,0,0,0.0,0.0,0.1,3,0,40,49,81.6,2,35,0,2,0,40,49,81.6,585,222,23,24,95.8,10,14,71.4,4,5,80.0,0,0.1,0.0,2,5,0,0,2,49,42,7,3,0,0,0,0,0,0,0,0,40,0,1,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,54,2,15,32,8,1,54,2,0,0.0,1,50.0,35,141,49,0,3,0,0,3,40,2,0,0,0,4,4,0,0,0,1,0,0,0,6,1,2,33.3
Michail Antonio,0,0,0,0,2,1,0,0,22,2,0,2,0.1,0.1,0.0,1,1,4,10,40.0,3,14,3,1,0,4,10,40.0,70,42,1,3,33.3,3,4,75.0,0,0,,0,0.0,0.0,0,0,1,0,3,10,10,0,0,0,0,1,0,0,0,0,0,4,0,3,2,2,1,0,1,1,1,100.0,0,2,0,2,0,2,0,0,22,0,2,11,9,3,22,1,0,0.0,1,100.0,14,81,45,3,0,3,3,0,17,4,0,0,0,2,3,0,1,0,2,0,0,0,3,0,3,0.0
Pablo Fornals,0,0,0,0,1,1,0,0,13,1,0,0,0.0,0.0,0.0,0,0,8,12,66.7,0,6,0,0,0,8,12,66.7,79,33,5,5,100.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,1,0,0,0,12,10,2,1,0,0,1,0,1,1,0,0,8,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,0,2,5,6,0,13,0,0,,0,,6,11,4,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,
Saïd Benrahma,1,0,1,1,2,1,0,0,30,1,1,0,0.8,0.1,0.0,1,0,14,18,77.8,1,16,2,6,0,14,18,77.8,157,25,12,14,85.7,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,1,0,30,2,8,11,12,3,29,6,0,0.0,4,66.7,16,183,58,2,2,2,3,0,18,4,0,0,0,1,1,0,0,1,1,0,0,0,4,0,1,0.0
Thilo Kehrer,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,25,28,89.3,1,16,0,0,0,25,28,89.3,379,123,13,15,86.7,10,10,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,28,26,2,2,0,0,0,0,0,0,0,0,25,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,30,2,19,10,1,0,30,0,0,,0,,16,65,26,0,1,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,50.0
Tomáš Souček,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.1,1,0,8,20,40.0,1,9,0,0,0,8,20,40.0,97,39,5,10,50.0,3,8,37.5,0,2,0.0,0,0.1,0.0,1,2,0,0,1,20,20,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,3,0,28,4,13,9,6,1,28,0,0,,0,,9,18,1,0,0,0,1,1,17,1,0,0,0,2,0,0,1,0,0,0,0,0,4,5,2,71.4
Vladimír Coufal,0,0,0,0,0,0,1,0,62,2,1,2,0.0,0.0,0.0,2,0,35,48,72.9,2,20,0,1,0,35,48,72.9,548,315,19,20,95.0,12,14,85.7,2,10,20.0,0,0.0,0.0,0,2,1,0,2,48,39,9,0,0,0,1,9,0,0,0,0,35,0,1,2,1,2,0,0,2,2,100.0,0,2,1,1,1,3,6,0,62,11,36,20,6,0,62,1,0,0.0,0,0.0,20,78,29,0,0,0,0,0,27,1,1,0,0,2,1,0,1,1,1,0,0,0,9,3,1,75.0
Łukasz Fabiański,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,10,26,38.5,0,14,0,0,0,10,26,38.5,384,334,1,1,100.0,4,4,100.0,5,21,23.8,0,0.0,0.0,0,0,0,0,0,26,16,10,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,25,28,0,0,0,28,0,0,,0,,14,65,25,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,75.0
