player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,1,0,0,0,19,4,0,0,700,9,5,9,1.7,1.7,1.2,35,1,511,610,83.8,58,341,17,27,11,511,610,83.8,8470,2828,242,265,91.3,217,243,89.3,39,65,60.0,0,1.2,1.3,14,36,11,2,58,610,557,51,17,2,3,26,13,11,6,3,0,511,2,13,9,6,2,3,4,4,17,23.5,13,9,0,9,5,14,9,3,700,31,178,366,166,29,700,27,11,40.7,13,48.1,341,1945,1103,17,13,4,19,10,496,58,0,0,0,10,10,2,26,5,6,0,0,0,56,12,10,54.5
Ashley Young,0,0,0,0,1,0,0,0,54,4,1,0,0.0,0.0,0.1,2,0,41,48,85.4,5,14,0,1,1,41,48,85.4,609,188,24,24,100.0,15,18,83.3,1,4,25.0,0,0.1,0.0,1,1,0,0,5,48,42,6,1,0,0,0,4,1,0,0,0,41,0,0,4,3,1,2,1,3,3,100.0,0,0,0,0,1,5,1,0,54,1,12,31,12,0,54,1,1,100.0,0,0.0,14,47,28,0,1,0,0,0,29,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,
Boubacar Kamara,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.1,3,0,40,48,83.3,7,24,0,3,3,40,48,83.3,629,219,18,21,85.7,20,21,95.2,1,2,50.0,0,0.1,0.1,1,5,2,0,7,48,47,1,1,0,1,0,0,0,0,0,0,40,0,1,3,1,0,0,3,1,3,33.3,2,0,0,0,1,4,0,2,54,1,7,39,10,0,54,3,3,100.0,0,0.0,24,95,49,0,0,0,2,1,38,0,0,0,0,3,0,0,0,1,1,0,0,0,6,3,0,100.0
Douglas Luiz,0,0,0,0,0,0,0,0,115,1,0,2,0.0,0.0,0.2,4,0,94,110,85.5,9,45,1,2,2,94,110,85.5,1748,426,37,39,94.9,40,43,93.0,14,21,66.7,0,0.2,0.1,3,7,0,0,9,110,94,15,6,1,1,8,0,9,5,3,0,94,1,2,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0,115,0,18,81,18,0,115,2,2,100.0,0,0.0,45,287,144,1,0,0,0,2,81,1,0,0,0,1,0,1,8,0,1,0,0,0,9,2,0,100.0
Emi Buendía,0,0,0,0,5,1,0,0,50,0,0,1,0.3,0.3,0.4,7,1,35,39,89.7,9,27,3,3,1,35,39,89.7,554,121,18,19,94.7,14,15,93.3,2,2,100.0,0,0.4,0.4,3,6,1,0,9,39,36,3,0,0,0,1,0,0,0,0,0,35,0,1,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,50,0,3,23,24,8,50,3,1,33.3,2,66.7,27,138,101,3,3,1,2,1,44,8,0,0,0,3,1,0,1,0,0,0,0,0,2,1,1,50.0
Emiliano Martínez,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,13,0,0,0,25,29,86.2,485,336,8,8,100.0,14,14,100.0,3,7,42.9,0,0.0,0.0,0,0,0,0,0,29,24,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28,20,28,0,0,0,28,0,0,,0,,13,66,46,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ezri Konsa,0,0,0,0,1,0,0,0,94,1,0,1,0.1,0.1,0.0,1,0,85,89,95.5,1,58,0,0,0,85,89,95.5,1393,452,39,40,97.5,41,42,97.6,3,5,60.0,0,0.0,0.0,0,1,0,0,1,89,85,4,4,0,0,0,0,0,0,0,0,85,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,94,3,49,45,2,1,94,0,0,,0,,58,261,148,0,0,0,1,0,73,0,0,0,0,0,5,0,0,0,1,0,0,0,12,0,1,0.0
Jacob Ramsey,0,0,0,0,0,0,0,0,22,0,0,3,0.0,0.0,0.1,1,0,14,18,77.8,2,7,2,0,0,14,18,77.8,193,54,7,7,100.0,5,7,71.4,1,1,100.0,0,0.1,0.0,1,3,0,0,2,18,18,0,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0,22,0,5,12,6,1,22,0,0,,0,,7,74,48,2,1,0,1,0,12,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
Jhon Durán,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,4,1,1,1,3,5,60.0,48,7,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,1,0,1,5,4,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,6,0,0,5,2,1,6,1,1,100.0,0,0.0,4,29,25,1,1,0,1,0,4,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,
Leander Dendoncker,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,4,3,0,0,0,9,10,90.0,148,70,3,4,75.0,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,4,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,8,3,0,11,0,0,,0,,3,12,12,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Leon Bailey,0,0,0,0,4,2,0,0,41,0,0,0,0.5,0.5,0.1,3,0,15,26,57.7,1,27,4,7,1,15,26,57.7,241,82,10,13,76.9,4,6,66.7,1,3,33.3,0,0.1,0.2,2,2,1,1,1,26,24,2,0,0,0,6,1,1,1,0,0,15,0,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,41,0,1,17,23,3,41,7,1,14.3,4,57.1,27,249,141,4,3,1,5,3,35,11,0,0,0,1,0,0,6,0,0,0,0,0,2,2,2,50.0
Lucas Digne,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,2,0,18,22,81.8,3,10,0,0,0,18,22,81.8,251,94,11,11,100.0,7,7,100.0,0,0,,0,0.1,0.1,1,0,2,0,3,22,17,5,0,0,0,1,5,0,0,0,0,18,0,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,23,1,7,10,6,1,23,0,0,,0,,10,51,2,0,0,0,0,0,14,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
Matty Cash,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,29,36,80.6,6,19,1,0,0,29,36,80.6,605,210,12,14,85.7,11,14,78.6,6,8,75.0,0,0.0,0.0,0,5,1,1,6,36,35,1,1,0,1,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36,0,10,22,5,0,36,0,0,,0,,19,110,72,1,1,0,0,0,24,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
Ollie Watkins,1,0,0,0,4,1,0,0,25,0,1,1,0.7,0.7,0.1,5,0,8,9,88.9,1,12,0,3,1,8,9,88.9,67,15,5,6,83.3,1,1,100.0,0,0,,0,0.1,0.0,1,1,1,0,1,9,8,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,25,1,1,10,14,7,25,3,1,33.3,2,66.7,12,51,14,0,0,0,3,0,15,7,0,0,0,0,2,0,0,1,0,0,0,0,1,0,4,0.0
Philippe Coutinho,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.2,3,0,15,20,75.0,3,16,0,4,0,15,20,75.0,244,68,8,9,88.9,5,7,71.4,2,3,66.7,0,0.2,0.3,1,1,2,0,3,20,18,2,0,1,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,0,0,9,19,1,28,4,0,0.0,4,100.0,16,86,14,0,0,0,2,1,23,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Tyrone Mings,0,0,0,0,0,0,0,0,75,0,2,1,0.0,0.0,0.0,1,0,60,67,89.6,5,43,1,1,0,60,67,89.6,987,433,27,28,96.4,28,30,93.3,4,8,50.0,0,0.0,0.0,0,3,0,0,5,67,62,5,4,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,4,0,75,4,33,41,1,0,75,1,0,0.0,1,100.0,43,267,193,1,0,0,0,1,54,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,2,33.3
