player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,0,0,0,0,9,3,2,0,741,17,13,10,0.5,0.5,0.5,17,0,523,639,81.8,35,506,19,11,5,523,639,81.8,8762,2775,258,281,91.8,207,241,85.9,44,85,51.8,0,0.5,0.5,8,36,6,4,35,639,591,46,11,2,2,26,25,3,1,1,0,523,2,10,17,11,9,6,2,7,16,43.8,9,10,2,8,13,30,17,0,741,62,230,349,166,14,741,11,5,45.5,3,27.3,506,2308,1178,19,12,4,15,10,518,34,2,0,0,10,10,2,26,13,11,0,0,0,63,13,9,59.1
Boubacar Kamara,0,0,0,0,0,0,1,0,85,3,0,1,0.0,0.0,0.0,2,0,67,72,93.1,3,49,1,1,0,67,72,93.1,1034,221,34,36,94.4,23,23,100.0,6,9,66.7,0,0.0,0.0,1,7,0,0,3,72,70,2,2,0,0,0,0,0,0,0,0,67,0,0,3,2,1,1,1,1,3,33.3,2,1,0,1,0,3,2,0,85,5,23,56,6,0,85,1,0,0.0,1,100.0,49,159,60,1,0,0,2,1,51,0,1,0,0,3,1,0,0,0,2,0,0,0,14,1,2,33.3
Calum Chambers,0,0,0,0,0,0,0,0,80,2,3,1,0.0,0.0,0.0,1,0,63,73,86.3,4,62,2,0,0,63,73,86.3,1146,506,28,29,96.6,31,34,91.2,4,7,57.1,0,0.0,0.0,0,3,0,0,4,73,69,2,1,0,0,0,1,0,0,0,0,63,2,1,2,2,2,0,0,1,2,50.0,1,1,1,0,3,5,1,0,80,9,47,32,2,0,80,0,0,,0,,62,327,229,2,0,0,0,0,58,0,0,0,0,2,0,0,0,3,2,0,0,0,7,1,0,100.0
Cameron Archer,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,2,2,100.0,23,8,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,2,36,30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Danny Ings,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0.0,0,0,10,15,66.7,0,15,2,1,1,10,15,66.7,110,0,9,12,75.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,21,0,0,9,12,2,21,1,1,100.0,0,0.0,15,87,22,2,0,0,0,2,18,6,0,0,0,0,1,2,1,0,0,0,0,0,2,2,0,100.0
Douglas Luiz,0,0,0,0,0,0,0,0,57,0,2,0,0.0,0.0,0.0,2,0,43,52,82.7,1,43,3,1,0,43,52,82.7,724,116,20,21,95.2,19,22,86.4,3,7,42.9,0,0.0,0.0,0,0,0,0,1,52,48,4,3,0,1,2,0,1,0,0,0,43,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,57,0,15,31,11,0,57,1,0,0.0,0,0.0,43,211,116,3,0,0,0,1,42,2,0,0,0,1,1,0,2,2,0,0,0,0,5,0,2,0.0
Emi Buendía,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,2,0,18,27,66.7,2,26,0,1,1,18,27,66.7,335,58,8,8,100.0,7,11,63.6,3,5,60.0,0,0.0,0.0,1,4,0,0,2,27,25,2,0,1,0,3,0,1,1,0,0,18,0,2,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,30,0,2,14,14,0,30,1,1,100.0,0,0.0,26,86,34,0,1,0,1,1,24,1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,
Emiliano Martínez,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,30,38,78.9,0,24,0,0,0,30,38,78.9,609,348,4,4,100.0,24,24,100.0,2,10,20.0,0,0.0,0.0,0,0,0,0,0,38,31,7,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,30,35,3,0,0,38,0,0,,0,,24,110,81,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ezri Konsa,0,0,0,0,0,0,0,0,78,1,2,0,0.0,0.0,0.0,0,0,65,70,92.9,0,64,1,0,0,65,70,92.9,1218,441,31,32,96.9,27,30,90.0,7,8,87.5,0,0.0,0.0,0,2,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,65,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,5,0,78,9,45,33,0,0,78,0,0,,0,,64,297,151,1,1,0,0,0,64,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,100.0
Jacob Ramsey,0,0,0,0,1,1,0,0,21,0,0,1,0.0,0.0,0.1,2,0,16,17,94.1,1,16,1,0,0,16,17,94.1,203,58,10,10,100.0,5,5,100.0,0,1,0.0,0,0.1,0.1,1,2,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,21,0,3,8,10,1,21,0,0,,0,,16,106,53,1,3,0,2,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
John McGinn,0,0,0,0,2,0,0,0,88,3,1,3,0.1,0.1,0.0,0,0,62,72,86.1,13,51,1,0,0,62,72,86.1,1120,435,34,36,94.4,18,21,85.7,9,12,75.0,0,0.0,0.0,0,9,2,2,13,72,72,0,0,0,0,5,0,0,0,0,0,62,0,2,3,2,0,3,0,0,1,0.0,1,3,0,3,1,4,1,0,88,0,3,66,19,1,88,0,0,,0,,51,205,129,1,1,1,2,1,63,1,0,0,0,1,1,0,5,1,2,0,0,0,6,0,0,
Leon Bailey,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,1,10,2,3,2,5,9,55.6,118,26,2,4,50.0,1,2,50.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,9,9,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,0,1,5,8,3,13,3,2,66.7,1,33.3,10,88,17,2,1,2,1,0,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0
Lucas Digne,0,0,0,0,0,0,0,0,97,1,0,2,0.0,0.0,0.3,3,0,58,87,66.7,1,58,2,1,0,58,87,66.7,872,328,33,41,80.5,19,29,65.5,4,11,36.4,0,0.3,0.1,3,1,1,1,1,87,69,18,1,0,0,8,16,1,0,1,0,58,0,3,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,2,0,97,3,30,28,39,2,97,1,0,0.0,1,100.0,58,178,82,2,0,0,4,1,59,12,0,0,0,0,2,0,8,0,1,0,0,0,11,3,0,100.0
Matty Cash,0,0,0,0,1,0,1,0,63,5,3,0,0.1,0.1,0.0,0,0,38,49,77.6,2,32,0,1,0,38,49,77.6,590,125,19,21,90.5,16,20,80.0,2,6,33.3,0,0.0,0.0,0,2,0,0,2,49,41,8,0,0,1,2,8,0,0,0,0,38,0,1,5,2,3,2,0,2,3,66.7,1,0,0,0,3,8,4,0,63,6,19,33,12,3,63,1,0,0.0,0,0.0,32,118,45,0,1,0,1,1,33,2,1,0,0,1,1,0,2,3,2,0,0,0,5,2,1,66.7
Ollie Watkins,0,0,0,0,2,1,0,0,21,0,2,0,0.2,0.2,0.0,1,0,16,18,88.9,2,17,2,0,0,16,18,88.9,191,19,9,10,90.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,21,0,4,6,11,2,21,0,0,,0,,17,106,57,2,1,1,0,1,17,4,0,0,0,1,1,0,0,2,0,0,0,0,3,1,2,33.3
Philippe Coutinho,0,0,0,0,1,1,0,0,47,1,0,1,0.0,0.0,0.1,4,0,30,38,78.9,5,37,1,2,1,30,38,78.9,469,86,16,16,100.0,12,15,80.0,1,3,33.3,0,0.1,0.1,2,4,2,1,5,38,35,3,2,1,0,2,0,0,0,0,0,30,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,47,0,3,23,22,0,47,2,1,50.0,0,0.0,37,194,72,1,3,0,2,1,38,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0.0
