player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,0,0,10,4,1,0,588,13,10,13,1.1,1.1,0.7,15,3,389,479,81.2,34,322,16,33,10,389,479,81.2,6643,2296,167,185,90.3,176,198,88.9,32,63,50.8,1,0.7,0.9,5,28,7,1,34,479,423,53,15,0,3,22,26,7,4,0,1,389,3,10,13,11,8,3,2,4,10,40.0,6,13,2,11,10,23,13,0,588,54,205,237,155,24,588,33,10,30.3,17,51.5,322,1620,744,16,19,3,14,15,382,33,1,0,0,8,16,3,22,10,11,0,0,0,54,7,19,26.9
Adam Smith,0,0,0,0,0,0,0,0,48,1,4,0,0.0,0.0,0.0,0,0,34,39,87.2,5,23,0,2,0,34,39,87.2,622,231,11,12,91.7,20,21,95.2,3,6,50.0,0,0.0,0.0,0,3,2,0,5,39,33,6,1,0,0,0,5,0,0,0,0,34,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,4,5,2,0,48,3,21,24,4,0,48,2,0,0.0,1,50.0,23,62,19,0,0,0,0,0,27,0,0,0,0,0,1,0,0,4,1,0,0,0,6,0,0,
Chris Mepham,0,0,0,0,1,0,0,0,72,2,1,0,0.1,0.1,0.0,0,0,55,61,90.2,1,37,0,1,1,55,61,90.2,985,330,22,22,100.0,28,31,90.3,4,6,66.7,0,0.0,0.0,0,2,0,0,1,61,58,3,2,0,0,0,1,0,0,0,0,55,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,5,0,72,13,44,27,2,1,72,1,1,100.0,0,0.0,37,167,101,0,0,0,2,0,53,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,1,50.0
Dominic Solanke,0,1,0,0,1,0,0,0,31,0,0,2,0.1,0.1,0.4,2,2,12,15,80.0,1,19,1,5,0,12,15,80.0,154,25,7,8,87.5,5,5,100.0,0,0,,1,0.4,0.3,1,1,0,0,1,15,13,2,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,31,0,2,13,16,6,31,5,0,0.0,5,100.0,19,142,10,1,3,0,3,4,26,4,0,0,0,1,3,1,0,0,0,0,0,0,2,2,4,33.3
Jack Stacey,0,0,0,0,0,0,0,0,18,1,1,1,0.0,0.0,0.0,0,0,10,13,76.9,1,8,2,2,0,10,13,76.9,151,86,6,6,100.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,13,9,4,0,0,0,0,4,0,0,0,0,10,0,1,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,18,1,7,4,8,0,18,2,0,0.0,2,100.0,8,100,45,2,1,0,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,
Jaidon Anthony,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,6,0,3,1,2,4,50.0,15,2,2,4,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,1,6,1,7,3,1,33.3,2,66.7,6,35,4,0,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jefferson Lerma,0,0,0,0,0,0,0,0,63,1,1,1,0.0,0.0,0.0,1,0,49,56,87.5,4,33,2,0,0,49,56,87.5,824,328,21,22,95.5,19,20,95.0,6,9,66.7,0,0.0,0.1,1,8,0,0,4,56,52,4,2,0,0,0,2,0,0,0,0,49,0,2,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,63,2,21,36,7,1,63,0,0,,0,,33,138,67,2,1,0,0,0,36,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,3,0.0
Kieffer Moore,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Lewis Cook,0,0,0,0,1,0,0,0,46,1,0,1,0.0,0.0,0.2,4,0,29,39,74.4,6,26,2,2,1,29,39,74.4,463,121,16,17,94.1,12,14,85.7,1,4,25.0,0,0.2,0.2,2,3,2,1,6,39,35,3,2,0,1,3,0,1,1,0,0,29,1,1,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,46,2,9,22,15,1,46,2,1,50.0,0,0.0,26,117,46,2,3,1,0,2,30,2,0,0,0,3,1,0,3,0,1,0,0,0,6,0,1,0.0
Marcos Senesi,0,0,0,0,0,0,0,0,63,3,1,2,0.0,0.0,0.0,0,0,50,56,89.3,4,35,0,0,0,50,56,89.3,1034,410,7,7,100.0,39,40,97.5,4,7,57.1,0,0.0,0.0,0,5,0,0,4,56,52,3,2,0,1,1,1,0,0,0,0,50,1,0,3,2,2,1,0,1,1,100.0,0,2,2,0,1,4,3,0,63,8,36,28,1,0,63,0,0,,0,,35,132,82,0,0,0,0,0,43,0,0,0,0,0,0,0,1,1,2,0,0,0,5,0,1,0.0
