,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Casemiro,Manchester Utd,0.01,,Off Target,34.0,Right Foot,,Bruno Fernandes,Pass (Live),Jadon Sancho,Pass (Live)
1,5,Bruno Fernandes,Manchester Utd,0.03,,Off Target,26.0,Left Foot,,Luke Shaw,Pass (Live),Bruno Fernandes,Pass (Live)
2,9,Casemiro,Manchester Utd,0.32,0.98,Goal,6.0,Right Foot,Volley,,,,
3,17,Anthony Martial,Manchester Utd,0.02,,Blocked,24.0,Right Foot,,Bruno Fernandes,Pass (Live),Raphaël Varane,Pass (Live)
4,18,Aaron Wan-Bissaka,Manchester Utd,0.07,,Blocked,11.0,Left Foot,,Jadon Sancho,Pass (Live),Bruno Fernandes,Pass (Live)
5,21,Christian Eriksen,Manchester Utd,0.07,,Off Target,23.0,Left Foot,,Antony,Pass (Live),Bruno Fernandes,Pass (Live)
6,26,Luke Shaw,Manchester Utd,0.03,,Blocked,23.0,Left Foot,,Christian Eriksen,Pass (Live),Bruno Fernandes,Pass (Live)
7,27,Dominic Solanke,Bournemouth,0.07,0.2,Saved,16.0,Right Foot,Deflected,Dominic Solanke,Tackle,Adam Smith,Pass (Live)
8,32,David Brooks,Bournemouth,0.07,,Blocked,15.0,Right Foot,,Adam Smith,Pass (Live),Marcos Senesi,Pass (Live)
9,33,David Brooks,Bournemouth,0.06,,Blocked,29.0,Left Foot,"Free kick, Deflected",Illia Zabarnyi,Fouled,,
10,35,Ryan Christie,Bournemouth,0.11,,Blocked,14.0,Left Foot,,David Brooks,Pass (Live),Jaidon Anthony,Pass (Live)
11,37,Anthony Martial,Manchester Utd,0.04,,Off Target,21.0,Right Foot,,Jadon Sancho,Pass (Live),Bruno Fernandes,Pass (Live)
12,40,Casemiro,Manchester Utd,0.02,0.24,Saved,27.0,Right Foot,,,,,
13,42,Ryan Christie,Bournemouth,0.14,0.07,Saved,11.0,Right Foot,Volley,Adam Smith,Pass (Live),Dominic Solanke,Pass (Live)
14,45+1,Dominic Solanke,Bournemouth,0.11,,Off Target,15.0,Head,,Adam Smith,Pass (Live),Lewis Cook,Pass (Live)
15,,,,,,,,,,,,,
16,47,David Brooks,Bournemouth,0.07,0.05,Saved,14.0,Left Foot,,Ryan Christie,Pass (Live),,
17,50,Antony,Manchester Utd,0.02,,Blocked,25.0,Left Foot,"Deflected, Volley",Antony,Fouled,Casemiro,Pass (Live)
18,55,Dominic Solanke,Bournemouth,0.03,,Off Target,9.0,Right Foot,,Ryan Christie,Pass (Live),Lewis Cook,Pass (Live)
19,56,Anthony Martial,Manchester Utd,0.1,,Blocked,12.0,Right Foot,,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live)
20,59,Antony,Manchester Utd,0.05,,Off Target,13.0,Right Foot,,Casemiro,Pass (Live),Wout Weghorst,Pass (Live)
21,63,Antony,Manchester Utd,0.07,,Blocked,14.0,Left Foot,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Live)
22,63,Wout Weghorst,Manchester Utd,0.13,0.03,Saved,15.0,Right Foot,Volley,,,,
23,64,Bruno Fernandes,Manchester Utd,0.05,,Blocked,16.0,Right Foot,,Aaron Wan-Bissaka,Pass (Live),Jadon Sancho,Pass (Live)
24,65,Casemiro,Manchester Utd,0.15,,Off Target,4.0,Head,,Christian Eriksen,Pass (Dead),Bruno Fernandes,Shot
25,76,Bruno Fernandes,Manchester Utd,0.06,0.3,Saved,17.0,Right Foot,Volley,Alejandro Garnacho,Pass (Live),Antony,Pass (Live)
26,81,Alejandro Garnacho,Manchester Utd,0.05,,Off Target,16.0,Right Foot,,Casemiro,Pass (Live),Christian Eriksen,Pass (Live)
27,84,Kieffer Moore,Bournemouth,0.33,0.29,Saved,13.0,Right Foot,,Dango Ouattara,Pass (Live),Matías Viña,Pass (Live)
28,85,Bruno Fernandes,Manchester Utd,0.08,,Off Target,24.0,Right Foot,,Casemiro,Pass (Live),,
29,90+2,Scott McTominay,Manchester Utd,0.05,0.12,Saved,24.0,Right Foot,,Wout Weghorst,Pass (Live),Alejandro Garnacho,Pass (Live)
30,90+3,Marcos Senesi,Bournemouth,0.02,,Off Target,26.0,Left Foot,Volley,Dango Ouattara,Fouled,Neto,Pass (Live)
