player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,14,1,2,0,610,12,14,15,1.3,1.3,1.0,27,2,379,482,78.6,39,289,14,25,14,379,482,78.6,6424,2514,174,198,87.9,170,198,85.9,26,62,41.9,1,1.0,0.7,10,31,8,2,39,482,433,46,11,2,1,13,19,4,2,1,1,379,3,4,12,5,4,6,2,5,18,27.8,13,15,7,8,14,26,32,0,610,80,232,284,100,19,610,25,14,56.0,10,40.0,289,1206,646,14,8,6,10,12,378,39,2,0,0,11,10,3,13,14,5,0,0,0,57,15,16,48.4
Boubakary Soumaré,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.1,1,0,10,11,90.9,3,7,0,0,0,10,11,90.9,157,93,4,4,100.0,6,6,100.0,0,0,,0,0.1,0.0,1,2,1,1,3,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,1,9,2,0,11,0,0,,0,,7,10,4,0,0,0,0,0,9,0,1,0,0,3,0,0,1,0,0,0,0,0,3,0,0,
Daniel Amartey,0,0,0,0,1,0,0,0,68,0,0,2,0.0,0.0,0.0,1,0,53,58,91.4,0,39,1,0,0,53,58,91.4,905,216,22,24,91.7,28,29,96.6,2,4,50.0,0,0.0,0.0,0,2,0,0,0,58,55,3,2,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0,68,7,33,34,1,1,68,0,0,,0,,39,113,90,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0.0
Daniel Iversen,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,22,36,61.1,0,15,0,0,0,22,36,61.1,516,344,8,8,100.0,9,9,100.0,5,19,26.3,0,0.0,0.0,0,0,0,0,0,36,23,13,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36,26,36,0,0,0,36,0,0,,0,,15,69,33,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Dennis Praet,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,0,2,0,0,0,7,10,70.0,73,22,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,13,1,3,6,4,0,13,0,0,,0,,2,8,6,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Harry Souttar,0,0,0,0,1,0,0,0,79,1,3,1,0.1,0.1,0.0,2,0,57,65,87.7,4,40,1,2,2,57,65,87.7,1051,460,21,22,95.5,31,36,86.1,4,5,80.0,0,0.0,0.0,0,4,0,0,4,65,62,2,2,0,0,0,0,0,0,0,0,57,1,0,1,1,1,0,0,1,1,100.0,0,1,1,0,3,4,8,0,79,14,48,28,3,2,79,2,2,100.0,0,0.0,40,125,68,1,0,1,0,0,51,2,0,0,0,1,1,0,0,3,1,0,0,0,5,6,0,100.0
Harvey Barnes,1,0,0,0,4,1,0,0,42,0,0,1,0.7,0.7,0.2,1,0,19,29,65.5,3,28,6,5,1,19,29,65.5,310,82,9,11,81.8,10,12,83.3,0,1,0.0,0,0.2,0.0,1,2,0,0,3,29,28,0,0,0,0,2,0,0,0,0,0,19,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,42,1,2,17,23,3,42,5,1,20.0,4,80.0,28,224,124,6,4,1,2,0,38,13,0,0,0,1,0,0,2,0,0,0,0,0,3,2,0,100.0
James Maddison,0,1,0,0,1,0,1,0,40,1,0,0,0.0,0.0,0.6,4,1,23,32,71.9,5,20,2,5,2,23,32,71.9,316,111,16,16,100.0,6,8,75.0,1,7,14.3,1,0.6,0.2,3,3,3,0,5,32,25,7,1,2,0,4,1,3,2,1,0,23,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,40,2,6,20,14,0,40,5,2,40.0,3,60.0,20,101,60,2,2,0,1,2,27,3,1,0,0,1,2,1,4,0,0,0,0,0,4,0,1,0.0
Jamie Vardy,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,4,0,1,1,1,5,20.0,23,0,0,2,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,7,0,1,4,2,1,7,1,1,100.0,0,0.0,4,8,5,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
Kelechi Iheanacho,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,0,1,1,100.0,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
