,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,12,Harry Kane,Tottenham,0.08,,Blocked,28.0,Right Foot,Free kick,Son Heung-min,Fouled,Ivan Perišić,Pass (Live)
1,15,Mathias Jensen,Brentford,0.21,,Off Target,15.0,Right Foot,Volley,Bryan Mbeumo,Pass (Live),Ivan Toney,Pass (Live)
2,15,Vitaly Janelt,Brentford,0.89,0.96,Goal,4.0,Left Foot,Volley,Mathias Jensen,Shot,,
3,18,Ethan Pinnock,Brentford,0.07,0.24,Saved,9.0,Head,,Mathias Jensen,Pass (Dead),Ivan Toney,Pass (Live)
4,25,Son Heung-min,Tottenham,0.02,0.28,Saved,31.0,Right Foot,Deflected,Pierre Højbjerg,Pass (Live),,
5,26,Dejan Kulusevski,Tottenham,0.03,0.05,Saved,16.0,Left Foot,,Dejan Kulusevski,Take-On,Matt Doherty,Pass (Live)
6,30,Son Heung-min,Tottenham,0.02,0.43,Saved,30.0,Left Foot,,Eric Dier,Pass (Live),Dejan Kulusevski,Take-On
7,34,Mathias Jørgensen,Brentford,0.04,0.11,Saved,9.0,Right Foot,"Deflected, Volley",,,,
8,38,Clément Lenglet,Tottenham,0.02,,Blocked,25.0,Left Foot,,Pierre Højbjerg,Pass (Live),Yves Bissouma,Pass (Live)
9,45+2,Pierre Højbjerg,Tottenham,0.07,,Blocked,22.0,Right Foot,,Pierre Højbjerg,Pass (Live),Yves Bissouma,Pass (Live)
10,,,,,,,,,,,,,
11,54,Christian Nørgaard,Brentford,0.04,,Blocked,9.0,Head,,Bryan Mbeumo,Pass (Dead),,
12,54,Ivan Toney,Brentford,0.55,0.78,Goal,2.0,Left Foot,,Christian Nørgaard,Shot,,
13,65,Harry Kane,Tottenham,0.04,0.45,Goal,13.0,Head,,Clément Lenglet,Pass (Live),Pierre Højbjerg,Pass (Live)
14,65,Ivan Toney,Brentford,0.07,,Blocked,24.0,Right Foot,,Vitaly Janelt,Pass (Live),Rico Henry,Pass (Live)
15,67,Bryan Mbeumo,Brentford,0.1,,Off Target,14.0,Left Foot,,Rico Henry,Pass (Live),Mathias Jensen,Pass (Live)
16,71,Pierre Højbjerg,Tottenham,0.21,0.49,Goal,12.0,Right Foot,,Matt Doherty,Pass (Live),Dejan Kulusevski,Pass (Live)
17,77,Harry Kane,Tottenham,0.14,,Off Target,9.0,Right Foot,Volley,Matt Doherty,Pass (Live),Ivan Perišić,Pass (Live)
18,79,Matt Doherty,Tottenham,0.18,,Off Target,6.0,Head,,Ivan Perišić,Pass (Live),Eric Dier,Pass (Live)
19,83,Davinson Sánchez,Tottenham,0.02,0.03,Saved,30.0,Right Foot,Volley,Dejan Kulusevski,Pass (Live),Ivan Perišić,Pass (Dead)
20,84,Harry Kane,Tottenham,0.12,0.15,Saved,9.0,Head,,Clément Lenglet,Pass (Live),Pierre Højbjerg,Pass (Live)
21,85,Ivan Toney,Brentford,0.2,,Off Target,6.0,Right Foot,Volley,Mads Roerslev,Pass (Live),Josh Dasilva,Pass (Live)
22,87,Pierre Højbjerg,Tottenham,0.01,,Blocked,31.0,Right Foot,,Yves Bissouma,Pass (Live),Dejan Kulusevski,Pass (Live)
23,90+2,Eric Dier,Tottenham,0.05,,Blocked,12.0,Head,,Pierre Højbjerg,Pass (Live),Matt Doherty,Pass (Live)
24,90+6,Son Heung-min,Tottenham,0.05,0.27,Saved,21.0,Left Foot,,Dejan Kulusevski,Pass (Live),Dejan Kulusevski,Take-On
