player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,2,2,0,0,24,9,1,0,667,20,5,11,3.8,3.8,2.9,41,4,443,557,79.5,40,345,19,17,12,443,557,79.5,8087,2821,203,228,89.0,193,233,82.8,45,86,52.3,2,2.9,1.2,17,28,12,5,40,557,513,41,8,1,2,22,21,7,4,0,0,443,3,7,20,11,7,9,4,10,16,62.5,6,11,0,11,5,25,17,0,667,80,238,252,183,41,667,17,12,70.6,5,29.4,345,1934,1006,19,15,8,17,6,439,40,1,0,0,5,3,3,22,5,11,0,0,0,66,18,19,48.6
Aaron Hickey,0,0,0,0,1,0,1,0,66,1,0,3,0.1,0.1,0.1,2,0,49,55,89.1,4,37,2,4,2,49,55,89.1,911,320,21,23,91.3,21,24,87.5,7,7,100.0,0,0.1,0.0,2,4,0,0,4,55,48,7,1,0,0,0,6,0,0,0,0,49,0,1,1,1,1,0,0,0,0,,0,3,0,3,0,1,2,0,66,2,30,23,14,2,66,4,2,50.0,2,50.0,37,259,127,2,1,1,1,0,40,3,1,0,0,1,0,0,0,0,1,0,0,0,8,0,2,0.0
Ben Mee,0,1,0,0,3,1,0,0,79,1,0,1,0.6,0.6,0.9,4,1,60,71,84.5,4,40,0,0,0,60,71,84.5,1165,526,27,29,93.1,24,28,85.7,9,13,69.2,1,0.9,0.1,2,4,0,0,4,71,70,1,1,0,0,0,0,0,0,0,0,60,0,1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,79,3,38,34,7,5,79,0,0,,0,,40,235,158,0,1,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,33.3
Bryan Mbeumo,1,0,0,0,6,3,0,0,60,2,1,0,0.9,0.9,0.4,6,0,35,48,72.9,4,36,4,4,4,35,48,72.9,560,151,22,23,95.7,8,13,61.5,4,8,50.0,0,0.4,0.1,2,1,2,0,4,48,40,7,2,0,0,6,0,5,2,0,0,35,1,2,2,2,0,1,1,1,3,33.3,2,0,0,0,1,3,1,0,60,1,3,21,39,9,60,4,4,100.0,0,0.0,36,216,124,4,5,3,3,3,43,12,0,0,0,0,0,0,6,1,2,0,0,0,6,0,3,0.0
David Raya,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,34,56,60.7,0,35,0,0,0,34,56,60.7,924,636,5,5,100.0,20,22,90.9,9,29,31.0,0,0.0,0.0,0,0,0,0,0,56,49,7,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,58,50,58,0,0,0,58,0,0,,0,,35,162,69,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Ethan Pinnock,0,0,0,0,0,0,0,0,67,1,2,1,0.0,0.0,0.0,0,0,48,54,88.9,2,34,0,1,1,48,54,88.9,949,176,13,15,86.7,33,36,91.7,2,3,66.7,0,0.0,0.0,0,1,0,0,2,54,54,0,0,0,0,0,0,0,0,0,0,48,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,8,0,67,15,45,20,2,1,67,1,1,100.0,0,0.0,34,167,83,0,0,0,0,0,37,1,0,0,0,0,1,0,0,2,0,0,0,0,11,2,1,66.7
Frank Onyeka,0,0,0,0,1,1,0,0,15,2,1,0,0.1,0.1,0.0,1,0,11,12,91.7,3,9,2,2,2,11,12,91.7,198,44,6,6,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,15,0,2,10,4,1,15,2,2,100.0,0,0.0,9,87,54,2,1,0,0,1,12,1,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,
Josh Dasilva,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,2,9,2,0,0,8,10,80.0,143,48,4,4,100.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,1,0,2,10,10,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,1,2,3,6,1,11,0,0,,0,,9,91,56,2,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kevin Schade,0,0,0,0,2,1,0,0,30,1,0,1,0.1,0.1,0.4,5,0,8,16,50.0,1,11,0,1,1,8,16,50.0,131,50,5,8,62.5,2,7,28.6,1,1,100.0,0,0.4,0.3,2,1,2,2,1,16,16,0,0,1,0,2,0,0,0,0,0,8,0,0,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,30,0,0,12,18,5,30,1,1,100.0,0,0.0,11,72,11,0,1,1,8,0,22,7,0,0,0,0,0,2,2,0,0,0,0,0,0,4,3,57.1
Mads Roerslev,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.2,1,0,6,6,100.0,0,2,0,1,1,6,6,100.0,103,22,3,3,100.0,2,2,100.0,1,1,100.0,0,0.2,0.1,1,1,1,1,0,6,3,3,0,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,9,1,3,2,4,1,9,1,1,100.0,0,0.0,2,17,4,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
