player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,13,5,2,0,521,18,8,7,1.5,1.5,1.3,23,0,309,420,73.6,48,236,17,8,3,309,420,73.6,5469,2222,154,182,84.6,111,146,76.0,36,71,50.7,0,1.3,1.6,10,33,11,1,48,420,374,45,10,0,5,19,23,7,4,2,0,309,1,6,18,14,7,10,1,8,20,40.0,12,7,1,6,8,26,19,1,521,42,143,200,185,28,521,8,3,37.5,5,62.5,236,1379,766,17,11,4,18,7,304,47,2,0,0,8,4,1,19,8,14,0,0,0,60,18,16,52.9
Adam Lallana,0,0,0,0,2,2,0,0,34,1,1,1,0.3,0.3,0.0,3,0,22,26,84.6,2,18,2,1,0,22,26,84.6,267,49,17,19,89.5,4,5,80.0,1,2,50.0,0,0.0,0.0,0,2,1,0,2,26,26,0,0,0,0,0,0,0,0,0,0,22,0,0,1,1,0,1,0,0,2,0.0,2,1,0,1,1,2,0,0,34,0,6,12,16,3,34,1,0,0.0,1,100.0,18,111,73,2,1,1,1,2,30,7,0,0,0,1,0,0,0,1,1,0,0,0,5,0,1,0.0
Adam Webster,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,1,0,27,36,75.0,1,12,0,1,0,27,36,75.0,458,175,12,15,80.0,14,18,77.8,1,3,33.3,0,0.0,0.0,0,2,0,0,1,36,28,8,0,0,0,0,8,0,0,0,0,27,0,0,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,3,0,44,2,9,21,14,1,44,1,0,0.0,1,100.0,12,53,37,0,1,0,1,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,4,5,1,83.3
Alexis Mac Allister,0,0,0,0,2,0,1,0,61,7,0,0,0.0,0.0,0.0,0,0,46,53,86.8,9,39,1,0,0,46,53,86.8,997,329,16,18,88.9,19,21,90.5,11,13,84.6,0,0.0,0.0,0,10,0,0,9,53,51,2,2,0,0,0,0,0,0,0,0,46,0,1,7,5,3,4,0,4,7,57.1,3,0,0,0,0,7,0,0,61,2,13,38,12,0,61,0,0,,0,,39,218,113,1,2,0,0,0,39,1,1,0,0,1,1,0,0,0,5,0,0,0,9,0,0,
Danny Welbeck,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0.0,2,0,8,9,88.9,1,8,0,0,0,8,9,88.9,85,19,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,17,0,0,5,12,4,17,0,0,,0,,8,15,2,0,0,0,3,1,12,2,0,0,0,2,0,0,0,0,1,0,0,0,2,4,4,50.0
Enock Mwepu,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.1,1,0,9,12,75.0,2,8,2,0,0,9,12,75.0,134,31,4,5,80.0,5,6,83.3,0,0,,0,0.1,0.1,1,2,0,0,2,12,12,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,16,0,3,8,5,3,16,0,0,,0,,8,66,31,2,0,0,2,0,10,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0
Joël Veltman,0,0,0,0,1,0,0,0,60,2,1,3,0.1,0.1,0.0,4,0,43,51,84.3,1,19,1,0,0,43,51,84.3,674,331,23,25,92.0,17,20,85.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,51,40,11,0,0,0,0,11,0,0,0,0,43,0,0,2,2,2,0,0,0,1,0.0,1,3,1,2,1,3,5,0,60,5,27,25,9,1,60,0,0,,0,,19,89,59,1,1,0,0,1,24,0,0,0,0,0,0,0,0,1,2,0,0,0,8,2,2,50.0
Kaoru Mitoma,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.5,3,0,6,8,75.0,2,4,1,2,2,6,8,75.0,62,34,6,6,100.0,0,1,0.0,0,0,,0,0.5,0.4,1,0,2,0,2,8,7,1,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,11,0,0,4,7,2,11,2,2,100.0,0,0.0,4,57,25,1,0,1,1,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Leandro Trossard,0,0,0,0,2,1,0,0,42,0,0,1,0.1,0.1,0.0,2,0,21,34,61.8,6,23,5,2,1,21,34,61.8,328,129,12,15,80.0,7,13,53.8,1,2,50.0,0,0.0,0.0,0,2,2,0,6,34,33,1,0,0,0,3,1,0,0,0,0,21,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,42,1,4,14,26,4,42,2,1,50.0,1,50.0,23,168,117,5,1,2,2,1,30,10,0,0,0,3,0,0,3,0,0,0,0,0,7,1,0,100.0
Lewis Dunk,0,0,0,0,0,0,0,0,46,0,2,0,0.0,0.0,0.0,0,0,26,32,81.3,3,15,0,0,0,26,32,81.3,595,247,8,8,100.0,13,16,81.3,5,8,62.5,0,0.0,0.0,0,1,0,0,3,32,30,2,2,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,46,6,25,21,0,0,46,0,0,,0,,15,90,8,0,0,0,1,0,17,0,0,0,0,0,2,0,0,2,0,0,0,0,7,2,2,50.0
