player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,26,10,2,0,701,24,6,12,3.1,3.1,1.2,45,3,500,592,84.5,52,424,29,28,16,500,592,84.5,8037,2853,274,305,89.8,190,211,90.0,28,47,59.6,2,1.2,0.9,17,38,11,2,52,592,547,44,12,3,2,14,17,8,4,3,0,500,1,10,24,13,9,10,5,11,20,55.0,9,12,1,11,6,30,10,0,701,73,187,311,211,38,701,28,16,57.1,11,39.3,424,2712,1369,29,25,9,11,7,495,51,2,0,0,11,11,1,14,6,13,0,0,0,55,8,9,47.1
Adam Webster,0,0,0,0,1,0,0,0,74,0,0,0,0.0,0.0,0.0,1,0,61,69,88.4,5,54,1,0,0,61,69,88.4,1051,431,24,25,96.0,35,37,94.6,1,3,33.3,0,0.0,0.0,0,4,0,0,5,69,68,1,1,0,0,0,0,0,0,0,0,61,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,74,10,33,40,2,1,74,0,0,,0,,54,341,168,1,1,0,0,0,59,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0.0
Alexis Mac Allister,0,0,0,0,5,0,0,0,70,0,1,2,0.6,0.6,0.1,4,0,48,58,82.8,4,40,1,2,2,48,58,82.8,636,200,35,39,89.7,12,15,80.0,1,1,100.0,0,0.1,0.1,2,4,0,0,4,58,57,1,1,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,70,1,14,32,25,5,70,2,2,100.0,0,0.0,40,272,148,1,3,0,3,1,57,4,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,
Danny Welbeck,1,0,0,0,6,2,0,0,31,1,0,3,1.4,1.4,0.1,4,0,16,17,94.1,3,16,0,3,2,16,17,94.1,185,43,12,12,100.0,2,3,66.7,0,0,,0,0.1,0.1,2,0,3,0,3,17,17,0,0,1,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,0,,0,3,0,3,0,1,1,0,31,1,1,10,20,6,31,3,2,66.7,1,33.3,16,63,9,0,0,0,1,3,23,4,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,100.0
Evan Ferguson,0,0,0,0,2,2,0,0,16,0,0,1,0.2,0.2,0.1,2,0,11,13,84.6,2,10,0,0,0,11,13,84.6,172,71,7,8,87.5,3,3,100.0,1,2,50.0,0,0.1,0.0,1,1,1,0,2,13,11,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,16,0,2,4,10,1,16,0,0,,0,,10,47,16,0,0,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Jan Paul van Hecke,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,1,2,50.0,16,10,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joël Veltman,0,0,0,0,0,0,1,0,23,1,0,0,0.0,0.0,0.0,1,0,18,21,85.7,0,14,1,0,0,18,21,85.7,327,58,8,9,88.9,8,9,88.9,2,3,66.7,0,0.0,0.0,0,0,0,0,0,21,16,5,1,0,0,0,4,0,0,0,0,18,0,0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,23,0,9,10,4,0,23,0,0,,0,,14,57,28,1,1,0,0,1,15,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,
Julio Enciso,1,0,0,0,4,3,0,0,40,0,0,1,0.3,0.3,0.2,6,0,18,29,62.1,5,27,6,8,5,18,29,62.1,261,42,11,17,64.7,7,9,77.8,0,1,0.0,0,0.2,0.2,2,2,2,0,5,29,29,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,40,2,4,13,24,5,40,8,5,62.5,3,37.5,27,216,115,6,4,3,1,1,36,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0.0
Kaoru Mitoma,0,0,0,0,2,1,0,0,44,2,0,1,0.2,0.2,0.3,8,0,25,28,89.3,5,33,8,7,2,25,28,89.3,319,142,19,21,90.5,3,3,100.0,1,1,100.0,0,0.3,0.1,3,3,2,0,5,28,28,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,1,0,1,1,1,100.0,0,1,0,1,0,2,1,0,44,0,4,8,32,10,44,7,2,28.6,5,71.4,33,371,204,8,8,5,1,1,32,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,25.0
Lewis Dunk,0,0,0,0,0,0,0,0,97,3,0,1,0.0,0.0,0.0,1,0,82,94,87.2,6,58,1,1,0,82,94,87.2,1389,566,34,40,85.0,44,45,97.8,4,9,44.4,0,0.0,0.0,0,5,0,0,6,94,89,5,4,0,0,0,0,0,0,0,0,82,0,0,3,2,1,1,1,3,3,100.0,0,1,1,0,0,3,1,0,97,16,36,58,3,1,97,1,0,0.0,0,0.0,58,331,200,1,0,0,0,0,67,0,0,0,0,0,2,0,0,0,2,0,0,0,8,1,1,50.0
Moisés Caicedo,0,0,0,0,0,0,0,0,78,9,1,1,0.0,0.0,0.0,6,0,60,65,92.3,6,38,2,1,0,60,65,92.3,838,209,39,40,97.5,15,17,88.2,4,5,80.0,0,0.0,0.0,1,7,0,0,6,65,64,1,1,0,0,0,0,0,0,0,0,60,0,1,9,7,2,5,2,2,3,66.7,1,1,0,1,1,10,0,0,78,2,13,50,16,1,78,1,0,0.0,1,100.0,38,200,118,2,2,0,2,0,56,0,0,0,0,2,2,0,0,1,7,0,0,0,9,1,0,100.0
Pascal Groß,0,1,0,0,1,1,0,0,67,1,0,0,0.1,0.1,0.4,3,1,53,63,84.1,7,42,2,1,1,53,63,84.1,979,280,24,27,88.9,24,26,92.3,4,7,57.1,1,0.4,0.2,2,4,2,2,7,63,53,10,2,0,0,5,6,2,1,1,0,53,0,1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,67,4,13,39,18,3,67,1,1,100.0,0,0.0,42,227,91,2,3,0,0,0,45,4,0,0,0,2,0,0,5,0,1,0,0,0,3,0,0,
Pervis Estupiñán,0,0,0,0,3,1,0,0,70,4,3,1,0.2,0.2,0.0,2,0,44,56,78.6,3,32,0,1,1,44,56,78.6,640,170,28,29,96.6,15,19,78.9,1,2,50.0,0,0.0,0.0,1,2,1,0,3,56,50,6,0,0,0,2,6,0,0,0,0,44,0,4,4,1,3,1,0,2,4,50.0,2,1,0,1,3,7,1,0,70,4,17,31,22,3,70,1,1,100.0,0,0.0,32,146,64,0,0,0,1,0,41,7,0,0,0,2,1,0,2,3,1,0,0,0,6,1,1,50.0
Robert Sánchez,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,1,0,33,33,100.0,0,25,0,0,0,33,33,100.0,633,421,19,19,100.0,9,9,100.0,5,5,100.0,0,0.0,0.0,0,0,0,0,0,33,27,6,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,35,30,35,0,0,0,35,0,0,,0,,25,137,68,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Solly March,0,1,0,0,2,0,0,0,54,3,1,1,0.1,0.1,0.1,6,2,30,44,68.2,6,35,7,4,3,30,44,68.2,591,210,14,18,77.8,12,15,80.0,4,8,50.0,1,0.1,0.1,3,6,0,0,6,44,36,7,0,0,2,7,1,6,3,2,0,30,1,0,3,2,2,1,0,2,4,50.0,2,1,0,1,1,4,1,0,54,2,5,15,35,2,54,4,3,75.0,1,25.0,35,304,140,7,3,1,1,0,30,11,0,0,0,2,2,0,7,1,2,0,0,0,6,1,0,100.0
