player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,2,0,0,591,23,12,9,1.1,1.1,0.7,22,0,366,469,78.0,30,333,22,22,11,366,469,78.0,5766,2260,194,216,89.8,133,159,83.6,27,57,47.4,0,0.7,1.0,7,26,6,3,30,469,417,50,12,2,2,17,17,7,2,3,0,366,2,15,23,15,14,6,3,16,27,59.3,11,9,2,7,12,35,14,0,591,78,213,243,140,20,591,22,11,50.0,9,40.9,333,1891,937,22,13,3,20,17,365,30,0,0,0,7,11,2,17,12,15,0,0,0,54,16,14,53.3
Brenden Aaronson,0,0,0,0,1,0,0,0,33,1,0,0,0.1,0.1,0.0,0,0,17,24,70.8,2,16,2,3,2,17,24,70.8,170,33,14,17,82.4,2,3,66.7,0,2,0.0,0,0.0,0.0,0,3,0,0,2,24,20,4,0,0,0,2,0,2,1,1,0,17,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,33,1,4,18,11,3,33,3,2,66.7,1,33.3,16,189,64,2,2,1,2,1,21,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0.0
Crysencio Summerville,0,0,0,0,1,0,0,0,39,1,1,1,0.1,0.1,0.0,4,0,22,29,75.9,3,26,3,8,4,22,29,75.9,276,95,13,15,86.7,7,9,77.8,0,1,0.0,0,0.0,0.0,0,1,1,0,3,29,26,2,0,0,0,1,1,1,0,0,0,22,1,2,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0,39,1,9,13,17,1,39,8,4,50.0,2,25.0,26,186,106,3,1,1,1,2,28,2,0,0,0,0,5,0,1,1,1,0,0,0,6,0,1,0.0
Georginio Rutter,0,0,0,0,2,0,0,0,28,2,1,1,0.2,0.2,0.1,1,0,4,13,30.8,0,16,1,3,1,4,13,30.8,26,2,3,6,50.0,0,2,0.0,0,0,,0,0.1,0.0,1,0,0,0,0,13,13,0,0,1,0,0,0,0,0,0,0,4,0,2,2,2,1,1,0,0,1,0.0,1,1,0,1,1,3,1,0,28,1,5,11,12,4,28,3,1,33.3,2,66.7,16,93,27,1,0,0,6,3,19,2,0,0,0,0,1,0,0,1,2,0,0,0,2,1,2,33.3
Illan Meslier,0,0,0,0,1,1,0,0,37,0,0,0,0.1,0.1,0.0,0,0,27,35,77.1,0,20,0,0,0,27,35,77.1,538,250,7,7,100.0,16,16,100.0,4,12,33.3,0,0.0,0.0,0,0,0,0,0,35,22,13,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,34,36,0,1,1,37,0,0,,0,,20,105,69,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jack Harrison,0,0,0,0,1,0,0,0,43,1,0,0,0.1,0.1,0.1,6,0,24,33,72.7,1,31,1,1,0,24,33,72.7,351,149,16,20,80.0,5,8,62.5,3,4,75.0,0,0.1,0.1,2,0,3,2,1,33,30,3,2,0,0,5,0,1,0,0,0,24,0,1,1,1,0,1,0,1,4,25.0,3,0,0,0,0,1,1,0,43,3,7,10,26,2,43,1,0,0.0,1,100.0,31,110,52,1,1,0,2,1,31,8,0,0,0,0,3,1,5,0,1,0,0,0,7,0,1,0.0
Junior Firpo,0,0,0,0,0,0,0,0,65,5,2,1,0.0,0.0,0.0,2,0,42,53,79.2,4,34,5,3,2,42,53,79.2,607,220,29,31,93.5,11,14,78.6,2,2,100.0,0,0.0,0.0,0,5,0,0,4,53,46,7,0,0,0,1,7,0,0,0,0,42,0,3,5,2,3,1,1,4,6,66.7,2,1,0,1,2,7,0,0,65,3,22,29,15,0,65,3,2,66.7,1,33.3,34,204,127,5,1,0,1,1,35,4,0,0,0,3,1,0,1,2,2,0,0,0,8,2,0,100.0
Luke Ayling,0,0,0,0,1,0,0,0,59,4,0,0,0.2,0.2,0.3,4,0,38,49,77.6,0,30,1,0,0,38,49,77.6,528,228,23,23,100.0,14,16,87.5,0,7,0.0,0,0.3,0.5,2,1,1,1,0,49,40,9,3,0,1,5,6,0,0,0,0,38,0,2,4,2,3,0,1,2,3,66.7,1,0,0,0,0,4,0,0,59,7,24,20,15,4,59,0,0,,0,,30,84,44,1,0,0,1,0,35,6,0,0,0,0,0,0,5,0,2,0,0,0,2,1,2,33.3
Mateo Joseph,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,2,0,0,0,1,2,50.0,3,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,3,2,1,5,0,0,,0,,2,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maximilian Wöber,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.1,1,0,32,37,86.5,4,24,0,0,0,32,37,86.5,632,223,11,11,100.0,19,20,95.0,2,5,40.0,0,0.1,0.1,1,3,0,0,4,37,37,0,0,0,0,0,0,0,0,0,0,32,0,1,2,2,1,1,0,2,2,100.0,0,1,1,0,2,4,4,0,47,9,25,21,1,1,47,0,0,,0,,24,122,56,0,0,0,0,0,27,0,0,0,0,1,0,0,0,2,2,0,0,0,6,1,3,25.0
Robin Koch,0,0,0,0,1,0,0,0,59,2,2,0,0.1,0.1,0.0,0,0,40,50,80.0,4,34,1,0,0,40,50,80.0,725,412,13,15,86.7,23,25,92.0,4,7,57.1,0,0.0,0.0,0,3,0,0,4,50,50,0,0,0,0,0,0,0,0,0,0,40,0,2,2,1,2,0,0,2,3,66.7,1,0,0,0,2,4,4,0,59,12,38,21,1,1,59,0,0,,0,,34,185,101,1,0,0,0,0,37,0,0,0,0,0,0,0,0,2,1,0,0,0,4,5,1,83.3
Sam Greenwood,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,3,0,4,8,50.0,1,3,1,0,0,4,8,50.0,105,57,1,1,100.0,1,4,25.0,2,3,66.7,0,0.0,0.1,0,0,0,0,1,8,4,4,1,0,0,3,0,3,1,2,0,4,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,11,2,2,2,7,0,11,0,0,,0,,3,34,28,1,1,0,1,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
