player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
17 Players,0,0,0,0,17,4,3,0,678,17,8,14,1.6,1.6,1.2,27,0,469,562,83.5,56,483,27,43,17,469,562,83.5,8213,3041,216,236,91.5,204,233,87.6,43,66,65.2,0,1.2,1.2,12,35,13,2,56,562,488,71,25,1,3,20,30,8,0,6,0,469,3,10,17,13,10,4,3,8,17,47.1,9,14,1,13,8,25,5,1,678,56,222,280,181,26,678,43,17,39.5,19,44.2,483,2268,1267,27,18,6,17,12,467,54,3,0,0,16,25,3,20,8,13,0,0,0,51,13,12,52.0
Ben Chilwell,0,0,0,0,1,0,0,0,66,1,2,0,0.0,0.0,0.0,1,0,42,59,71.2,4,37,3,1,0,42,59,71.2,624,287,25,25,100.0,15,21,71.4,2,8,25.0,0,0.0,0.0,0,2,0,0,4,59,37,20,5,0,0,6,12,3,0,2,0,42,2,2,1,0,0,1,0,1,1,100.0,0,0,0,0,2,3,1,0,66,1,19,26,21,1,66,1,0,0.0,0,0.0,37,157,109,3,2,1,1,0,37,9,0,0,0,1,4,0,6,2,0,0,0,0,2,1,1,50.0
Benoît Badiashile,0,0,0,0,0,0,0,0,83,3,1,0,0.0,0.0,0.1,3,0,69,76,90.8,10,58,2,1,0,69,76,90.8,1354,577,22,23,95.7,40,43,93.0,7,8,87.5,0,0.1,0.1,1,3,2,0,10,76,71,4,3,0,1,0,1,0,0,0,0,69,1,0,3,3,2,1,0,2,2,100.0,0,0,0,0,1,4,1,1,83,9,50,31,3,1,83,1,0,0.0,1,100.0,58,239,156,2,0,0,1,0,57,0,0,0,0,1,1,0,0,1,3,0,0,0,8,5,4,55.6
Conor Gallagher,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,1,0,6,7,85.7,0,6,1,1,1,6,7,85.7,101,21,2,2,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,7,5,2,0,0,0,1,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,2,3,4,1,9,1,1,100.0,0,0.0,6,23,7,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
César Azpilicueta,0,0,0,0,2,0,0,0,55,3,1,1,0.1,0.1,0.2,1,0,39,46,84.8,5,33,2,0,0,39,46,84.8,599,188,21,23,91.3,17,18,94.4,1,4,25.0,0,0.2,0.2,1,5,2,1,5,46,37,9,3,0,0,1,6,0,0,0,0,39,0,0,3,2,2,0,1,2,2,100.0,0,1,0,1,1,4,1,0,55,2,15,22,18,4,55,0,0,,0,,33,135,92,2,2,0,1,0,33,5,0,0,0,1,1,1,1,1,2,0,0,0,2,1,0,100.0
David Datro Fofana,0,0,0,0,2,1,0,0,18,1,0,1,0.0,0.0,0.1,3,0,3,4,75.0,1,18,2,4,3,3,4,75.0,44,23,1,2,50.0,2,2,100.0,0,0,,0,0.1,0.1,2,0,1,0,1,4,4,0,0,1,0,1,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,18,0,0,7,12,2,18,4,3,75.0,0,0.0,18,88,34,2,2,1,6,3,15,5,0,0,0,1,3,1,1,0,1,0,0,0,5,0,0,
Enzo Fernández,0,0,0,0,0,0,0,0,77,4,2,2,0.0,0.0,0.0,0,0,62,67,92.5,9,59,2,4,2,62,67,92.5,1138,347,29,30,96.7,25,27,92.6,8,9,88.9,0,0.0,0.1,0,6,1,0,9,67,61,6,5,0,1,0,1,0,0,0,0,62,0,1,4,3,3,0,1,2,5,40.0,3,2,0,2,2,6,0,0,77,4,25,46,7,1,77,4,2,50.0,2,50.0,59,270,126,2,0,0,2,1,56,1,0,0,0,2,4,0,0,2,3,0,0,0,8,0,1,0.0
João Félix,0,0,0,0,3,1,0,0,44,1,0,1,0.3,0.3,0.0,0,0,24,32,75.0,4,27,4,8,2,24,32,75.0,345,142,16,18,88.9,5,7,71.4,2,6,33.3,0,0.0,0.0,1,4,2,0,4,32,24,8,2,0,0,4,0,4,0,3,0,24,0,0,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,44,0,3,20,22,2,44,8,2,25.0,5,62.5,27,179,84,4,4,0,2,0,27,2,0,0,0,5,2,0,4,0,1,0,0,0,5,0,1,0.0
Kai Havertz,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.6,3,0,14,19,73.7,3,16,1,3,2,14,19,73.7,163,52,9,11,81.8,3,3,100.0,0,0,,0,0.6,0.7,3,0,2,1,3,19,19,0,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,21,1,1,5,15,3,21,3,2,66.7,1,33.3,16,61,41,1,0,1,0,0,17,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,50.0
Kalidou Koulibaly,0,0,0,0,0,0,1,0,33,1,0,1,0.0,0.0,0.0,0,0,28,31,90.3,4,28,0,0,0,28,31,90.3,548,237,13,14,92.9,12,13,92.3,3,4,75.0,0,0.0,0.0,0,3,0,0,4,31,31,0,0,0,0,0,0,0,0,0,0,28,0,1,1,1,1,0,0,0,1,0.0,1,1,1,0,0,1,0,0,33,5,16,16,1,0,33,0,0,,0,,28,103,75,0,0,0,0,0,28,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Kepa Arrizabalaga,0,0,0,0,0,0,1,0,43,0,0,0,0.0,0.0,0.0,0,0,40,41,97.6,0,29,0,0,0,40,41,97.6,787,438,12,12,100.0,23,23,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,41,32,9,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,43,30,41,2,0,0,43,0,0,,0,,29,117,81,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
