player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,3,0,0,20,7,2,0,738,26,8,12,1.9,1.9,1.7,36,6,547,634,86.3,54,527,23,11,4,547,634,86.3,8368,2777,308,330,93.3,208,232,89.7,26,49,53.1,3,1.7,1.6,17,46,20,8,54,634,592,39,8,4,3,16,20,4,2,2,0,547,3,8,26,15,13,10,3,10,19,52.6,9,12,1,11,8,34,14,0,738,59,204,327,214,41,738,11,4,36.4,4,36.4,527,2526,1302,23,15,7,12,9,544,53,2,0,0,8,7,3,16,8,15,0,0,0,55,9,13,40.9
Armando Broja,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,3,1,0,0,1,2,50.0,9,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,1,3,0,0,,0,,3,15,14,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Carney Chukwuemeka,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,1,2,1,0,0,1,1,100.0,29,10,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,2,41,40,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Christian Pulisic,1,0,0,0,4,2,0,0,43,1,0,1,0.5,0.5,0.1,4,1,28,33,84.8,3,33,4,1,0,28,33,84.8,341,64,21,25,84.0,7,7,100.0,0,0,,0,0.1,0.0,1,4,0,0,3,33,33,0,0,0,0,1,0,0,0,0,0,28,0,1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,43,0,3,16,24,6,43,1,0,0.0,1,100.0,33,231,123,4,2,3,2,0,34,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Conor Gallagher,0,0,0,0,2,0,0,0,68,5,2,1,0.1,0.1,0.4,5,0,44,56,78.6,8,45,3,1,0,44,56,78.6,584,179,31,33,93.9,11,16,68.8,2,5,40.0,0,0.4,0.4,3,1,4,2,8,56,51,5,0,0,0,7,1,4,2,2,0,44,0,1,5,4,1,2,2,0,0,,0,1,0,1,2,7,2,0,68,5,15,22,34,5,68,1,0,0.0,1,100.0,45,253,96,3,3,1,0,2,47,5,0,0,0,2,1,0,7,2,4,0,0,0,10,0,1,0.0
César Azpilicueta,0,0,0,0,1,0,1,0,97,2,2,3,0.1,0.1,0.3,5,0,65,84,77.4,7,57,1,0,0,65,84,77.4,888,333,41,44,93.2,24,32,75.0,0,6,0.0,0,0.3,0.2,3,1,7,2,7,84,74,10,3,0,0,2,7,0,0,0,0,65,0,0,2,2,0,1,1,1,1,100.0,0,3,0,3,2,4,2,0,97,5,22,33,42,7,97,0,0,,0,,57,243,169,1,3,0,0,2,64,15,1,0,0,2,1,0,2,2,2,0,0,0,4,2,2,50.0
Hakim Ziyech,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jorginho,0,0,0,0,1,1,1,0,70,4,1,2,0.0,0.0,0.0,1,1,54,58,93.1,6,52,1,1,1,54,58,93.1,768,226,31,32,96.9,19,21,90.5,3,3,100.0,0,0.0,0.0,0,7,0,0,6,58,58,0,0,0,0,0,0,0,0,0,0,54,0,0,4,2,2,2,0,1,3,33.3,2,2,0,2,1,5,0,0,70,1,15,42,13,0,70,1,1,100.0,0,0.0,52,194,85,1,3,0,3,1,52,1,1,0,0,1,2,0,0,1,2,0,0,0,12,0,0,
Kai Havertz,1,0,0,0,4,2,0,0,33,1,0,0,0.7,0.7,0.0,2,0,18,22,81.8,2,23,2,1,0,18,22,81.8,215,64,13,16,81.3,2,2,100.0,1,1,100.0,0,0.0,0.1,0,2,0,0,2,22,22,0,0,0,0,0,0,0,0,0,0,18,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,33,0,2,12,20,9,33,1,0,0.0,1,100.0,23,108,54,2,2,1,5,1,28,11,0,0,0,1,0,3,0,0,0,0,0,0,3,1,3,25.0
Kalidou Koulibaly,0,0,0,0,1,0,0,0,90,5,1,1,0.1,0.1,0.0,3,0,72,80,90.0,3,73,0,0,0,72,80,90.0,1234,375,32,33,97.0,37,40,92.5,3,7,42.9,0,0.0,0.0,1,4,0,0,3,80,79,1,1,0,1,0,0,0,0,0,0,72,0,0,5,4,3,2,0,3,3,100.0,0,1,0,1,1,6,4,0,90,11,38,52,2,1,90,0,0,,0,,73,323,150,0,0,0,0,0,69,0,0,0,0,0,0,0,0,1,4,0,0,0,8,4,1,80.0
