player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,15,4,2,0,531,20,12,6,1.7,1.7,1.1,27,0,311,414,75.1,35,302,14,31,23,311,414,75.1,5934,2460,138,157,87.9,125,152,82.2,41,80,51.3,0,1.1,1.6,10,34,11,4,35,414,364,49,10,4,2,35,23,5,4,1,0,311,1,11,20,10,7,9,4,7,18,38.9,11,6,0,6,12,32,15,0,531,42,126,218,195,37,531,31,23,74.2,8,25.8,302,1386,621,14,9,7,18,8,307,35,2,0,0,12,10,1,35,12,10,0,1,0,59,17,18,48.6
Abdoulaye Doucouré,0,0,0,0,2,0,1,0,41,1,2,0,0.2,0.2,0.2,4,0,23,30,76.7,3,25,2,9,8,23,30,76.7,296,77,12,15,80.0,10,12,83.3,0,0,,0,0.2,0.2,1,1,2,0,3,30,30,0,0,0,0,2,0,0,0,0,0,23,0,1,1,0,0,1,0,0,3,0.0,3,0,0,0,2,3,0,0,41,0,5,17,21,5,41,9,8,88.9,1,11.1,25,124,50,2,1,2,2,2,25,4,1,0,0,2,0,0,2,2,0,0,0,0,7,1,2,33.3
Alex Iwobi,0,0,0,0,2,1,0,0,39,2,0,1,0.3,0.3,0.2,4,0,19,28,67.9,6,19,2,3,2,19,28,67.9,458,219,5,7,71.4,8,10,80.0,6,8,75.0,0,0.2,0.4,2,3,3,0,6,28,24,4,0,2,1,6,1,3,2,1,0,19,0,3,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,1,0,39,1,4,17,19,3,39,3,2,66.7,1,33.3,19,113,65,2,2,0,1,0,22,3,0,0,0,1,0,0,6,0,2,0,0,0,6,0,1,0.0
Amadou Onana,0,0,0,0,1,1,1,0,40,1,1,0,0.2,0.2,0.0,2,0,25,28,89.3,1,21,0,1,0,25,28,89.3,310,61,18,18,100.0,6,7,85.7,0,0,,0,0.0,0.0,0,2,0,0,1,28,28,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,40,0,5,18,17,4,40,1,0,0.0,1,100.0,21,62,17,0,0,0,4,0,29,3,1,0,0,1,2,1,0,1,1,0,0,0,6,4,1,80.0
Conor Coady,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.0,0,0,46,50,92.0,2,43,0,0,0,46,50,92.0,1055,394,13,13,100.0,25,26,96.2,8,11,72.7,0,0.0,0.0,0,7,0,0,2,50,50,0,0,0,1,0,0,0,0,0,0,46,0,0,2,1,0,2,0,0,2,0.0,2,1,0,1,0,2,3,0,55,4,19,33,3,0,55,0,0,,0,,43,136,62,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,7,2,1,66.7
Demarai Gray,0,0,0,0,2,1,0,0,18,0,0,1,0.1,0.1,0.0,0,0,8,13,61.5,0,9,2,3,2,8,13,61.5,82,5,7,7,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,13,10,3,0,0,0,5,1,1,1,0,0,8,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,18,0,0,2,16,3,18,3,2,66.7,1,33.3,9,78,36,2,1,2,1,1,12,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,
Dwight McNeil,0,0,0,0,2,0,0,0,56,2,1,1,0.1,0.1,0.5,8,0,26,43,60.5,2,42,3,7,6,26,43,60.5,444,163,11,15,73.3,10,15,66.7,3,7,42.9,0,0.5,0.4,4,3,2,2,2,43,39,4,2,1,0,13,1,1,1,0,0,26,0,2,2,1,0,0,2,0,2,0.0,2,1,0,1,1,3,0,0,56,0,3,14,42,5,56,7,6,85.7,1,14.3,42,237,64,3,1,1,4,4,41,16,0,0,0,2,1,0,13,1,1,0,0,0,7,0,0,
Ellis Simms,0,0,0,0,1,0,0,0,4,0,0,0,0.2,0.2,0.0,0,0,2,3,66.7,1,2,0,0,0,2,3,66.7,40,23,1,2,50.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,3,1,1,4,0,0,,0,,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
Idrissa Gana Gueye,0,0,0,0,0,0,0,0,43,6,3,0,0.0,0.0,0.0,1,0,25,28,89.3,2,26,0,0,0,25,28,89.3,397,124,13,13,100.0,9,11,81.8,2,3,66.7,0,0.0,0.0,0,4,0,0,2,28,27,1,1,0,0,2,0,0,0,0,0,25,0,0,6,3,1,4,1,2,4,50.0,2,0,0,0,3,9,2,0,43,2,7,21,15,1,43,0,0,,0,,26,81,8,0,0,0,0,0,20,0,0,0,0,3,4,0,2,3,3,0,1,0,7,0,1,0.0
James Tarkowski,0,0,0,0,2,0,0,0,54,1,2,0,0.1,0.1,0.0,0,0,31,44,70.5,6,23,1,0,0,31,44,70.5,710,278,10,12,83.3,14,18,77.8,7,12,58.3,0,0.0,0.2,0,5,0,0,6,44,40,3,3,1,0,0,0,0,0,0,0,31,1,1,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,4,0,54,5,19,32,3,3,54,0,0,,0,,23,97,44,1,0,0,1,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,6,7,2,77.8
