player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,15,4,2,0,594,23,10,16,1.5,1.5,1.5,26,2,333,464,71.8,43,312,13,31,16,333,464,71.8,6038,2666,150,177,84.7,133,162,82.1,38,92,41.3,1,1.5,1.1,13,32,6,3,43,464,409,54,6,1,1,26,32,6,6,0,0,333,1,13,23,13,13,8,2,13,23,56.5,10,16,4,12,10,33,18,0,594,57,193,241,166,24,594,31,16,51.6,13,41.9,312,1673,811,13,15,5,14,11,330,43,2,0,0,8,6,1,26,10,13,0,0,0,69,18,20,47.4
Abdoulaye Doucouré,0,0,0,0,0,0,1,0,53,4,2,2,0.0,0.0,0.1,3,0,37,42,88.1,8,30,3,3,2,37,42,88.1,516,145,20,20,100.0,14,16,87.5,1,2,50.0,0,0.1,0.1,2,2,0,0,8,42,42,0,0,1,0,0,0,0,0,0,0,37,0,2,4,2,2,1,1,3,3,100.0,0,2,0,2,2,6,1,0,53,1,13,23,19,2,53,3,2,66.7,1,33.3,30,201,98,3,5,2,0,1,30,4,1,0,0,0,0,0,0,2,2,0,0,0,9,0,2,0.0
Alex Iwobi,0,1,0,0,0,0,0,0,61,6,1,0,0.0,0.0,0.3,4,1,30,44,68.2,9,37,0,7,3,30,44,68.2,593,311,14,18,77.8,10,12,83.3,6,10,60.0,1,0.3,0.1,3,7,3,1,9,44,39,4,0,0,0,6,2,2,2,0,0,30,1,3,6,4,4,2,0,5,6,83.3,1,0,0,0,1,7,0,0,61,0,10,25,28,0,61,7,3,42.9,3,42.9,37,160,71,0,3,0,2,1,35,3,0,0,0,0,1,0,6,1,4,0,0,0,10,0,0,
Amadou Onana,0,0,0,0,3,0,0,0,39,2,0,0,0.3,0.3,0.0,1,0,22,27,81.5,2,18,0,1,0,22,27,81.5,311,33,15,16,93.8,5,5,100.0,1,2,50.0,0,0.0,0.0,1,0,1,0,2,27,27,0,0,0,0,0,0,0,0,0,0,22,0,0,2,1,0,2,0,0,2,0.0,2,0,0,0,0,2,2,0,39,2,7,17,15,2,39,1,0,0.0,1,100.0,18,71,6,0,1,0,2,2,30,6,0,0,0,0,0,0,0,0,1,0,0,0,4,4,3,57.1
Conor Coady,0,0,0,0,1,0,0,0,50,1,1,0,0.2,0.2,0.0,2,0,34,44,77.3,1,29,0,0,0,34,44,77.3,706,327,5,5,100.0,21,24,87.5,6,13,46.2,0,0.0,0.0,0,1,0,0,1,44,43,1,1,0,0,0,0,0,0,0,0,34,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,50,8,30,19,1,1,50,0,0,,0,,29,137,81,0,0,0,0,0,31,0,0,0,0,2,0,0,0,1,0,0,0,0,6,1,2,33.3
Dwight McNeil,0,0,0,0,2,0,1,0,62,1,1,5,0.1,0.1,0.5,5,0,23,44,52.3,6,39,6,6,3,23,44,52.3,470,186,11,12,91.7,8,13,61.5,4,15,26.7,0,0.5,0.5,3,6,0,0,6,44,37,7,3,0,0,15,0,4,4,0,0,23,0,4,1,1,1,0,0,0,1,0.0,1,5,0,5,1,2,0,0,62,1,6,22,36,5,62,6,3,50.0,3,50.0,39,246,101,6,5,0,2,3,36,12,1,0,0,3,1,0,15,1,1,0,0,0,8,0,0,
Ellis Simms,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,6,0,1,1,5,8,62.5,79,15,3,4,75.0,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,6,4,0,10,1,1,100.0,0,0.0,6,46,1,0,1,0,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Idrissa Gana Gueye,0,0,0,0,1,0,0,0,60,3,2,3,0.0,0.0,0.1,3,1,32,43,74.4,3,28,1,5,3,32,43,74.4,560,141,17,22,77.3,12,14,85.7,3,6,50.0,0,0.1,0.0,1,3,0,0,3,43,43,0,0,0,0,0,0,0,0,0,0,32,0,1,3,1,2,1,0,1,3,33.3,2,3,0,3,2,5,1,0,60,3,21,33,6,1,60,5,3,60.0,1,20.0,28,151,70,1,0,1,2,1,28,1,0,0,0,1,3,0,0,2,1,0,0,0,7,2,2,50.0
James Tarkowski,0,0,0,0,2,1,0,0,56,0,1,4,0.3,0.3,0.3,3,0,33,45,73.3,6,27,0,1,1,33,45,73.3,725,337,11,13,84.6,14,18,77.8,8,14,57.1,0,0.3,0.3,2,5,0,0,6,45,44,1,0,0,1,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,0,4,3,1,1,1,4,0,56,7,26,26,4,4,56,1,1,100.0,0,0.0,27,169,88,0,0,0,0,0,30,0,0,0,0,1,0,0,0,1,0,0,0,0,6,3,2,60.0
Jordan Pickford,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,38,65.8,0,24,0,0,0,25,38,65.8,808,635,4,4,100.0,12,13,92.3,8,20,40.0,0,0.0,0.0,0,4,0,0,0,38,27,11,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,25,38,0,0,0,38,0,0,,0,,24,194,165,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
