,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Alex Iwobi,Everton,0.07,0.41,Goal,26.0,Right Foot,,,,,
1,8,Christian Eriksen,Manchester Utd,0.06,,Blocked,20.0,Left Foot,,Christian Eriksen,Take-On,Antony,Pass (Live)
2,9,Diogo Dalot,Manchester Utd,0.07,,Blocked,16.0,Right Foot,,Diogo Dalot,Take-On,Antony,Pass (Live)
3,15,Antony,Manchester Utd,0.38,0.97,Goal,15.0,Left Foot,,Anthony Martial,Pass (Live),Bruno Fernandes,Pass (Live)
4,20,Christian Eriksen,Manchester Utd,0.04,0.34,Saved,24.0,Left Foot,,,,,
5,20,Antony,Manchester Utd,0.03,,Blocked,24.0,Left Foot,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Dead)
6,41,Cristiano Ronaldo,Manchester Utd,0.05,0.43,Saved,24.0,Left Foot,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Live)
7,42,Casemiro,Manchester Utd,0.29,,Off Target,9.0,Head,,Marcus Rashford,Pass (Live),Casemiro,Pass (Live)
8,44,Cristiano Ronaldo,Manchester Utd,0.21,0.35,Goal,15.0,Left Foot,,Casemiro,Pass (Live),,
9,,,,,,,,,,,,,
10,53,Casemiro,Manchester Utd,0.02,,Off Target,29.0,Right Foot,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Dead)
11,58,Cristiano Ronaldo,Manchester Utd,0.15,,Off Target,10.0,Head,,Casemiro,Pass (Live),Antony,Pass (Live)
12,62,Séamus Coleman,Everton,0.12,,Off Target,11.0,Left Foot,Volley,Alex Iwobi,Pass (Live),Vitaliy Mykolenko,Pass (Live)
13,68,Amadou Onana,Everton,0.02,,Blocked,31.0,Right Foot,,,,,
14,68,Demarai Gray,Everton,0.03,,Blocked,18.0,Left Foot,,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live)
15,70,Amadou Onana,Everton,0.06,,Off Target,9.0,Head,,Demarai Gray,Pass (Dead),Dwight McNeil,Pass (Live)
16,74,Christian Eriksen,Manchester Utd,0.08,,Off Target,20.0,Left Foot,,Cristiano Ronaldo,Pass (Live),Antony,Pass (Live)
17,75,Marcus Rashford,Manchester Utd,0.07,,Off Target,20.0,Right Foot,,Antony,Pass (Live),Cristiano Ronaldo,Pass (Live)
18,90,Amadou Onana,Everton,0.11,,Off Target,10.0,Head,,Demarai Gray,Pass (Live),Dwight McNeil,Pass (Live)
19,90+1,James Garner,Everton,0.02,0.1,Saved,27.0,Right Foot,,Conor Coady,Pass (Live),Conor Coady,Pass (Live)
20,90+2,Dominic Calvert-Lewin,Everton,0.12,,Blocked,6.0,Head,,Dwight McNeil,Pass (Dead),James Garner,Shot
21,90+3,Alex Iwobi,Everton,0.04,,Blocked,26.0,Left Foot,,Jordan Pickford,Pass (Dead),,Fouled
22,90+4,James Tarkowski,Everton,0.03,,Blocked,10.0,Head,,Vitaliy Mykolenko,Pass (Live),Dwight McNeil,Pass (Live)
23,90+5,James Garner,Everton,0.04,,Blocked,18.0,Right Foot,Volley,Demarai Gray,Pass (Live),Vitaliy Mykolenko,Pass (Live)
