,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,14,Marc Roca,Leeds United,0.03,,Off Target,27.0,Left Foot,Volley,Rodrigo,Fouled,,
1,17,Marc Roca,Leeds United,0.06,0.24,Saved,24.0,Left Foot,Free kick,Crysencio Summerville,Fouled,Robin Koch,Pass (Live)
2,20,Harry Wilson,Fulham,0.06,,Blocked,17.0,Left Foot,,Willian,Take-On,Tosin Adarabioyo,Pass (Live)
3,20,Andreas Pereira,Fulham,0.02,0.06,Saved,24.0,Left Foot,,João Palhinha,Pass (Live),Harry Wilson,Shot
4,23,Rodrigo,Leeds United,0.14,,Blocked,7.0,Left Foot,,Brenden Aaronson,Pass (Live),Rasmus Kristensen,Pass (Live)
5,27,Tosin Adarabioyo,Fulham,0.04,,Off Target,68.0,Right Foot,Free kick,Harry Wilson,Fouled,,
6,33,Andreas Pereira,Fulham,0.04,,Off Target,24.0,Right Foot,,Harry Wilson,Pass (Live),Tosin Adarabioyo,Pass (Live)
7,34,Willian,Fulham,0.08,,Blocked,19.0,Right Foot,,Andreas Pereira,Pass (Live),Bobby Reid,Pass (Live)
8,34,João Palhinha,Fulham,0.04,,Blocked,27.0,Right Foot,,Willian,Shot,,
9,40,Andreas Pereira,Fulham,0.11,0.03,Saved,28.0,Right Foot,,Kenny Tete,Pass (Live),Kenny Tete,Tackle
10,,,,,,,,,,,,,
11,49,Willian,Fulham,0.04,,Blocked,21.0,Right Foot,,Willian,Take-On,Kenny Tete,Pass (Dead)
12,58,Harry Wilson,Fulham,0.15,0.43,Goal,10.0,Left Foot,Volley,Antonee Robinson,Pass (Live),Antonee Robinson,Take-On
13,60,Crysencio Summerville,Leeds United,0.04,,Off Target,15.0,Right Foot,,Marc Roca,Pass (Dead),,
14,61,Jack Harrison,Leeds United,0.05,,Blocked,16.0,Right Foot,,Brenden Aaronson,Pass (Live),Marc Roca,Pass (Live)
15,64,Andreas Pereira,Fulham,0.07,,Woodwork,23.0,Right Foot,Free kick,Harry Wilson,Fouled,Harrison Reed,Pass (Live)
16,72,Andreas Pereira,Fulham,0.96,0.93,Goal,3.0,Right Foot,,Andreas Pereira,Pass (Live),Harry Wilson,Pass (Live)
17,77,Marc Roca,Leeds United,0.04,0.09,Saved,27.0,Left Foot,,Jack Harrison,Pass (Live),Jack Harrison,Take-On
18,79,Luis Sinisterra,Leeds United,0.23,,Blocked,6.0,Right Foot,,Liam Cooper,Pass (Live),Crysencio Summerville,Pass (Live)
19,79,Patrick Bamford,Leeds United,0.27,,Off Target,5.0,Left Foot,,Luis Sinisterra,Shot,,
20,83,Willian,Fulham,0.06,0.34,Saved,28.0,Right Foot,Free kick,Harry Wilson,Fouled,Harrison Reed,Pass (Live)
21,90+10,Liam Cooper,Leeds United,0.02,,Blocked,15.0,Head,,Marc Roca,Pass (Dead),Liam Cooper,Pass (Live)
22,90+10,Wilfried Gnonto,Leeds United,0.02,,Off Target,24.0,Right Foot,Volley,Liam Cooper,Shot,,
