player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,2,1,2,16,7,3,0,535,14,13,17,3.2,1.2,0.7,30,5,316,419,75.4,38,304,23,32,17,316,419,75.4,5214,1751,149,165,90.3,126,155,81.3,29,67,43.3,2,0.7,0.7,10,22,4,1,38,419,368,47,10,3,5,14,17,7,2,3,0,316,4,13,14,8,6,7,1,6,10,60.0,4,17,4,13,13,27,5,0,535,53,179,227,137,20,533,32,17,53.1,12,37.5,304,1893,984,23,16,7,13,10,315,38,3,0,0,15,11,4,14,13,8,2,0,0,57,9,16,36.0
Boubakary Soumaré,0,0,0,0,0,0,1,0,41,1,2,2,0.0,0.0,0.0,2,0,25,32,78.1,3,23,1,2,2,25,32,78.1,393,111,11,13,84.6,9,9,100.0,2,2,100.0,0,0.0,0.0,1,3,0,0,3,32,32,0,0,0,0,0,0,0,0,0,0,25,0,4,1,0,0,1,0,0,0,,0,2,1,1,2,3,0,0,41,1,10,23,9,1,41,2,2,100.0,0,0.0,23,199,63,1,1,0,1,1,28,0,1,0,0,2,0,0,0,2,0,0,0,0,5,0,1,0.0
Daniel Iversen,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,15,23,65.2,0,14,0,0,0,15,23,65.2,262,143,7,7,100.0,7,7,100.0,1,9,11.1,0,0.0,0.0,0,0,0,0,0,23,15,8,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,22,23,1,0,0,24,0,0,,0,,14,66,32,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dennis Praet,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,0,10,14,71.4,1,11,1,2,1,10,14,71.4,140,33,5,7,71.4,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,18,0,3,9,7,0,18,2,1,50.0,1,50.0,11,31,18,1,1,0,0,2,13,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Harvey Barnes,2,0,0,0,3,3,1,0,29,0,1,1,0.3,0.3,0.0,1,0,9,16,56.3,3,19,2,3,1,9,16,56.3,148,30,3,4,75.0,6,9,66.7,0,0,,0,0.0,0.0,0,0,0,0,3,16,16,0,0,0,0,2,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,29,0,6,5,19,5,29,3,1,33.3,2,66.7,19,186,91,2,1,2,1,1,20,5,1,0,0,3,2,1,2,1,0,0,0,0,2,0,1,0.0
James Maddison,1,1,1,1,5,1,1,0,56,2,0,3,1.5,0.2,0.3,11,2,22,34,64.7,6,36,8,11,5,22,34,64.7,453,101,7,10,70.0,9,13,69.2,5,8,62.5,1,0.3,0.2,5,2,0,0,6,34,29,5,1,2,1,6,0,4,2,0,0,22,0,2,2,1,2,0,0,2,3,66.7,1,3,0,3,0,2,0,0,56,0,3,15,39,7,55,11,5,45.5,5,45.5,36,332,214,8,6,2,1,1,36,10,1,0,0,1,4,0,6,0,1,1,0,0,1,0,0,
Jamie Vardy,0,0,0,1,2,2,0,0,17,0,0,0,1.1,0.3,0.0,3,0,5,11,45.5,0,7,1,3,2,5,11,45.5,73,5,2,4,50.0,3,6,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,8,2,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,0,8,10,3,16,3,2,66.7,0,0.0,7,38,25,1,1,1,1,0,8,4,0,0,0,0,1,3,0,0,0,1,0,0,3,1,1,50.0
Kiernan Dewsbury-Hall,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,4,10,0,2,2,11,12,91.7,128,54,6,6,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,4,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,1,5,7,3,0,15,2,2,100.0,0,0.0,10,49,21,0,0,0,1,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
Luke Thomas,0,0,0,0,0,0,0,0,17,1,2,1,0.0,0.0,0.0,0,0,13,14,92.9,1,10,0,1,0,13,14,92.9,265,85,7,7,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,14,12,2,0,0,0,1,2,0,0,0,0,13,0,1,1,1,1,0,0,0,0,,0,1,0,1,2,3,0,0,17,0,7,5,5,0,17,1,0,0.0,1,100.0,10,30,2,0,0,0,0,1,8,4,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,0.0
Patson Daka,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,1,2,2,100.0,0,3,0,0,0,2,2,100.0,52,6,1,1,100.0,0,0,,1,1,100.0,1,0.2,0.4,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,0,3,1,1,4,0,0,,0,,3,6,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
