player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,16,3,1,0,847,17,5,8,0.7,0.7,0.5,32,0,613,735,83.4,72,592,22,13,3,613,735,83.4,10026,2899,282,317,89.0,260,297,87.5,42,81,51.9,0,0.5,1.0,12,58,13,3,72,735,677,58,14,1,6,47,24,11,2,6,0,613,0,9,17,9,7,6,4,11,13,84.6,2,8,0,8,5,22,27,1,847,70,181,376,294,39,847,13,3,23.1,8,61.5,592,2909,1574,22,13,3,14,9,610,72,1,0,0,10,10,0,47,5,9,0,0,1,39,15,24,38.5
Andreas Pereira,0,0,0,0,6,2,0,0,79,0,0,0,0.3,0.3,0.0,6,0,46,64,71.9,6,50,2,2,0,46,64,71.9,737,124,25,27,92.6,15,20,75.0,4,13,30.8,0,0.0,0.1,0,3,2,0,6,64,52,12,4,0,1,12,0,8,2,4,0,46,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,79,1,8,22,49,5,79,2,0,0.0,2,100.0,50,257,70,2,1,0,1,2,57,11,0,0,0,1,0,0,12,0,0,0,0,0,3,0,0,
Antonee Robinson,0,0,0,0,1,0,0,0,97,5,0,1,0.0,0.0,0.0,3,0,61,82,74.4,5,61,2,2,1,61,82,74.4,971,332,30,36,83.3,24,32,75.0,5,9,55.6,0,0.0,0.1,1,5,2,1,5,82,69,13,1,0,0,12,12,0,0,0,0,61,0,4,5,2,3,1,1,5,5,100.0,0,1,0,1,0,5,5,0,97,5,15,35,47,4,97,2,1,50.0,1,50.0,61,230,98,2,1,0,1,0,64,15,0,0,0,0,2,0,12,0,2,0,0,0,4,0,5,0.0
Bernd Leno,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,35,40,87.5,0,27,0,0,0,35,40,87.5,646,445,10,10,100.0,21,21,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,40,29,11,4,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,31,40,1,0,0,41,0,0,,0,,27,122,98,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Reid,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,2,15,0,1,0,14,17,82.4,161,47,10,12,83.3,3,4,75.0,0,0,,0,0.0,0.0,0,1,1,0,2,17,17,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,0,2,5,12,3,19,1,0,0.0,1,100.0,15,20,7,0,0,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,33.3
Carlos Vinícius,0,0,0,0,1,0,1,0,19,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,14,1,0,0,10,13,76.9,69,27,4,6,66.7,1,1,100.0,0,1,0.0,0,0.0,0.3,0,0,1,0,1,13,11,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,0,1,8,10,6,19,0,0,,0,,14,71,50,1,1,1,2,0,14,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0.0
Cédric Soares,0,0,0,0,1,0,0,0,86,2,0,0,0.0,0.0,0.1,1,0,63,81,77.8,2,58,2,0,0,63,81,77.8,1011,253,37,41,90.2,19,25,76.0,6,10,60.0,0,0.1,0.1,1,6,3,2,2,81,70,11,1,0,0,14,10,0,0,0,0,63,0,4,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,2,0,86,2,11,36,39,2,86,0,0,,0,,58,218,96,2,1,1,0,0,64,6,0,0,0,1,1,0,14,0,2,0,0,0,1,1,1,50.0
Daniel James,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,2,0,0,0,3,3,100.0,32,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,,0,,2,9,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harrison Reed,0,0,0,0,0,0,0,0,39,2,1,0,0.0,0.0,0.0,1,0,25,31,80.6,1,27,1,1,0,25,31,80.6,394,33,9,11,81.8,12,13,92.3,1,4,25.0,0,0.0,0.1,0,0,1,0,1,31,31,0,0,0,0,1,0,0,0,0,0,25,0,0,2,0,0,1,1,0,0,,0,0,0,0,1,3,0,0,39,3,7,13,20,2,39,1,0,0.0,1,100.0,27,101,53,1,2,0,2,1,28,6,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,
Harry Wilson,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.1,1,0,3,4,75.0,0,2,0,0,0,3,4,75.0,116,28,1,1,100.0,0,1,0.0,2,2,100.0,0,0.1,0.0,1,0,0,0,0,4,2,2,0,0,0,2,0,2,0,2,0,3,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,5,0,0,3,2,0,5,0,0,,0,,2,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
