player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,3,2,0,0,12,6,0,0,477,26,16,21,2.2,2.2,1.2,17,4,251,352,71.3,26,174,13,24,8,251,352,71.3,4255,1686,117,141,83.0,97,122,79.5,25,60,41.7,2,1.2,0.5,9,25,4,1,26,352,298,53,22,0,3,12,19,4,2,2,0,251,1,9,26,14,16,8,2,14,27,51.9,13,21,5,16,16,42,17,0,477,66,191,170,122,14,477,24,8,33.3,12,50.0,174,849,409,13,7,2,10,10,250,26,0,0,0,16,15,1,12,16,14,0,0,0,49,9,21,30.0
Adam Forshaw,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,6,6,100.0,1,3,0,0,0,6,6,100.0,117,51,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,7,0,0,6,1,0,7,0,0,,0,,3,15,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Brenden Aaronson,1,0,0,0,2,2,0,0,42,2,1,1,1.0,1.0,0.1,5,1,19,28,67.9,2,19,2,5,1,19,28,67.9,248,84,11,15,73.3,4,5,80.0,1,2,50.0,0,0.1,0.1,2,1,0,0,2,28,25,3,0,0,0,2,0,2,1,1,0,19,0,3,2,1,1,0,1,1,1,100.0,0,1,0,1,1,3,0,0,42,1,5,18,20,1,42,5,1,20.0,3,60.0,19,109,53,2,0,0,3,2,28,7,0,0,0,1,1,1,2,1,1,0,0,0,7,0,0,
Daniel James,0,0,0,0,1,0,0,0,22,1,1,2,0.0,0.0,0.3,3,0,7,15,46.7,1,12,2,1,0,7,15,46.7,72,25,5,8,62.5,1,2,50.0,0,2,0.0,0,0.3,0.2,1,0,2,1,1,15,15,0,0,0,0,3,0,0,0,0,0,7,0,2,1,0,0,1,0,1,1,100.0,0,2,0,2,1,2,1,0,22,1,2,8,12,1,22,1,0,0.0,0,0.0,12,83,50,2,2,0,0,1,15,3,0,0,0,0,2,0,3,1,0,0,0,0,2,0,3,0.0
Diego Llorente,0,0,0,0,1,0,0,0,44,2,2,1,0.1,0.1,0.0,1,0,24,30,80.0,2,12,0,1,0,24,30,80.0,517,200,7,9,77.8,13,15,86.7,4,5,80.0,0,0.0,0.0,0,1,0,0,2,30,27,3,2,0,1,0,0,0,0,0,0,24,0,1,2,2,2,0,0,1,1,100.0,0,1,0,1,2,4,3,0,44,13,30,14,2,1,44,1,0,0.0,1,100.0,12,37,8,0,0,0,1,0,17,0,0,0,0,0,0,0,0,2,2,0,0,0,5,3,2,60.0
Illan Meslier,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,17,33,51.5,0,9,0,0,0,17,33,51.5,429,235,2,2,100.0,10,10,100.0,5,21,23.8,0,0.0,0.0,0,0,0,0,0,33,20,13,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,28,35,0,1,0,35,0,0,,0,,9,105,27,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Jack Harrison,1,1,0,0,2,2,0,0,44,1,2,2,0.5,0.5,0.1,1,1,15,35,42.9,0,21,4,5,4,15,35,42.9,170,60,10,15,66.7,3,12,25.0,0,3,0.0,1,0.1,0.1,1,0,0,0,0,35,30,4,2,0,1,7,0,2,1,1,0,15,1,1,1,1,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,44,2,8,10,28,3,44,5,4,80.0,0,0.0,21,142,102,4,2,0,1,1,26,7,0,0,0,0,0,0,7,2,1,0,0,0,5,0,1,0.0
Joe Gelhardt,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,11,10,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,100.0
Luis Sinisterra,0,0,0,0,0,0,0,0,14,0,2,1,0.0,0.0,0.0,0,0,7,8,87.5,2,8,0,2,0,7,8,87.5,106,33,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,0,2,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,0,0,14,1,3,7,4,0,14,2,0,0.0,2,100.0,8,41,7,0,0,0,0,1,8,2,0,0,0,1,1,0,0,2,0,0,0,0,4,1,0,100.0
Marc Roca,0,0,0,0,0,0,0,0,27,3,0,2,0.0,0.0,0.0,1,1,16,20,80.0,1,14,1,1,1,16,20,80.0,275,63,5,5,100.0,8,10,80.0,1,1,100.0,0,0.0,0.0,0,3,0,0,1,20,19,1,1,0,0,0,0,0,0,0,0,16,0,0,3,2,2,1,0,0,2,0.0,2,2,2,0,0,3,0,0,27,3,12,13,2,0,27,1,1,100.0,0,0.0,14,61,36,1,0,0,1,1,14,0,0,0,0,1,3,0,0,0,2,0,0,0,3,0,0,
Mateusz Klich,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Pascal Struijk,0,0,0,0,0,0,0,0,49,4,1,2,0.0,0.0,0.0,2,0,36,36,100.0,5,6,2,3,2,36,36,100.0,546,301,20,20,100.0,14,14,100.0,2,2,100.0,0,0.0,0.0,1,8,0,0,5,36,25,11,1,0,0,0,10,0,0,0,0,36,0,0,4,3,2,2,0,2,4,50.0,2,2,0,2,1,5,3,0,49,2,14,21,14,0,49,3,2,66.7,1,33.3,6,55,46,2,2,0,2,0,20,0,0,0,0,2,2,0,0,1,3,0,0,0,2,0,4,0.0
