player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,14,5,3,0,852,25,11,10,1.0,1.0,0.5,25,2,580,715,81.1,73,488,21,28,12,580,715,81.1,9247,2911,273,309,88.3,250,286,87.4,31,65,47.7,1,0.5,0.8,11,48,10,3,73,715,650,63,11,2,2,31,38,10,4,3,0,580,2,19,25,13,7,13,5,15,21,71.4,6,10,3,7,11,36,11,1,852,35,179,408,273,27,852,28,12,42.9,14,50.0,488,2356,1236,21,17,5,26,14,577,73,3,0,0,10,9,2,31,11,13,0,0,0,65,24,12,66.7
Brenden Aaronson,0,1,0,0,1,1,0,0,36,0,0,1,0.1,0.1,0.1,4,1,24,30,80.0,1,19,1,3,1,24,30,80.0,337,142,15,16,93.8,3,3,100.0,3,4,75.0,1,0.1,0.1,3,1,2,2,1,30,24,6,0,0,0,5,2,2,1,1,0,24,0,3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,36,0,1,11,24,3,36,3,1,33.3,1,33.3,19,62,27,1,1,0,2,2,24,6,0,0,0,1,2,0,5,0,0,0,0,0,5,2,2,50.0
Daniel James,0,0,0,0,1,0,0,0,5,1,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,3,1,0,0,1,2,50.0,13,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,5,0,0,1,4,2,5,0,0,,0,,3,35,7,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Diego Llorente,0,0,0,0,2,0,1,0,99,4,0,1,0.1,0.1,0.0,0,0,79,87,90.8,6,70,1,0,0,79,87,90.8,1541,452,23,24,95.8,48,51,94.1,7,10,70.0,0,0.0,0.0,0,4,0,0,6,87,87,0,0,0,0,0,0,0,0,0,0,79,0,0,4,3,1,3,0,0,0,,0,1,0,1,0,4,3,1,99,7,42,53,4,2,99,0,0,,0,,70,440,240,1,0,0,1,0,75,0,1,0,0,1,0,0,0,0,3,0,0,0,8,3,0,100.0
Illan Meslier,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,12,21,57.1,0,10,0,0,0,12,21,57.1,200,126,7,7,100.0,4,6,66.7,1,8,12.5,0,0.0,0.0,0,0,0,0,0,21,17,4,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,24,17,24,0,0,0,24,0,0,,0,,10,32,11,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Jack Harrison,0,0,0,0,2,1,0,0,100,1,0,1,0.2,0.2,0.1,8,0,53,76,69.7,5,57,8,10,2,53,76,69.7,659,174,36,39,92.3,12,18,66.7,2,5,40.0,0,0.1,0.2,2,1,3,0,5,76,64,12,0,0,0,13,4,8,3,2,0,53,0,9,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,100,2,6,25,69,6,100,10,2,20.0,7,70.0,57,349,164,8,3,2,7,6,70,26,0,0,0,3,2,1,13,0,0,0,0,0,6,0,2,0.0
Joe Gelhardt,0,0,0,0,2,1,0,0,26,0,0,1,0.4,0.4,0.0,1,1,8,15,53.3,1,15,0,2,0,8,15,53.3,107,8,3,4,75.0,2,5,40.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,26,1,1,11,15,5,26,2,0,0.0,2,100.0,15,65,18,0,1,1,2,0,18,8,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3,40.0
Luis Sinisterra,1,0,0,0,1,1,0,0,39,1,0,0,0.0,0.0,0.0,1,0,25,30,83.3,2,23,1,5,2,25,30,83.3,324,61,12,14,85.7,8,9,88.9,0,0,,0,0.0,0.2,1,2,0,0,2,30,30,0,0,1,0,1,0,0,0,0,0,25,0,2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,39,0,0,22,19,2,39,5,2,40.0,3,60.0,23,98,44,1,2,0,2,0,34,10,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,
Marc Roca,0,0,0,0,0,0,0,0,87,3,3,2,0.0,0.0,0.1,4,0,58,74,78.4,15,50,2,1,1,58,74,78.4,931,253,28,31,90.3,24,28,85.7,4,11,36.4,0,0.1,0.0,2,9,1,0,15,74,73,0,0,0,1,3,0,0,0,0,0,58,1,0,3,1,0,3,0,0,0,,0,2,1,1,3,6,1,0,87,1,9,57,22,0,87,1,1,100.0,0,0.0,50,325,216,2,2,0,0,2,59,1,0,0,0,1,0,0,3,3,1,0,0,0,8,4,3,57.1
Mateusz Klich,0,0,0,0,1,0,0,0,24,2,0,0,0.0,0.0,0.0,2,0,10,13,76.9,1,15,0,0,0,10,13,76.9,101,24,7,7,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,1,0,0,0,1,13,13,0,0,0,0,1,0,0,0,0,0,10,0,0,2,1,0,1,1,2,2,100.0,0,0,0,0,0,2,1,0,24,1,2,6,16,1,24,0,0,,0,,15,40,16,0,1,0,4,0,17,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,
Pascal Struijk,0,0,0,0,0,0,0,0,113,4,3,0,0.0,0.0,0.1,2,0,88,100,88.0,13,56,0,3,2,88,100,88.0,1156,414,52,56,92.9,32,36,88.9,0,2,0.0,0,0.1,0.1,1,11,2,1,13,100,82,17,3,0,0,3,14,0,0,0,0,88,1,1,4,4,1,2,1,4,6,66.7,2,0,0,0,3,7,2,0,113,0,25,52,38,0,113,3,2,66.7,1,33.3,56,135,57,0,3,0,3,2,62,9,0,0,0,0,1,0,3,3,4,0,0,0,10,2,0,100.0
Patrick Bamford,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0.0,0,0,7,8,87.5,0,4,0,1,1,7,8,87.5,49,4,6,7,85.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,12,0,0,5,7,1,12,1,1,100.0,0,0.0,4,4,1,0,0,0,1,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,50.0
Rasmus Kristensen,0,0,0,0,0,0,1,0,76,4,2,1,0.0,0.0,0.1,3,0,55,69,79.7,4,28,1,1,1,55,69,79.7,942,307,22,29,75.9,30,36,83.3,2,2,100.0,0,0.1,0.0,1,6,0,0,4,69,52,17,0,0,0,3,17,0,0,0,0,55,0,1,4,2,1,2,1,3,4,75.0,1,1,1,0,2,6,0,0,76,1,13,41,22,2,76,1,1,100.0,0,0.0,28,68,31,1,1,1,0,0,34,3,1,0,0,2,0,0,3,2,2,0,0,0,7,3,1,75.0
Robin Koch,0,0,0,0,2,1,0,0,101,1,1,0,0.0,0.0,0.0,0,0,77,94,81.9,14,67,3,0,0,77,94,81.9,1452,670,31,36,86.1,37,39,94.9,8,16,50.0,0,0.0,0.0,0,11,1,0,14,94,93,1,1,1,1,0,0,0,0,0,0,77,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,101,2,35,59,8,2,101,0,0,,0,,67,321,201,3,0,0,1,1,78,1,0,0,0,1,0,0,0,1,1,0,0,0,5,6,0,100.0
Rodrigo,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,4,0,0,0,6,8,75.0,88,17,3,4,75.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,4,6,1,10,0,0,,0,,4,25,5,0,0,0,1,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Tyler Adams,0,0,0,0,0,0,1,0,100,4,2,2,0.0,0.0,0.0,0,0,77,88,87.5,10,67,3,2,2,77,88,87.5,1347,258,27,33,81.8,46,49,93.9,3,5,60.0,0,0.0,0.1,0,3,1,0,10,88,82,6,5,0,0,1,1,0,0,0,0,77,0,0,4,1,3,1,0,3,5,60.0,2,2,1,1,2,6,1,0,100,3,21,61,19,0,100,2,2,100.0,0,0.0,67,357,198,3,3,0,1,0,68,2,1,0,0,0,1,0,1,2,1,0,0,0,7,1,0,100.0
