player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,0,0,0,13,3,0,0,437,13,11,9,1.4,1.4,0.8,22,1,227,334,68.0,25,233,7,24,11,227,334,68.0,3806,1715,123,158,77.8,61,85,71.8,30,61,49.2,0,0.8,0.6,10,16,3,0,25,334,286,47,14,0,3,14,16,4,4,0,0,227,1,10,13,7,7,4,2,6,18,33.3,12,9,2,7,11,24,18,0,437,46,157,179,105,14,437,24,11,45.8,11,45.8,233,991,394,7,4,2,14,10,225,24,0,0,0,6,11,1,14,11,7,0,0,0,53,10,9,52.6
Adam Forshaw,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,2,2,100.0,42,0,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,1,3,1,0,0,4,0,0,,0,,3,10,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brenden Aaronson,0,0,0,0,2,0,0,0,27,1,0,0,0.1,0.1,0.1,5,0,15,18,83.3,3,19,1,4,1,15,18,83.3,269,66,8,9,88.9,5,5,100.0,2,2,100.0,0,0.1,0.1,2,2,0,0,3,18,14,4,0,0,0,1,0,1,1,0,0,15,0,2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,27,0,1,17,9,1,27,4,1,25.0,2,50.0,19,71,37,1,1,0,2,0,19,3,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0.0
Crysencio Summerville,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.1,2,0,4,5,80.0,0,5,1,3,2,4,5,80.0,35,7,3,3,100.0,0,1,0.0,0,0,,0,0.1,0.1,2,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,9,0,1,2,6,3,9,3,2,66.7,1,33.3,5,90,26,1,0,2,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Georginio Rutter,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,3,4,75.0,1,5,0,0,0,3,4,75.0,37,12,2,2,100.0,1,1,100.0,0,0,,0,0.1,0.0,1,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,3,3,1,6,0,0,,0,,5,13,3,0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Illan Meslier,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,16,27,59.3,0,18,0,0,0,16,27,59.3,504,330,1,1,100.0,6,6,100.0,9,20,45.0,0,0.0,0.0,0,0,0,0,0,27,20,7,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,30,27,30,0,0,0,30,0,0,,0,,18,81,44,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Harrison,0,0,0,0,1,0,0,0,37,3,1,3,0.1,0.1,0.2,2,0,16,27,59.3,1,23,0,2,2,16,27,59.3,212,68,9,14,64.3,1,4,25.0,2,3,66.7,0,0.2,0.2,1,1,1,0,1,27,25,2,1,0,1,3,0,1,1,0,0,16,0,1,3,2,2,0,1,1,2,50.0,1,3,0,3,1,4,0,0,37,0,9,12,16,2,37,2,2,100.0,0,0.0,23,72,19,0,0,0,2,2,23,4,0,0,0,0,0,0,3,1,2,0,0,0,6,0,1,0.0
Junior Firpo,0,0,0,0,0,0,0,0,48,0,1,1,0.0,0.0,0.0,0,0,26,39,66.7,3,21,1,1,0,26,39,66.7,396,249,15,19,78.9,10,15,66.7,1,3,33.3,0,0.0,0.0,0,2,1,0,3,39,32,7,1,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,4,0,48,3,19,22,8,0,48,1,0,0.0,1,100.0,21,89,47,1,1,0,0,1,20,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,100.0
Luis Sinisterra,1,0,0,0,4,1,0,0,36,2,0,0,0.7,0.7,0.0,3,1,19,25,76.0,1,22,3,4,1,19,25,76.0,229,71,16,21,76.2,2,2,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1,25,25,0,0,0,0,0,0,0,0,0,0,19,0,1,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,36,0,6,14,17,2,36,4,1,25.0,3,75.0,22,168,92,3,2,0,0,1,22,6,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100.0
Marc Roca,0,0,0,0,2,1,0,0,51,2,2,2,0.1,0.1,0.2,4,0,27,39,69.2,5,23,0,1,0,27,39,69.2,617,244,10,11,90.9,10,15,66.7,6,11,54.5,0,0.2,0.2,2,3,0,0,5,39,29,9,7,0,1,4,0,2,2,0,0,27,1,0,2,2,1,1,0,0,1,0.0,1,2,0,2,2,4,1,0,51,1,10,34,8,0,51,1,0,0.0,0,0.0,23,50,20,0,0,0,2,0,23,2,0,0,0,2,4,0,4,2,2,0,0,0,10,0,0,
