player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,9,4,4,1,407,19,15,13,0.5,0.5,0.4,17,2,229,319,71.8,18,222,10,8,3,229,319,71.8,3956,1302,106,126,84.1,94,112,83.9,21,57,36.8,1,0.4,0.2,6,14,2,0,18,319,281,36,14,2,1,16,8,4,3,1,0,229,2,6,19,13,9,8,2,5,16,31.3,11,13,5,8,15,34,11,1,407,54,193,139,78,13,407,8,3,37.5,5,62.5,222,1348,697,10,5,2,9,2,229,18,4,1,1,10,14,2,16,15,13,0,0,0,36,6,10,37.5
Daniel Iversen,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,13,25,52.0,0,16,0,0,0,13,25,52.0,259,170,5,5,100.0,7,7,100.0,1,13,7.7,0,0.0,0.0,0,0,0,0,0,25,16,9,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,24,27,0,0,0,27,0,0,,0,,16,89,47,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harry Souttar,0,0,0,0,2,0,0,0,51,1,3,0,0.2,0.2,0.0,1,0,31,39,79.5,1,30,1,0,0,31,39,79.5,585,161,11,12,91.7,18,20,90.0,2,7,28.6,0,0.0,0.0,0,3,0,0,1,39,38,1,1,0,0,0,0,0,0,0,0,31,0,0,1,1,1,0,0,0,0,,0,0,0,0,3,4,5,0,51,8,36,13,2,2,51,0,0,,0,,30,157,75,1,0,0,0,0,30,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,1,66.7
Harvey Barnes,1,0,0,0,3,3,0,0,30,1,0,1,0.1,0.1,0.0,3,1,12,21,57.1,3,19,6,2,1,12,21,57.1,122,25,11,13,84.6,0,2,0.0,0,2,0.0,0,0.0,0.0,0,0,1,0,3,21,21,0,0,0,0,4,0,0,0,0,0,12,0,2,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,30,1,5,7,18,4,30,2,1,50.0,1,50.0,19,182,122,6,3,2,0,0,20,7,0,0,0,2,2,1,4,0,0,0,0,0,1,0,3,0.0
James Maddison,0,0,0,0,1,1,0,0,28,2,1,0,0.0,0.0,0.2,3,0,12,22,54.5,3,16,1,0,0,12,22,54.5,298,105,4,7,57.1,4,5,80.0,4,8,50.0,0,0.2,0.1,3,1,0,0,3,22,17,5,1,0,1,7,0,4,3,1,0,12,0,1,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0,28,1,4,10,14,3,28,0,0,,0,,16,96,72,1,0,0,2,1,16,3,0,0,0,1,1,0,7,1,2,0,0,0,2,0,0,
Jamie Vardy,0,0,0,0,1,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,3,7,42.9,1,3,0,1,0,3,7,42.9,22,7,2,3,66.7,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,7,7,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,1,0,13,0,2,8,3,1,13,1,0,0.0,1,100.0,3,12,5,0,0,0,1,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,50.0
Kiernan Dewsbury-Hall,0,0,0,0,0,0,2,1,31,4,1,3,0.0,0.0,0.0,1,0,18,21,85.7,3,21,1,0,0,18,21,85.7,378,82,7,8,87.5,7,8,87.5,4,4,100.0,0,0.0,0.0,1,3,0,0,3,21,20,0,0,0,0,0,0,0,0,0,0,18,1,0,4,2,0,4,0,1,3,33.3,2,3,0,3,1,5,0,0,31,0,4,20,7,1,31,0,0,,0,,21,103,58,1,1,0,2,1,21,1,2,1,1,3,2,0,0,1,2,0,0,0,2,0,0,
Nampalys Mendy,0,0,0,0,0,0,0,0,47,2,2,3,0.0,0.0,0.0,2,0,24,35,68.6,3,24,0,2,1,24,35,68.6,352,64,13,15,86.7,9,12,75.0,1,3,33.3,0,0.0,0.0,0,3,1,0,3,35,30,4,0,1,0,0,1,0,0,0,0,24,1,1,2,2,2,0,0,0,1,0.0,1,3,1,2,2,4,0,0,47,3,20,22,5,0,47,2,1,50.0,1,50.0,24,125,68,0,0,0,2,0,23,0,0,0,0,0,2,0,0,2,2,0,0,0,4,0,0,
Patson Daka,0,0,0,0,1,0,0,0,6,0,1,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,0,0,0,2,2,100.0,23,16,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,6,1,1,2,3,2,6,0,0,,0,,1,3,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0.0
Ricardo Pereira,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,1,0,0,0,1,5,20.0,3,2,0,1,0.0,0,1,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,5,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6,0,1,3,2,0,6,0,0,,0,,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
