player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,10,3,4,0,587,13,13,9,1.2,1.2,1.0,13,0,386,503,76.7,25,321,10,21,11,386,503,76.7,6999,2344,153,181,84.5,191,216,88.4,38,81,46.9,0,1.0,0.9,7,17,6,3,25,503,446,53,16,3,1,13,18,6,4,2,0,386,4,11,13,9,8,5,0,7,12,58.3,5,9,3,6,13,26,16,0,587,80,253,248,91,13,587,21,11,52.4,6,28.6,321,1652,754,10,12,1,9,5,386,25,4,0,0,12,11,4,13,13,9,0,0,0,44,11,12,47.8
Brennan Johnson,0,0,0,0,1,1,0,0,34,0,0,3,0.2,0.2,0.1,1,0,16,25,64.0,1,14,3,5,3,16,25,64.0,192,51,13,17,76.5,2,4,50.0,1,1,100.0,0,0.1,0.1,1,2,0,0,1,25,25,0,0,0,0,1,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,,0,3,1,2,0,0,0,0,34,2,4,16,16,5,34,5,3,60.0,0,0.0,14,174,108,3,3,1,1,1,23,9,0,0,0,2,1,1,1,0,0,0,0,0,2,1,0,100.0
Cheikhou Kouyaté,0,0,0,0,0,0,1,0,19,1,1,1,0.0,0.0,0.0,1,0,10,15,66.7,2,9,0,1,1,10,15,66.7,180,32,6,8,75.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0,2,0,0,2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,0,0,19,0,5,11,3,0,19,1,1,100.0,0,0.0,9,60,19,0,0,0,1,0,9,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,0,100.0
Dean Henderson,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,34,50,68.0,0,34,0,0,0,34,50,68.0,928,654,5,5,100.0,17,17,100.0,12,27,44.4,0,0.0,0.0,0,0,0,0,0,50,38,12,4,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,49,43,49,0,0,0,49,0,0,,0,,34,153,77,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Emmanuel Dennis,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.2,3,0,6,7,85.7,0,6,0,0,0,6,7,85.7,91,46,4,4,100.0,2,2,100.0,0,0,,0,0.2,0.1,1,0,1,1,0,7,6,1,0,0,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,3,5,1,8,0,0,,0,,6,37,12,0,0,0,0,1,7,2,0,0,0,0,1,2,1,0,0,0,0,0,0,1,3,25.0
Jesse Lingard,0,0,0,0,1,0,1,0,21,1,0,1,0.1,0.1,0.0,1,0,14,16,87.5,3,9,1,1,0,14,16,87.5,232,72,5,5,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0,1,0,0,3,16,16,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,21,0,3,15,3,1,21,1,0,0.0,1,100.0,9,47,29,1,1,0,2,0,15,0,1,0,0,2,1,0,0,0,1,0,0,0,2,0,1,0.0
Lewis O'Brien,0,0,0,0,1,0,0,0,25,2,0,0,0.0,0.0,0.0,1,0,11,15,73.3,0,9,0,3,2,11,15,73.3,155,43,5,6,83.3,6,8,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,25,2,12,11,2,0,25,3,2,66.7,0,0.0,9,25,8,0,0,0,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
Morgan Gibbs-White,0,0,0,0,1,1,0,0,54,0,1,0,0.2,0.2,0.5,2,0,31,48,64.6,6,24,0,1,0,31,48,64.6,461,147,20,24,83.3,8,10,80.0,3,10,30.0,0,0.5,0.5,2,2,3,0,6,48,36,11,1,3,0,7,1,6,4,2,0,31,1,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,54,0,2,28,25,1,54,1,0,0.0,1,100.0,24,116,48,0,4,0,1,0,35,6,0,0,0,0,1,0,7,1,0,0,0,0,4,0,5,0.0
Neco Williams,0,0,0,0,0,0,1,0,31,2,4,1,0.0,0.0,0.0,0,0,12,24,50.0,1,9,0,1,1,12,24,50.0,181,51,6,9,66.7,6,11,54.5,0,3,0.0,0,0.0,0.0,0,0,0,0,1,24,17,7,2,0,0,0,5,0,0,0,0,12,0,1,2,2,2,0,0,2,2,100.0,0,1,1,0,4,6,2,0,31,3,13,15,4,0,31,1,1,100.0,0,0.0,9,23,10,0,0,0,0,0,8,0,1,0,0,3,0,0,0,4,2,0,0,0,3,1,1,50.0
Orel Mangala,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,13,2,3,0,9,12,75.0,104,1,8,11,72.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,11,1,1,0,0,0,0,0,0,0,0,9,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,15,0,2,10,3,0,15,3,0,0.0,2,66.7,13,76,27,2,0,0,0,0,13,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,
