player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,5,2,2,0,415,23,15,17,0.7,0.7,0.6,9,1,177,278,63.7,19,191,9,10,6,177,278,63.7,3140,1703,91,121,75.2,49,68,72.1,25,67,37.3,1,0.6,0.4,4,15,3,1,19,278,243,33,10,2,1,7,11,0,0,0,0,177,2,3,23,9,16,4,3,13,24,54.2,11,17,8,9,15,38,44,0,415,91,196,142,80,4,415,10,6,60.0,4,40.0,191,1160,550,9,10,0,16,3,176,18,2,0,0,10,8,2,7,15,9,0,0,0,53,21,15,58.3
Alexander Isak,1,0,0,0,2,1,0,0,17,2,1,0,0.5,0.5,0.0,0,0,7,10,70.0,0,9,0,1,0,7,10,70.0,64,3,5,8,62.5,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,1,0,0,,0,0,0,0,1,3,0,0,17,0,0,8,10,1,17,1,0,0.0,1,100.0,9,65,38,0,1,0,0,0,11,5,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,100.0
Chris Wood,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,4,9,44.4,0,4,0,1,1,4,9,44.4,42,2,2,6,33.3,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,1,2,6,5,1,13,1,1,100.0,0,0.0,4,14,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,50.0
Dan Burn,0,0,0,0,0,0,0,0,35,3,4,1,0.0,0.0,0.0,1,0,10,18,55.6,0,12,0,0,0,10,18,55.6,179,61,4,5,80.0,4,7,57.1,1,5,20.0,0,0.0,0.0,0,1,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,3,0,0,1,3,33.3,2,1,1,0,4,7,8,0,35,7,22,13,0,0,35,0,0,,0,,12,63,18,0,0,0,0,0,9,0,0,0,0,2,0,1,0,4,1,0,0,0,6,2,0,100.0
Elliot Anderson,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,3,1,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,4,0,2,0,2,2,4,0,0,,0,,3,19,9,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.0
Jacob Murphy,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,1,0,2,2,100.0,22,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,1,1,100.0,0,1,0,1,0,2,0,0,8,0,2,4,2,0,8,1,0,0.0,1,100.0,4,37,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Jamaal Lascelles,0,0,0,0,0,0,1,0,22,1,0,2,0.0,0.0,0.0,0,0,9,11,81.8,0,10,0,0,0,9,11,81.8,219,107,2,3,66.7,4,4,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,7,0,22,10,17,5,0,0,22,0,0,,0,,10,48,5,0,0,0,0,0,10,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,50.0
Joe Willock,0,0,0,0,0,0,0,0,38,3,2,4,0.0,0.0,0.0,2,0,13,18,72.2,4,16,2,2,0,13,18,72.2,183,83,8,10,80.0,3,5,60.0,1,2,50.0,0,0.0,0.0,1,2,0,0,4,18,17,1,0,0,0,3,0,0,0,0,0,13,0,0,3,2,3,0,0,2,2,100.0,0,4,2,2,2,5,4,0,38,7,16,13,9,0,38,2,0,0.0,2,100.0,16,105,64,2,2,0,6,0,17,4,0,0,0,2,1,0,3,2,2,0,0,0,5,1,2,33.3
Joelinton,0,0,0,0,0,0,0,0,59,5,3,2,0.0,0.0,0.0,2,0,28,39,71.8,3,30,2,2,2,28,39,71.8,426,150,14,20,70.0,10,13,76.9,3,3,100.0,0,0.0,0.0,0,3,2,1,3,39,39,0,0,1,0,1,0,0,0,0,0,28,0,1,5,0,3,1,1,3,7,42.9,4,2,0,2,3,8,3,0,59,6,16,29,14,0,59,2,2,100.0,0,0.0,30,155,71,2,1,0,5,0,33,2,0,0,0,3,0,0,1,3,0,0,0,0,10,5,4,55.6
Kieran Trippier,0,0,0,0,1,1,1,0,47,1,0,1,0.1,0.1,0.0,0,0,26,35,74.3,2,20,0,1,1,26,35,74.3,451,225,15,17,88.2,9,12,75.0,2,4,50.0,0,0.0,0.0,0,1,0,0,2,35,28,7,2,0,0,0,5,0,0,0,0,26,0,1,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,6,0,47,8,24,15,8,0,47,1,1,100.0,0,0.0,20,61,13,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,1,0,0,0,6,1,0,100.0
