player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,1,1,0,0,15,2,0,0,801,8,4,5,1.2,1.2,1.0,26,2,661,733,90.2,36,543,28,18,7,661,733,90.2,10867,2925,316,331,95.5,285,306,93.1,47,66,71.2,1,1.0,1.0,10,37,6,1,36,733,693,38,11,1,1,12,16,5,1,1,0,661,2,11,8,6,3,3,2,7,17,41.2,10,5,3,2,4,12,12,2,801,81,248,380,178,31,801,18,7,38.9,9,50.0,543,3018,1740,28,21,11,8,8,645,35,0,0,0,12,9,2,12,4,6,0,0,0,40,4,5,44.4
Aymeric Laporte,0,0,0,0,0,0,0,0,84,2,0,1,0.0,0.0,0.0,0,0,75,79,94.9,5,60,2,0,0,75,79,94.9,1306,381,27,28,96.4,42,43,97.7,5,7,71.4,0,0.0,0.0,0,9,0,0,5,79,74,5,4,0,0,0,1,0,0,0,0,75,0,0,2,1,1,1,0,2,3,66.7,1,1,1,0,0,2,2,0,84,9,35,46,3,0,84,0,0,,0,,60,427,350,2,2,0,0,0,65,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,1,0.0
Cole Palmer,0,1,0,0,2,0,0,0,60,0,0,0,0.1,0.1,0.3,6,1,46,52,88.5,1,44,9,6,3,46,52,88.5,616,94,30,31,96.8,13,15,86.7,1,2,50.0,1,0.3,0.1,1,3,0,0,1,52,51,1,0,0,0,1,1,0,0,0,0,46,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,60,0,1,22,37,8,60,6,3,50.0,1,16.7,44,385,218,9,3,5,2,1,54,13,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,
Erling Haaland,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,3,0,0,0,3,4,75.0,45,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,4,2,2,6,0,0,,0,,3,10,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
John Stones,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,1,0,44,45,97.8,0,35,0,0,0,44,45,97.8,729,291,19,19,100.0,22,22,100.0,2,3,66.7,0,0.0,0.0,1,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,46,6,30,15,1,1,46,0,0,,0,,35,242,192,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julián Álvarez,1,0,0,0,3,2,0,0,37,1,1,0,0.4,0.4,0.3,4,0,23,28,82.1,1,27,4,4,1,23,28,82.1,327,51,12,14,85.7,7,9,77.8,2,2,100.0,0,0.3,0.3,2,0,1,0,1,28,27,1,1,1,0,2,0,0,0,0,0,23,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,37,0,4,10,24,8,37,4,1,25.0,3,75.0,27,129,53,4,2,3,1,1,31,6,0,0,0,2,1,1,2,1,1,0,0,0,4,0,0,
Kalvin Phillips,0,0,0,0,3,0,0,0,92,0,2,2,0.2,0.2,0.1,5,1,77,83,92.8,5,63,0,1,1,77,83,92.8,1387,236,27,28,96.4,44,45,97.8,6,8,75.0,0,0.1,0.0,2,9,0,0,5,83,82,0,0,0,1,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,3,0.0,3,2,1,1,2,2,3,0,92,4,19,65,9,2,92,1,1,100.0,0,0.0,63,288,89,0,1,0,0,1,75,1,0,0,0,2,1,0,0,2,0,0,0,0,7,0,0,
Kevin De Bruyne,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,1,6,0,1,0,12,14,85.7,192,73,8,8,100.0,2,3,66.7,2,2,100.0,0,0.0,0.1,0,0,1,1,1,14,10,4,0,0,0,1,2,2,0,0,0,12,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,0,6,9,0,15,1,0,0.0,1,100.0,6,15,7,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Kyle Walker,0,0,0,0,0,0,0,0,80,0,0,0,0.0,0.0,0.0,0,0,71,77,92.2,3,50,3,1,1,71,77,92.2,1295,339,26,26,100.0,39,41,95.1,5,7,71.4,0,0.0,0.0,0,3,0,0,3,77,71,6,2,0,0,1,4,0,0,0,0,71,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,80,2,23,47,10,1,80,1,1,100.0,0,0.0,50,237,133,3,3,0,1,0,66,4,0,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0.0
Manuel Akanji,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.0,0,0,59,65,90.8,4,54,0,0,0,59,65,90.8,1009,368,23,24,95.8,31,32,96.9,4,6,66.7,0,0.0,0.0,0,4,0,0,4,65,64,0,0,0,0,0,0,0,0,0,0,59,1,1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,68,4,24,44,0,0,68,0,0,,0,,54,295,187,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,100.0
