player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,5,2,4,0,538,11,11,14,0.4,0.4,0.3,9,0,356,451,78.9,26,316,9,19,12,356,451,78.9,5899,1954,169,193,87.6,135,159,84.9,30,64,46.9,0,0.3,0.7,3,22,7,2,26,451,411,39,7,3,3,17,17,4,1,1,1,356,1,5,11,7,8,2,1,8,20,40.0,12,14,2,12,11,22,19,0,538,68,183,243,114,20,538,19,12,63.2,4,21.1,316,1533,622,9,7,4,12,9,356,26,4,0,0,13,5,1,17,11,7,0,0,0,44,7,9,43.8
Alexander Isak,0,0,0,0,2,1,0,0,7,1,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,4,1,1,1,3,4,75.0,69,6,1,2,50.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,7,0,1,2,4,3,7,1,1,100.0,0,0.0,4,16,15,1,0,1,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Allan Saint-Maximin,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,5,9,55.6,0,11,0,3,2,5,9,55.6,56,9,4,7,57.1,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,9,8,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13,0,2,6,5,1,13,3,2,66.7,1,33.3,11,45,16,0,0,0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Anthony Gordon,0,0,0,0,0,0,0,0,27,1,0,2,0.0,0.0,0.0,0,0,19,21,90.5,1,17,0,1,1,19,21,90.5,228,24,13,13,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,1,21,21,0,0,0,0,0,0,0,0,0,0,19,0,1,1,1,0,0,1,1,3,33.3,2,2,0,2,0,1,0,0,27,0,2,10,15,3,27,1,1,100.0,0,0.0,17,104,19,0,0,1,2,1,20,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Bruno Guimarães,0,0,0,0,0,0,1,0,59,1,2,2,0.0,0.0,0.0,1,0,42,52,80.8,6,41,1,2,2,42,52,80.8,711,183,17,18,94.4,20,24,83.3,3,5,60.0,0,0.0,0.1,0,2,0,0,6,52,51,0,0,1,0,2,0,0,0,0,0,42,1,1,1,1,1,0,0,1,4,25.0,3,2,0,2,2,3,1,0,59,3,12,33,15,1,59,2,2,100.0,0,0.0,41,214,114,1,3,0,1,0,45,1,1,0,0,3,1,0,2,2,1,0,0,0,4,1,0,100.0
Callum Wilson,0,0,0,0,1,0,0,0,13,0,0,0,0.2,0.2,0.1,1,0,5,9,55.6,1,12,0,1,1,5,9,55.6,32,7,2,4,50.0,0,1,0.0,0,0,,0,0.1,0.1,1,0,1,0,1,9,9,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,1,5,7,2,13,1,1,100.0,0,0.0,12,58,6,0,0,0,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Dan Burn,0,0,0,0,0,0,1,0,51,1,0,2,0.0,0.0,0.0,0,0,37,43,86.0,3,27,1,2,1,37,43,86.0,570,192,17,19,89.5,14,15,93.3,3,5,60.0,0,0.0,0.0,0,3,0,0,3,43,37,6,0,0,1,0,6,0,0,0,0,37,0,0,1,0,1,0,0,1,3,33.3,2,2,1,1,0,1,2,0,51,4,18,30,3,0,51,2,1,50.0,0,0.0,27,144,66,1,0,0,1,0,28,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,100.0
Jacob Murphy,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,3,5,60.0,0,3,0,1,0,3,5,60.0,37,16,2,2,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8,0,1,0,7,2,8,1,0,0.0,0,0.0,3,22,7,0,0,0,0,0,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
Jamaal Lascelles,0,0,0,0,0,0,1,0,60,0,0,0,0.0,0.0,0.0,0,0,44,53,83.0,2,31,0,0,0,44,53,83.0,786,321,20,23,87.0,18,20,90.0,4,8,50.0,0,0.0,0.0,0,2,0,0,2,53,53,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,60,10,34,24,2,2,60,0,0,,0,,31,163,79,0,0,0,0,0,42,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,2,33.3
Joe Willock,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,1,0,10,13,76.9,2,7,1,1,0,10,13,76.9,137,57,7,9,77.8,3,3,100.0,0,1,0.0,0,0.0,0.1,1,3,2,1,2,13,13,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,0,2,8,4,0,14,1,0,0.0,1,100.0,7,41,29,1,0,0,0,0,9,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
